ticker,gap_date,entry_date,exit_date,bucket,gap_pct,entry_price,exit_price,exit_reason,units,position_dollars,cash_cost,proceeds,pnl_pct,pnl_dollar,days_held
NVDA,2024-09-04,2024-09-05,2024-09-06,2-3%,-2.398,105.5154,107.892,tp_gap_filled,47.3686,4998.11,4998.11,5110.69,2.252,112.58,1
CDNS,2024-09-04,2024-09-05,2024-09-10,2-3%,-2.829,249.279,256.0237,tp_gap_filled,20.044,4996.54,4996.54,5131.73,2.706,135.19,3
SMCI,2024-09-04,2024-09-05,2024-09-11,3-5%,-4.903,42.054,44.1338,tp_gap_filled,118.8947,5000.0,5000.0,5247.28,4.946,247.28,4
KLAC,2024-09-05,2024-09-06,2024-09-11,2-3%,-2.594,72.6506,74.4365,tp_gap_filled,68.4312,4971.56,4971.56,5093.78,2.458,122.21,3
TER,2024-09-05,2024-09-06,2024-09-11,2-3%,-2.162,124.144,126.6332,tp_gap_filled,40.0002,4965.78,4965.78,5065.35,2.005,99.57,3
DG,2024-09-04,2024-09-06,2024-09-12,2-3%,-2.459,81.8117,83.7062,tp_gap_filled,60.6692,4963.45,4963.45,5078.39,2.316,114.94,4
WDAY,2024-09-09,2024-09-11,2024-09-12,2-3%,-2.313,248.9587,254.3454,tp_gap_filled,20.1837,5024.91,5024.91,5133.63,2.164,108.72,1
AVGO,2024-09-05,2024-09-11,2024-09-12,2-3%,-2.303,150.7206,153.9659,tp_gap_filled,33.3838,5031.63,5031.63,5139.97,2.153,108.34,1
APTV,2024-09-10,2024-09-12,2024-09-13,2-3%,-2.939,67.1171,69.0109,tp_gap_filled,75.2893,5053.2,5053.2,5195.79,2.822,142.59,1
COR,2024-09-05,2024-09-09,2024-09-16,2-3%,-2.272,238.1079,243.1566,tp_gap_filled,20.9781,4995.05,4995.05,5100.97,2.12,105.91,5
GM,2024-09-10,2024-09-12,2024-09-16,2-3%,-2.996,46.026,47.3526,tp_gap_filled,109.7789,5052.68,5052.68,5198.32,2.882,145.64,2
CRWD,2024-09-04,2024-09-13,2024-09-16,2-3%,-2.311,65.1751,66.5834,tp_gap_filled,77.8389,5073.16,5073.16,5182.78,2.161,109.62,1
ODFL,2024-09-05,2024-09-06,2024-09-17,3-5%,-4.309,187.3972,195.4444,tp_gap_filled,26.5478,4974.98,4974.98,5188.62,4.294,213.63,7
ROL,2024-09-11,2024-09-12,2024-09-17,2-3%,-2.23,50.04,51.0789,tp_gap_filled,100.9744,5052.76,5052.76,5157.66,2.076,104.9,3
FERG,2024-09-04,2024-09-16,2024-09-17,2-3%,-2.486,197.5173,202.1477,tp_gap_filled,25.736,5083.3,5083.3,5202.47,2.344,119.17,1
COHR,2024-09-16,2024-09-17,2024-09-18,3-5%,-3.001,75.7156,77.902,tp_gap_filled,67.5428,5114.05,5114.05,5261.72,2.888,147.67,1
AAPL,2024-09-16,2024-09-17,2024-09-18,2-3%,-2.679,216.7565,222.2775,tp_gap_filled,23.6278,5121.49,5121.49,5251.94,2.547,130.45,1
