,0
2024-09-04,100000.0
2024-09-05,100842.00961673868
2024-09-06,100179.99883478778
2024-09-09,100837.16798820191
2024-09-10,100866.12978756703
2024-09-11,101370.72808254964
2024-09-12,102219.6198730141
2024-09-13,103493.38490275259
2024-09-16,103214.14078892642
2024-09-17,104025.67857805907
2024-09-18,104516.73154348781
2024-09-19,105475.21666560322
2024-09-20,105054.19667630388
2024-09-23,106174.41194253683
2024-09-24,105836.70722886661
2024-09-25,105076.84137156112
2024-09-26,105896.8327020054
2024-09-27,106391.62307197682
2024-09-30,106552.76701720062
2024-10-01,104810.83155859503
2024-10-02,104182.99865659881
2024-10-03,103179.47931509413
2024-10-04,103528.07633466642
2024-10-07,102467.39364078139
2024-10-08,102882.16106679496
2024-10-09,103929.24355199936
2024-10-10,103582.76438522337
2024-10-11,104503.32873482413
2024-10-14,105003.33410411111
2024-10-15,104336.4647665349
2024-10-16,105292.73064592513
2024-10-17,104327.41894974066
2024-10-18,104975.73602152735
2024-10-21,103647.91175374325
2024-10-22,102866.77346412807
2024-10-23,102310.39205980113
2024-10-24,103161.09835921205
2024-10-25,103065.32430917409
2024-10-28,103555.68525930024
2024-10-29,102840.33930969279
2024-10-30,103451.02957696718
2024-10-31,101968.38305344571
2024-11-01,102420.1267384755
2024-11-04,102485.27299785051
2024-11-05,103698.46436040751
2024-11-06,103088.16962727203
2024-11-07,104040.19914127863
2024-11-08,103317.937530123
2024-11-11,103723.72928859033
2024-11-12,102308.62595427177
2024-11-13,101892.3971760858
2024-11-14,101803.47608287739
2024-11-15,101042.36901812573
2024-11-18,101939.65335265189
2024-11-19,101436.98192555341
2024-11-20,102060.71956760279
2024-11-21,103123.80525224777
2024-11-22,103866.45183250691
2024-11-25,106405.04968374685
2024-11-26,105405.17519172927
2024-11-27,105938.95017780481
2024-11-29,106256.24934608422
2024-12-02,108175.29472209784
2024-12-03,108165.5218236619
2024-12-04,108742.60227863399
2024-12-05,107747.79188305841
2024-12-06,108632.03688117432
2024-12-09,108542.48941104561
2024-12-10,107298.57758781414
2024-12-11,106880.56162021219
2024-12-12,105996.85789288704
2024-12-13,105258.21317879243
2024-12-16,104191.61468980457
2024-12-17,103972.41848819898
2024-12-18,101155.46205598243
2024-12-19,100261.52754732486
2024-12-20,101717.33384860981
2024-12-23,102668.42528780732
2024-12-24,103483.2424417887
2024-12-26,103426.35464325467
2024-12-27,102578.76019216659
2024-12-30,101328.17837651247
2024-12-31,101446.73044456556
2025-01-02,101490.94847680556
2025-01-03,102927.18399020191
2025-01-06,103804.95254182136
2025-01-07,103200.02833705979
2025-01-08,102996.46541963854
