,0
2024-09-04,100000.0
2024-09-05,100842.00961673868
2024-09-06,100179.99883478778
2024-09-09,100837.16798820191
2024-09-10,100866.12978756703
2024-09-11,101370.72808254964
2024-09-12,102219.6198730141
2024-09-13,103493.38490275259
2024-09-16,103214.14078892642
2024-09-17,104025.67857805907
2024-09-18,104516.73154348781
2024-09-19,105475.21666560322
2024-09-20,105054.19667630388
2024-09-23,106174.41194253683
2024-09-24,105836.70722886661
2024-09-25,105076.84137156112
2024-09-26,105896.8327020054
2024-09-27,106391.62307197682
2024-09-30,106552.76701720062
2024-10-01,104861.67414523088
2024-10-02,104233.82456178238
2024-10-03,103230.26688784231
2024-10-04,103578.91217782864
2024-10-07,102518.23445293293
2024-10-08,102932.98752150356
2024-10-09,103980.23756675841
2024-10-10,103633.72525007436
2024-10-11,104554.58239643514
2024-10-14,105054.46348062225
2024-10-15,104387.4038414703
2024-10-16,105343.86951340982
2024-10-17,104376.55971466962
2024-10-18,104996.92973345866
2024-10-21,103591.75044160288
2024-10-22,102971.79211288026
2024-10-23,101964.33110207769
2024-10-24,102939.84347373858
2024-10-25,103020.48165602634
2024-10-28,103247.51498341108
2024-10-29,102885.01571175258
2024-10-30,103854.85806220656
2024-10-31,102626.40034276276
2024-11-01,103141.94053762943
2024-11-04,103070.6458070946
2024-11-05,103737.3224005504
2024-11-06,104320.61769893381
2024-11-07,104630.97730660882
2024-11-08,104662.63338805738
2024-11-11,104798.78324831233
2024-11-12,103523.86567673234
2024-11-13,103295.25486070818
2024-11-14,103278.50227628525
2024-11-15,102779.51420198439
2024-11-18,103667.21006065578
2024-11-19,103044.30794288061
2024-11-20,103472.42030981272
2024-11-21,104566.43946298445
2024-11-22,105170.39016843236
2024-11-25,107821.60018161869
2024-11-26,107246.55378992899
2024-11-27,107547.9671780688
2024-11-29,107594.48462166791
2024-12-02,109541.22980846844
2024-12-03,109003.87189562198
2024-12-04,108877.72911214297
2024-12-05,107854.86330467487
2024-12-06,108376.21995055617
2024-12-09,108622.19538332321
2024-12-10,107461.00016647339
2024-12-11,106972.93509916478
2024-12-12,106168.11967666811
2024-12-13,105227.44367172835
2024-12-16,104026.98631805296
2024-12-17,103761.34205764448
2024-12-18,101316.42165588884
2024-12-19,100241.77715350834
2024-12-20,101854.49971547673
2024-12-23,102906.43676839113
2024-12-24,103486.9346715993
2024-12-26,103574.68623908891
2024-12-27,102643.23271346765
2024-12-30,101210.03797149826
2024-12-31,101164.32933940587
2025-01-02,101465.41917914139
2025-01-03,102988.74285651809
2025-01-06,105055.1713114335
2025-01-07,103937.24640519473
2025-01-08,103785.75328197928
