,0
2024-09-04,100000.0
2024-09-05,100842.00961673868
2024-09-06,100179.99883478778
2024-09-09,100837.16798820191
2024-09-10,100866.12978756703
2024-09-11,101370.72808254964
2024-09-12,102219.6198730141
2024-09-13,103493.38490275259
2024-09-16,103214.14078892642
2024-09-17,104025.67857805907
2024-09-18,104516.73154348781
2024-09-19,105475.21666560322
2024-09-20,105054.19667630388
2024-09-23,106174.41194253683
2024-09-24,105836.70722886661
2024-09-25,105076.84137156112
2024-09-26,105896.8327020054
2024-09-27,106391.62307197682
2024-09-30,106552.76701720062
2024-10-01,104861.67414523088
2024-10-02,104233.82456178238
2024-10-03,103230.26688784231
2024-10-04,103578.91217782864
2024-10-07,102518.23445293293
2024-10-08,102932.98752150356
2024-10-09,103980.23756675841
2024-10-10,103633.72525007436
2024-10-11,104554.58239643514
2024-10-14,105054.46348062225
2024-10-15,104387.4038414703
2024-10-16,105343.86951340982
2024-10-17,104378.42165249263
2024-10-18,105026.90697935503
2024-10-21,103699.02993939561
2024-10-22,102917.87149948384
2024-10-23,102361.36367511246
2024-10-24,103212.29223693475
2024-10-25,103116.46181790742
2024-10-28,103606.93277621234
2024-10-29,102891.49614132755
2024-10-30,103502.32320985929
2024-10-31,102071.69581097286
2024-11-01,102523.43244139696
2024-11-04,102588.54672884359
2024-11-05,103854.36781748242
2024-11-06,103243.91180497652
2024-11-07,104196.88892628724
2024-11-08,103474.39543767668
2024-11-11,103984.18561627704
2024-11-12,102567.49520737503
2024-11-13,102150.02792174237
2024-11-14,102060.72059591491
2024-11-15,101299.52761507423
2024-11-18,102198.10740651641
2024-11-19,101695.04659858703
2024-11-20,102320.50451458436
2024-11-21,103384.69099356745
2024-11-22,104128.1338155471
2024-11-25,106670.35809865533
2024-11-26,105668.37939813275
2024-11-27,106203.10215356802
2024-11-29,106520.94347948067
2024-12-02,108444.56401423109
2024-12-03,108434.91219342244
2024-12-04,109013.8115697154
2024-12-05,108017.20867898119
2024-12-06,108904.11003479027
2024-12-09,108813.86964389753
2024-12-10,107567.31959790247
2024-12-11,107149.13468566057
2024-12-12,106264.23331466834
2024-12-13,105523.8497795494
2024-12-16,104455.39627479519
2024-12-17,104236.07413942038
2024-12-18,101782.092800587
2024-12-19,100745.43373110272
2024-12-20,102203.61000701909
2024-12-23,103156.72187826662
2024-12-24,103973.3315738765
2024-12-26,103916.37108621771
2024-12-27,103067.10432340228
2024-12-30,101814.04872394934
2024-12-31,101932.8769392268
2025-01-02,101977.19605831128
2025-01-03,103416.5150040268
2025-01-06,104295.8163578239
2025-01-07,103688.95567615936
2025-01-08,103484.76533791304
