,0
2016-09-06,100000.0
2016-09-07,100000.0
2016-09-08,99935.51364938215
2016-09-09,98982.51056274075
2016-09-12,100080.47707023805
2016-09-13,99238.61892621726
2016-09-14,98763.99255883899
2016-09-15,100159.33237169434
2016-09-16,99609.3038154015
2016-09-19,100232.93217653375
2016-09-20,99989.68734105154
2016-09-21,101579.37154061528
2016-09-22,102536.24047282262
2016-09-23,101591.24748287539
2016-09-26,101454.82710840112
2016-09-27,102290.4112428618
2016-09-28,102782.40372296287
2016-09-29,102126.16890053275
2016-09-30,102960.06951336567
2016-10-03,102905.29548287232
2016-10-04,102411.62837918341
2016-10-05,102333.43207565235
2016-10-06,102678.9940888636
2016-10-07,101485.47278979092
2016-10-10,101614.7607778507
2016-10-11,100367.3467599327
2016-10-12,100436.00106135248
2016-10-13,100520.68748217082
2016-10-14,100914.6749106494
2016-10-17,100627.63352851279
2016-10-18,101063.0078368286
2016-10-19,101277.64982572012
2016-10-20,100412.98631315948
2016-10-21,99553.22166734094
2016-10-24,100245.72514179864
2016-10-25,100165.73087439085
2016-10-26,99669.50548880274
2016-10-27,100207.92558669366
2016-10-28,100638.36928225127
2016-10-31,100301.01552815131
2016-11-01,99708.91485281163
2016-11-02,99425.57663843107
2016-11-03,99167.62637193788
2016-11-04,99469.68276432953
2016-11-07,101846.43178814041
2016-11-08,101879.17697049589
2016-11-09,102724.90750992912
2016-11-10,102903.63527215876
2016-11-11,102911.53182791719
2016-11-14,102478.21158512578
2016-11-15,103327.18102108725
2016-11-16,103436.02343565821
2016-11-17,104071.10828811908
2016-11-18,103602.61437469722
2016-11-21,104850.34910938144
2016-11-22,105246.17433526623
2016-11-23,105863.38166631681
2016-11-25,106175.63499765193
2016-11-28,105757.61073068464
2016-11-29,106236.6092512852
2016-11-30,104942.68139229258
2016-12-01,103596.20413088334
2016-12-02,104018.36264747345
2016-12-05,105296.55762734209
2016-12-06,105962.3076789501
2016-12-07,107131.73603791877
2016-12-08,107148.22453533768
2016-12-09,107857.95971778755
2016-12-12,107725.18722609131
2016-12-13,108042.49125383697
2016-12-14,107269.71176321011
2016-12-15,108064.56139273157
2016-12-16,108536.24381317027
2016-12-19,108241.72384676457
2016-12-20,108345.30276682532
2016-12-21,108244.62692921676
2016-12-22,107979.24497334496
2016-12-23,108405.59478055127
2016-12-27,109000.687090442
2016-12-28,108238.58344064493
2016-12-29,108643.13448887157
2016-12-30,108071.11607072879
2017-01-03,108978.18066026474
2017-01-04,110192.23715323169
2017-01-05,110293.02492398025
2017-01-06,111383.1212634999
2017-01-09,111258.09970007022
2017-01-10,111273.68019778199
2017-01-11,111813.12760701744
2017-01-12,111640.81249104705
2017-01-13,112229.50165634221
2017-01-17,112924.40030614604
2017-01-18,112644.14085298995
2017-01-19,112068.05680576949
2017-01-20,111934.21779718457
2017-01-23,112066.2618696161
2017-01-24,112517.23075035166
2017-01-25,113096.09941417481
2017-01-26,112915.29278408295
2017-01-27,112850.08474620855
2017-01-30,112181.64001964928
2017-01-31,112859.93852066643
2017-02-01,112643.94121183825
2017-02-02,112961.86092605545
2017-02-03,113533.87418430865
2017-02-06,112963.36616207937
2017-02-07,114220.48901536496
2017-02-08,114535.73710573377
2017-02-09,114997.87696470141
2017-02-10,115386.97730123291
2017-02-13,116587.2071572045
2017-02-14,116808.15496768327
2017-02-15,117445.73120121933
2017-02-16,118050.89257771397
2017-02-17,118795.26571163282
2017-02-21,120804.6067813376
2017-02-22,120397.05935424048
2017-02-23,121460.63049437193
2017-02-24,122302.69767519574
2017-02-27,122568.08535208239
2017-02-28,122838.27012855932
2017-03-01,125733.41935642598
2017-03-02,125343.52319809134
2017-03-03,124993.69102069116
2017-03-06,124443.9147583427
2017-03-07,124016.48849385919
2017-03-08,123884.17482914389
2017-03-09,123481.16173096764
2017-03-10,123966.05828235133
2017-03-13,124190.0938300959
2017-03-14,123820.53966538105
2017-03-15,125433.53464276288
2017-03-16,126209.53990414318
2017-03-17,125817.42750877567
2017-03-20,126465.51493640164
2017-03-21,124249.54357947373
2017-03-22,124669.96065074923
2017-03-23,124496.23800490268
2017-03-24,124725.14738457475
2017-03-27,124839.32956029008
2017-03-28,125605.69520313431
2017-03-29,126670.31998041521
2017-03-30,126681.95912996859
2017-03-31,126950.70434258186
2017-04-03,126237.82362818946
2017-04-04,125927.57950634976
2017-04-05,125382.43555846944
2017-04-06,125633.61418311852
2017-04-07,125934.01972785777
2017-04-10,125989.75116366347
2017-04-11,125763.11931598833
2017-04-12,125514.46105905314
2017-04-13,124864.65703755303
2017-04-17,126149.02959004966
2017-04-18,125651.20826847802
2017-04-19,125908.60673599044
2017-04-20,126665.32388057109
2017-04-21,126207.22117530782
2017-04-24,127369.3237864261
2017-04-25,128205.38151963816
2017-04-26,128080.98539980188
2017-04-27,127907.49442380645
2017-04-28,127627.67054435439
2017-05-01,127313.79161492555
2017-05-02,127001.88564957232
2017-05-03,126463.31497339814
2017-05-04,126602.86283340926
2017-05-05,127380.73914459572
2017-05-08,126707.2927498691
2017-05-09,126893.58811229168
2017-05-10,127048.41353780712
2017-05-11,126968.92234583425
2017-05-12,126207.99658700284
2017-05-15,127195.78439182515
2017-05-16,127076.6499317117
2017-05-17,124104.65363121149
2017-05-18,124254.5291420433
2017-05-19,125282.18233191957
2017-05-22,125932.1843257624
2017-05-23,126704.81438235301
2017-05-24,126681.44306107174
2017-05-25,127483.13932650197
2017-05-26,128110.62928588991
2017-05-30,127969.86535674924
2017-05-31,128241.5044134778
2017-06-01,130491.5861221336
2017-06-02,130238.53853874975
2017-06-05,130269.02525834032
2017-06-06,130451.56737600316
2017-06-07,130000.86054128429
2017-06-08,130151.5167581106
2017-06-09,130246.59454468916
2017-06-12,130787.96260699793
2017-06-13,130842.92546610947
2017-06-14,130195.45973917522
2017-06-15,129613.03328850809
2017-06-16,129892.6564858211
2017-06-19,131903.49474405043
2017-06-20,130823.78298678147
2017-06-21,130684.53212315176
2017-06-22,130702.04184639368
2017-06-23,130789.19602274275
2017-06-26,131444.07064568362
2017-06-27,130765.89521451983
2017-06-28,132150.24175581752
2017-06-29,131401.24102591816
2017-06-30,131634.84367549932
2017-07-03,132178.1046815964
2017-07-05,130873.36609654056
2017-07-06,129429.69760835414
2017-07-07,130224.66102888202
2017-07-10,130105.67381881649
2017-07-11,130314.07981503928
2017-07-12,130808.45765761807
2017-07-13,131544.81383110202
2017-07-14,132043.14245833532
2017-07-17,132214.08494360995
2017-07-18,131986.21778207552
2017-07-19,132747.73993252448
2017-07-20,132982.32470034223
2017-07-21,133578.48039450214
2017-07-24,133433.60650616023
2017-07-25,134449.95638243633
2017-07-26,134105.81554261962
2017-07-27,134115.13716407443
2017-07-28,134311.1415683353
2017-07-31,135022.35220090378
2017-08-01,135020.04076674365
2017-08-02,134912.89631263856
2017-08-03,134738.59214215353
2017-08-04,134988.72161336165
2017-08-07,135083.9058429338
2017-08-08,134133.0580924968
2017-08-09,134864.93427173866
2017-08-10,133444.60290777587
2017-08-11,133764.12427296807
2017-08-14,134969.7754368904
2017-08-15,134609.11823347383
2017-08-16,135114.38407287013
2017-08-17,133184.98255209846
2017-08-18,132812.91773573493
2017-08-21,132856.53165250088
2017-08-22,134051.53730575347
2017-08-23,132943.1084251291
2017-08-24,133005.57786787982
2017-08-25,133334.64120752344
2017-08-28,133387.02197665238
2017-08-29,133349.47301968513
2017-08-30,134429.7753808293
2017-08-31,135534.36679510627
2017-09-01,136069.087547963
2017-09-05,135314.94488475347
2017-09-06,135693.72456464576
2017-09-07,135781.05014714692
2017-09-08,136142.5910496643
2017-09-11,137054.33617711635
2017-09-12,137286.00876276987
2017-09-13,136121.3254684896
2017-09-14,135410.24046412317
2017-09-15,135672.09086817293
2017-09-18,136849.60244938804
2017-09-19,136387.08546380504
2017-09-20,136521.32256779046
2017-09-21,136347.45443353662
2017-09-22,137139.8119421592
2017-09-25,137078.14218938557
2017-09-26,137091.8783755457
2017-09-27,137818.47657202036
2017-09-28,137542.40607607432
2017-09-29,138276.79228422057
2017-10-02,138831.65288376505
2017-10-03,138980.73689401767
2017-10-04,139927.03340330347
2017-10-05,140792.92967615539
2017-10-06,139836.33035854626
2017-10-09,138867.60114843323
2017-10-10,138734.17629531736
2017-10-11,138851.13623551247
2017-10-12,138390.03271538264
2017-10-13,138187.85244569593
2017-10-16,137522.16978162818
2017-10-17,138654.47959822763
2017-10-18,139265.84793521606
2017-10-19,140206.8723764257
2017-10-20,142267.57481665612
2017-10-23,141129.99015325922
2017-10-24,141424.3852476184
2017-10-25,139874.47012662882
2017-10-26,139855.5277019199
2017-10-27,139090.94500234735
2017-10-30,138986.71863920448
2017-10-31,139705.60509245467
2017-11-01,139326.73779080226
2017-11-02,139458.24483551222
2017-11-03,140279.5793440286
2017-11-06,141007.84394007234
2017-11-07,139941.43262180514
2017-11-08,140775.54142474552
2017-11-09,141285.94513406756
2017-11-10,141825.31541135948
2017-11-13,142164.3825598053
2017-11-14,141766.03082666625
2017-11-15,141886.30398097204
