ticker,gap_date,entry_date,exit_date,bucket,gap_pct,entry_price,exit_price,exit_reason,contracts_shares,position_dollars,pnl_pct,pnl_dollar,days_held
INTU,2016-09-13,2016-09-14,2016-09-15,2-3%,-2.246,107.08,109.54,tp_gap_filled,46.5174,4981.08,2.297,114.43,1
MRVL,2016-09-07,2016-09-08,2016-09-16,2-3%,-2.859,12.57,12.94,tp_gap_filled,397.3182,4994.29,2.944,147.01,6
PCAR,2016-09-14,2016-09-15,2016-09-16,2-3%,-2.076,36.7933,37.5733,tp_gap_filled,136.0654,5006.3,2.12,106.13,1
TPR,2016-09-14,2016-09-15,2016-09-19,3-5%,-3.004,35.2,36.29,tp_gap_filled,142.0527,5000.25,3.097,154.84,2
ESS,2016-09-09,2016-09-12,2016-09-20,2-3%,-2.941,220.16,226.83,tp_gap_filled,22.6885,4995.1,3.03,151.33,6
DVN,2016-09-16,2016-09-19,2016-09-20,2-3%,-2.2,40.0,40.9,tp_gap_filled,125.7781,5031.12,2.25,113.2,1
TRGP,2016-09-16,2016-09-19,2016-09-20,2-3%,-2.149,45.53,46.53,tp_gap_filled,110.6187,5036.47,2.196,110.62,1
FCX,2016-09-12,2016-09-13,2016-09-21,2-3%,-2.532,10.01,10.27,tp_gap_filled,498.2549,4987.53,2.597,129.55,6
APA,2016-09-13,2016-09-14,2016-09-21,2-3%,-2.17,58.6,59.9,tp_gap_filled,85.0423,4983.48,2.218,110.56,5
HAL,2016-09-16,2016-09-19,2016-09-21,2-3%,-2.394,40.77,41.77,tp_gap_filled,123.3254,5027.98,2.453,123.33,2
WMB,2016-09-09,2016-09-12,2016-09-22,3-5%,-4.173,29.85,31.15,tp_gap_filled,167.1805,4990.34,4.355,217.33,8
LH,2016-09-13,2016-09-15,2016-09-22,2-3%,-2.176,115.1117,117.6718,tp_gap_filled,43.4796,5005.01,2.224,111.31,5
NRG,2016-09-13,2016-09-21,2016-09-22,2-3%,-2.17,11.72,11.98,tp_gap_filled,432.7718,5072.09,2.218,112.52,1
HII,2016-09-20,2016-09-22,2016-09-26,2-3%,-2.761,150.4,154.67,tp_gap_filled,33.8241,5087.15,2.839,144.43,2
CPT,2016-09-21,2016-09-22,2016-09-27,3-5%,-4.082,84.12,87.7,tp_gap_filled,60.419,5082.44,4.256,216.3,3
ACN,2016-09-23,2016-09-26,2016-09-27,2-3%,-2.771,110.51,113.66,tp_gap_filled,45.9356,5076.34,2.85,144.7,1
PYPL,2016-09-23,2016-09-26,2016-09-27,2-3%,-2.198,39.6,40.49,tp_gap_filled,128.3773,5083.74,2.247,114.26,1
TTD,2016-09-26,2016-09-27,2016-09-28,2-3%,-2.025,2.71,2.766,tp_gap_filled,1882.1199,5100.55,2.066,105.4,1
MKC,2016-09-16,2016-09-19,2016-09-29,2-3%,-2.397,47.85,49.025,tp_gap_filled,105.0406,5026.19,2.456,123.42,8
NTAP,2016-09-26,2016-09-27,2016-09-30,2-3%,-2.215,34.87,35.66,tp_gap_filled,146.1747,5097.11,2.266,115.48,3
IVZ,2016-09-13,2016-09-21,2016-10-03,2-3%,-2.183,30.92,31.61,tp_gap_filled,164.0602,5072.74,2.232,113.2,8
NCLH,2016-10-05,2016-10-06,2016-10-07,2-3%,-2.97,36.92,38.05,tp_gap_filled,138.5767,5116.25,3.061,156.59,1
WYNN,2016-09-30,2016-10-03,2016-10-11,2-3%,-2.436,98.14,100.59,tp_gap_filled,52.1381,5116.84,2.496,127.74,6
FSLR,2016-10-07,2016-10-11,2016-10-14,2-3%,-2.34,38.82,39.75,tp_gap_filled,130.4935,5065.76,2.396,121.36,3
TXT,2016-10-07,2016-10-10,2016-10-20,5-10%,-5.588,37.68,39.91,tp_gap_filled,135.3333,5099.36,5.918,301.79,8
AMD,2016-09-07,2016-10-03,2016-10-25,3-5%,-3.951,7.05,7.34,tp_gap_filled,725.7237,5116.35,4.113,210.46,16
WDC,2016-10-19,2016-10-20,2016-10-25,2-3%,-2.389,39.8337,40.8088,tp_gap_filled,127.6495,5084.75,2.448,124.47,3
KDP,2016-10-04,2016-10-06,2016-10-26,2-3%,-2.766,88.25,90.76,tp_gap_filled,58.1095,5128.17,2.844,145.86,14
EXPD,2016-10-24,2016-10-25,2016-10-26,2-3%,-2.57,48.52,49.8,tp_gap_filled,104.7207,5081.05,2.638,134.04,1
DELL,2016-09-12,2016-09-13,2016-10-27,2-3%,-2.078,13.4877,13.774,tp_gap_filled,370.0414,4991.02,2.122,105.93,32
