,0
2016-09-06,100000.0
2016-09-07,100000.0
2016-09-08,99877.84248850627
2016-09-09,99814.87791128422
2016-09-12,100012.31295851176
2016-09-13,99866.0736544561
2016-09-14,99512.20199373901
2016-09-15,100283.85643518265
2016-09-16,100241.93097082134
2016-09-19,101016.98264838452
2016-09-20,100779.61382571014
2016-09-21,101510.94666270152
2016-09-22,101865.7309060989
2016-09-23,101671.46631077823
2016-09-26,101769.78743643404
2016-09-27,102552.95199405975
2016-09-28,102271.98042249015
2016-09-29,101823.65363942803
2016-09-30,102385.3306418469
2016-10-03,102396.18687188727
2016-10-04,102184.71562071683
2016-10-05,102096.3997181459
2016-10-06,102567.61685152682
2016-10-07,101891.25794443437
2016-10-10,102110.21563974879
2016-10-11,101244.70455201507
2016-10-12,101663.09100074031
2016-10-13,101814.55747677386
2016-10-14,101989.24133436385
2016-10-17,101468.47387110324
2016-10-18,101929.2302332064
2016-10-19,102358.93681450994
2016-10-20,101806.96202709367
2016-10-21,101038.57705782975
2016-10-24,101778.87863749736
2016-10-25,101813.68309950193
2016-10-26,101799.45566803751
2016-10-27,102030.49468990619
2016-10-28,102821.68184004782
2016-10-31,102463.23012266221
2016-11-01,101922.20309763425
2016-11-02,101923.74170340344
2016-11-03,101525.48576973715
2016-11-04,101364.08046563152
2016-11-07,103659.19621463996
2016-11-08,103793.2622508182
2016-11-09,104973.44097726615
2016-11-10,105289.12908841617
2016-11-11,105645.44688157862
2016-11-14,105971.44222382149
2016-11-15,106252.37757448535
2016-11-16,106263.14613053162
2016-11-17,106679.6093264959
2016-11-18,106636.21076025095
2016-11-21,106672.67928300059
2016-11-22,107510.78201823944
2016-11-23,108242.66132355735
2016-11-25,108920.06564517907
2016-11-28,108240.82848938409
2016-11-29,108534.58591952268
2016-11-30,107602.62621223045
2016-12-01,106314.55826495113
2016-12-02,106682.23464868814
2016-12-05,107949.00019038623
2016-12-06,108400.34318427477
2016-12-07,109357.26514238323
2016-12-08,110146.53074698086
2016-12-09,110671.02208184525
2016-12-12,110658.53887999877
2016-12-13,111082.98265552096
2016-12-14,110005.64010828457
2016-12-15,110863.61647257982
2016-12-16,111799.47303327882
2016-12-19,111719.10442302309
2016-12-20,111896.90869718736
2016-12-21,111786.26198669682
2016-12-22,111349.65217780335
2016-12-23,111850.07629477016
2016-12-27,112361.79467268159
2016-12-28,111408.9939082725
2016-12-29,111976.73844633119
2016-12-30,111522.29529703091
2017-01-03,112531.97655288328
2017-01-04,113887.15160309289
2017-01-05,114335.66290241804
2017-01-06,115314.31088715245
2017-01-09,115244.29154419062
2017-01-10,115146.10113713224
2017-01-11,115443.71737956234
2017-01-12,115194.84168141401
2017-01-13,115853.62465470385
2017-01-17,116319.80853324063
2017-01-18,116161.55991237414
2017-01-19,115585.98951484375
2017-01-20,115900.32495527274
2017-01-23,115916.12892567
2017-01-24,116324.4393548767
2017-01-25,117132.234824893
2017-01-26,117049.61113318896
2017-01-27,117269.74667332828
2017-01-30,116705.95774872451
2017-01-31,117590.70191519051
2017-02-01,117546.09436185517
2017-02-02,117322.1095757673
2017-02-03,118068.19619263253
2017-02-06,117870.55104791092
2017-02-07,118976.41153769265
2017-02-08,119908.54443491534
2017-02-09,120990.77067965077
2017-02-10,121531.92889534865
2017-02-13,122533.2415147766
2017-02-14,123347.74729508265
2017-02-15,124128.20137244194
2017-02-16,124160.80039469137
2017-02-17,125065.68947408517
2017-02-21,127376.46939568754
2017-02-22,126873.6178706015
2017-02-23,127148.34822948216
2017-02-24,128476.51559951094
2017-02-27,128526.67212131948
2017-02-28,128151.5801010027
2017-03-01,129020.18854045527
2017-03-02,128937.24495900812
2017-03-03,128572.95694994523
2017-03-06,127762.88686778402
2017-03-07,127234.91393426205
2017-03-08,126908.32881736345
2017-03-09,126843.98555279762
2017-03-10,127239.5979219931
2017-03-13,127408.6282279223
2017-03-14,126919.20871820819
2017-03-15,128254.04701921591
2017-03-16,128730.50669967166
2017-03-17,128916.01886794539
2017-03-20,129134.89293817272
2017-03-21,126608.38134481532
2017-03-22,127036.707446897
2017-03-23,127275.13098024244
2017-03-24,127813.68960636258
2017-03-27,127902.57426117083
2017-03-28,128614.74675950853
2017-03-29,129434.33858209456
2017-03-30,129403.22736984421
2017-03-31,129385.11509853191
2017-04-03,128650.2336849975
2017-04-04,127732.89974234371
2017-04-05,127113.84033509002
2017-04-06,127608.68295415354
2017-04-07,127887.20333269208
2017-04-10,127764.34454734443
2017-04-11,127857.11729744251
2017-04-12,127726.43694678442
2017-04-13,127112.81738650237
2017-04-17,128184.36274092524
2017-04-18,127888.63430027824
2017-04-19,127962.65755257236
2017-04-20,128932.14834663595
2017-04-21,128189.59865391857
2017-04-24,128978.4003267855
2017-04-25,129409.89268187452
2017-04-26,129535.98257176651
2017-04-27,129005.77875261233
2017-04-28,128647.05149048759
2017-05-01,128322.86981450439
2017-05-02,128058.22586792272
2017-05-03,127436.80015748013
2017-05-04,127704.92633498654
2017-05-05,128491.68542590617
2017-05-08,127937.1223929776
2017-05-09,127651.65345667678
2017-05-10,127949.50689443166
2017-05-11,127663.71336394656
2017-05-12,126788.80026529988
2017-05-15,127402.3862366094
2017-05-16,126731.79086319392
2017-05-17,124290.20972333624
2017-05-18,124331.69751518147
2017-05-19,125116.2833278172
2017-05-22,125688.32349825739
2017-05-23,126467.50575554208
2017-05-24,126630.93676599028
2017-05-25,128092.21226242634
2017-05-26,128463.26842577323
2017-05-30,128245.29639029791
2017-05-31,128067.74780527451
2017-06-01,129430.84748318262
2017-06-02,129045.05315620659
2017-06-05,129051.69461034262
2017-06-06,128764.5500712425
2017-06-07,129335.97374996782
2017-06-08,129301.48982265196
2017-06-09,130752.21760667102
2017-06-12,131472.10175543677
2017-06-13,131662.90595649288
2017-06-14,130880.4050015999
2017-06-15,130158.24548619664
2017-06-16,130091.22077985927
2017-06-19,132254.5254788904
2017-06-20,130461.23664007011
2017-06-21,129842.67474045909
2017-06-22,130073.82677849138
2017-06-23,130423.67898400826
2017-06-26,130996.08697028786
2017-06-27,130731.10924479178
2017-06-28,131992.05532348884
2017-06-29,131470.75759165132
2017-06-30,131926.66610793237
2017-07-03,132286.64620145396
2017-07-05,131319.64055148908
2017-07-06,130046.23083979797
2017-07-07,130434.26763017732
2017-07-10,130237.47108203474
2017-07-11,130305.75444100992
2017-07-12,130534.1615185749
2017-07-13,131564.02159601767
2017-07-14,131955.54957973884
2017-07-17,132173.30429215383
2017-07-18,132035.2353540412
2017-07-19,132598.2310670648
2017-07-20,132457.7087618943
2017-07-21,133410.5543331674
2017-07-24,133333.7865946094
2017-07-25,134686.5033067912
2017-07-26,134373.2439706572
2017-07-27,134605.53821197283
2017-07-28,134632.19092220173
2017-07-31,135558.62217373287
2017-08-01,135535.02746524688
2017-08-02,135343.58542046306
2017-08-03,135028.37198779653
2017-08-04,135131.75198758597
2017-08-07,135414.7033493211
2017-08-08,134496.2336267243
2017-08-09,135087.88042011365
2017-08-10,133371.14577809838
2017-08-11,133945.61320138763
2017-08-14,135033.53059280728
2017-08-15,134522.7569141277
2017-08-16,135668.74662028137
2017-08-17,133621.36177648327
2017-08-18,133176.9728695594
2017-08-21,133322.85944708157
2017-08-22,134616.03039943776
2017-08-23,133219.6041210472
2017-08-24,132796.19422203605
2017-08-25,133269.54839763188
2017-08-28,133193.5104678632
2017-08-29,132919.12578164515
2017-08-30,133599.1303273913
2017-08-31,134329.14620954552
2017-09-01,134727.25319815901
2017-09-05,133932.6076974266
2017-09-06,134612.46682446756
2017-09-07,134962.95300707713
2017-09-08,134904.1228380118
2017-09-11,135724.29643411795
2017-09-12,136522.8483549442
2017-09-13,135558.8927989561
2017-09-14,134433.31524332
2017-09-15,135086.18512787955
2017-09-18,136404.65918294108
2017-09-19,135619.45997581846
2017-09-20,135758.08431077973
2017-09-21,135709.82090065043
2017-09-22,136975.59439291508
2017-09-25,137453.24472670257
2017-09-26,137044.72009520492
2017-09-27,137910.50671151336
2017-09-28,137317.03220210035
2017-09-29,137696.26792218344
2017-10-02,138717.67685658392
2017-10-03,138642.6876891632
2017-10-04,138776.62731121955
2017-10-05,139426.2721562265
2017-10-06,138606.07823300792
2017-10-09,137243.5820818094
2017-10-10,136711.2393674882
2017-10-11,136886.1375159462
2017-10-12,136597.63785084485
2017-10-13,136766.066281706
2017-10-16,135889.49837129872
2017-10-17,137039.6139896847
2017-10-18,137840.3574298511
2017-10-19,138459.07877325016
2017-10-20,140482.60029403085
2017-10-23,139523.90064319802
2017-10-24,140514.95358331004
2017-10-25,138350.32745213923
2017-10-26,138032.84384967788
2017-10-27,137173.3619637702
2017-10-30,136950.25475469854
2017-10-31,138275.90931734946
2017-11-01,137892.6251112044
2017-11-02,137277.08287814524
2017-11-03,138253.50054247968
2017-11-06,139986.32327475297
2017-11-07,139054.14578351975
2017-11-08,139702.8525380048
2017-11-09,139020.2365863216
2017-11-10,139682.16707335337
2017-11-13,139666.20807460742
2017-11-14,139377.3953968729
2017-11-15,139348.23998386657
