,0
2016-09-06,100000.0
2016-09-07,100000.0
2016-09-08,99900.63761490647
2016-09-09,98929.0516962394
2016-09-12,99970.44113415304
2016-09-13,99099.77065676491
2016-09-14,98611.19654926576
2016-09-15,99963.87840060004
2016-09-16,99394.86842430825
2016-09-19,99997.1029337383
2016-09-20,99734.32466149115
2016-09-21,101259.13305067542
2016-09-22,102110.47233841685
2016-09-23,101148.1879884955
2016-09-26,101001.20370787362
2016-09-27,101811.82329062858
2016-09-28,102281.5714934462
2016-09-29,101586.8705641079
2016-09-30,102383.07223180958
2016-10-03,102292.30052332174
2016-10-04,101795.36337866075
2016-10-05,101708.06292385631
2016-10-06,102052.62293335944
2016-10-07,100865.58574997191
2016-10-10,100993.08417949946
2016-10-11,99742.83346693746
2016-10-12,99807.68926948964
2016-10-13,99891.31394617303
2016-10-14,100272.43521461589
2016-10-17,99986.57620187772
2016-10-18,100413.78456279726
2016-10-19,100627.35708087307
2016-10-20,99767.77484753088
2016-10-21,98908.4543089881
2016-10-24,99597.01355517466
2016-10-25,99506.52669618693
2016-10-26,98992.47247520926
2016-10-27,99502.69540818194
2016-10-28,99909.83234491412
2016-10-31,99573.90027817508
2016-11-01,98975.66684842197
2016-11-02,98695.95033889334
2016-11-03,98438.24587725985
2016-11-04,98738.21690857102
2016-11-07,101077.3260215842
2016-11-08,101089.66491107538
2016-11-09,101889.9549180104
2016-11-10,102059.40894733243
2016-11-11,102058.36158269149
2016-11-14,101629.1740230259
2016-11-15,102470.73242088492
2016-11-16,102578.54006624143
2016-11-17,103208.43105108626
2016-11-18,102743.49952321098
2016-11-21,103969.37141525767
2016-11-22,104352.18823027673
2016-11-23,104954.19544018756
2016-11-25,105263.74068380264
2016-11-28,104849.30679877139
2016-11-29,105324.00563008357
2016-11-30,104040.11139465775
2016-12-01,102703.9590813251
2016-12-02,103122.66114525261
2016-12-05,104381.15062661262
2016-12-06,105042.29586893674
2016-12-07,106181.24000869207
2016-12-08,106165.60587816375
2016-12-09,106836.97346727825
2016-12-12,106694.61456202039
2016-12-13,106999.02924527027
2016-12-14,106233.08138647175
2016-12-15,107009.30376837544
2016-12-16,107468.09371467298
2016-12-19,107165.06968516113
2016-12-20,107267.41540484306
2016-12-21,107168.003686403
2016-12-22,106894.62732765442
2016-12-23,107317.0993101432
2016-12-27,107906.59229929073
2016-12-28,107151.4586521607
2016-12-29,107551.90854269483
2016-12-30,106984.89498082061
2017-01-03,107883.71227658282
2017-01-04,109075.74392441117
2017-01-05,109163.8919062335
2017-01-06,110210.49827028005
2017-01-09,110065.26712732654
2017-01-10,110080.93540733744
2017-01-11,110603.75765663212
2017-01-12,110422.15404224428
2017-01-13,110993.68869949188
2017-01-17,111669.5991812142
2017-01-18,111392.41481434734
2017-01-19,110822.43128996654
2017-01-20,110688.69503405178
2017-01-23,110807.6792860873
2017-01-24,111221.79483483723
2017-01-25,111783.1927421707
2017-01-26,111592.07910061252
2017-01-27,111527.69413610257
2017-01-30,110866.58479712621
2017-01-31,111537.53667192088
2017-02-01,111323.48096709693
2017-02-02,111626.8665155489
2017-02-03,112192.6682313488
2017-02-06,111628.44335540933
2017-02-07,112837.49267976837
2017-02-08,113126.94887095792
2017-02-09,113572.03658122184
2017-02-10,113946.4095603133
2017-02-13,115084.71809623721
2017-02-14,115280.09262391913
2017-02-15,115898.0610231967
2017-02-16,116443.18325039007
2017-02-17,117129.95703167928
2017-02-21,119039.34111247037
2017-02-22,118602.6726956551
2017-02-23,119614.57640102298
2017-02-24,120421.39833389809
2017-02-27,120658.3765631372
2017-02-28,120888.43352957768
2017-03-01,123651.7016422883
2017-03-02,123205.25541058472
2017-03-03,122824.12303888383
2017-03-06,122283.48381300211
2017-03-07,121863.19221925779
2017-03-08,121721.03770967851
2017-03-09,121323.7453323491
2017-03-10,121800.43765517206
2017-03-13,122020.77347384418
2017-03-14,121657.17700940555
2017-03-15,123193.76847103934
2017-03-16,123905.00123774797
2017-03-17,123470.82083798807
2017-03-20,124081.48884932547
2017-03-21,121892.22307167124
2017-03-22,122304.95121516856
2017-03-23,122134.99601198152
2017-03-24,122359.06984738754
2017-03-27,122470.24436479835
2017-03-28,123210.55218768645
2017-03-29,124243.83010842904
2017-03-30,124229.86977839604
2017-03-31,124493.85040427539
2017-04-03,123793.23792912107
2017-04-04,123476.24945073707
2017-04-05,122916.41596831688
2017-04-06,123163.92304984502
2017-04-07,123458.66535080728
2017-04-10,123488.60324273667
2017-04-11,123253.63166972797
2017-04-12,122991.4316847389
2017-04-13,122353.45975844232
2017-04-17,123614.65976543841
2017-04-18,123126.30334228506
2017-04-19,123378.33671920141
2017-04-20,124121.385767046
2017-04-21,123670.9117609104
2017-04-24,124799.58187646937
2017-04-25,125594.46953873432
2017-04-26,125435.48351599388
2017-04-27,125252.92473393586
2017-04-28,124978.36489185224
2017-05-01,124669.67398894252
2017-05-02,124363.41900693245
2017-05-03,123834.74152232053
2017-05-04,123960.79525091447
2017-05-05,124724.08210106732
2017-05-08,124062.41704903275
2017-05-09,124237.83747770711
2017-05-10,124364.50279250453
2017-05-11,124279.04820002693
2017-05-12,123532.25876772366
2017-05-15,124476.21288310042
2017-05-16,124332.17385178007
2017-05-17,121421.06708592256
2017-05-18,121555.94016219692
2017-05-19,122563.42242055069
2017-05-22,123163.31830986355
2017-05-23,123861.77941207142
2017-05-24,123782.12354260033
2017-05-25,124500.15450967528
2017-05-26,125068.11155080661
2017-05-30,124906.16794632748
2017-05-31,125122.15711920874
2017-06-01,127234.3521792339
2017-06-02,126917.80184618977
2017-06-05,126902.50534216923
2017-06-06,127042.75643578022
2017-06-07,126604.40522036029
2017-06-08,126753.0326068968
2017-06-09,126827.29422301709
2017-06-12,127342.71891447352
2017-06-13,127396.41901398005
2017-06-14,126762.72869085528
2017-06-15,126188.68156291191
2017-06-16,126434.5120141635
2017-06-19,128343.09507665709
2017-06-20,127283.6509756622
2017-06-21,127116.07377117604
2017-06-22,127134.11642124373
2017-06-23,127219.45349586903
2017-06-26,127845.32987664858
2017-06-27,127171.83556455241
2017-06-28,128519.33804697458
2017-06-29,127778.0909091854
2017-06-30,127994.4062258397
2017-07-03,128511.35840206686
2017-07-05,127240.02150783241
2017-07-06,125833.68550556319
2017-07-07,126588.07266761581
2017-07-10,126447.51007750619
2017-07-11,126623.81590760768
2017-07-12,127091.67881726866
2017-07-13,127795.2808987061
2017-07-14,128281.25000169904
2017-07-17,128447.39377972495
2017-07-18,128224.98393581467
2017-07-19,128939.62417875585
2017-07-20,129125.60316620747
2017-07-21,129679.40655951241
2017-07-24,129524.11686027698
2017-07-25,130513.53609608122
2017-07-26,130165.86606911517
2017-07-27,130151.10171185779
2017-07-28,130340.77119439715
2017-07-31,131018.65808371524
2017-08-01,131003.66750330776
2017-08-02,130899.55006419608
2017-08-03,130715.91882350478
2017-08-04,130945.6274895929
2017-08-07,131037.80672689379
2017-08-08,130113.54248901398
2017-08-09,130810.83779371217
2017-08-10,129431.36500451517
2017-08-11,129742.25424978552
2017-08-14,130898.56586561346
2017-08-15,130520.58528171414
2017-08-16,131011.60421140029
2017-08-17,129138.49902525848
2017-08-18,128777.04816706077
2017-08-21,128819.01002342682
2017-08-22,129972.76674267609
2017-08-23,128882.48238304589
2017-08-24,128903.84690055379
2017-08-25,129209.35041673503
2017-08-28,129246.00818035462
2017-08-29,129209.41203243537
2017-08-30,130243.61040805615
2017-08-31,131249.5852563679
2017-09-01,131741.42715696341
2017-09-05,130997.19576404
2017-09-06,131363.93109860033
2017-09-07,131434.98330316547
2017-09-08,131758.24224876764
2017-09-11,132588.88555529618
2017-09-12,132813.9193093288
2017-09-13,131688.2864798294
2017-09-14,130975.65276747986
2017-09-15,131215.0652567478
2017-09-18,132328.12399338488
2017-09-19,131867.95360819012
2017-09-20,131998.70518811318
2017-09-21,131817.39693012382
2017-09-22,132570.8967291907
2017-09-25,132511.41418781638
2017-09-26,132511.02831903822
2017-09-27,133200.28731700985
2017-09-28,132933.28798603915
2017-09-29,133629.68482062255
2017-10-02,134153.52820090772
2017-10-03,134298.4725324486
2017-10-04,135198.87338816482
2017-10-05,135995.52760071488
2017-10-06,135057.28514651817
2017-10-09,134120.15224624722
2017-10-10,133977.19173993284
2017-10-11,134089.53624459842
2017-10-12,133644.09540450384
2017-10-13,133449.24705369037
2017-10-16,132806.45710423964
2017-10-17,133888.45828355764
2017-10-18,134464.9360775879
2017-10-19,135361.21364771825
2017-10-20,137324.57243445973
2017-10-23,136198.13472284406
2017-10-24,136470.74420313115
2017-10-25,134941.40951916212
2017-10-26,134922.2190368903
2017-10-27,134169.61916262755
2017-10-30,134069.56905440238
2017-10-31,134763.63554263217
2017-11-01,134871.79143496786
2017-11-02,134981.92710732468
2017-11-03,135594.90789058455
2017-11-06,136144.4909005095
2017-11-07,135050.2738616151
2017-11-08,135787.4797742307
2017-11-09,135892.47249489077
2017-11-10,136174.05606164783
2017-11-13,136006.2148534997
2017-11-14,135725.24871554412
2017-11-15,135681.41014840265
