,0
2016-09-06,100000.0
2016-09-07,100000.0
2016-09-08,99862.9924090255
2016-09-09,99800.09858894337
2016-09-12,99987.32247011873
2016-09-13,99831.27931464504
2016-09-14,99467.89641627696
2016-09-15,100213.42237401457
2016-09-16,100161.36859019363
2016-09-19,100909.82650652129
2016-09-20,100657.48854406309
2016-09-21,101362.29763092447
2016-09-22,101685.50288005007
2016-09-23,101481.36768384208
2016-09-26,101563.7695615531
2016-09-27,102318.62491206445
2016-09-28,102033.5076863306
2016-09-29,101581.07030170324
2016-09-30,102136.4519760417
2016-10-03,102121.40203682348
2016-10-04,101905.20851677627
2016-10-05,101817.24798252869
2016-10-06,102266.66674395974
2016-10-07,101581.93490439348
2016-10-10,101779.41483139984
2016-10-11,100906.85406145116
2016-10-12,101324.169432386
2016-10-13,101474.98191451328
2016-10-14,101638.64355788658
2016-10-17,101119.63713667836
2016-10-18,101578.92793852979
2016-10-19,102007.14650538203
2016-10-20,101446.44058722706
2016-10-21,100680.75702219954
2016-10-24,101418.66135656474
2016-10-25,101432.29030585455
2016-10-26,101397.04616747006
2016-10-27,101596.63431482708
2016-10-28,102368.7040038725
2016-10-31,102011.32678545901
2016-11-01,101472.27281269681
2016-11-02,101474.56049147366
2016-11-03,101077.17261000491
2016-11-04,100916.53218568188
2016-11-07,103180.83528913622
2016-11-08,103303.86248562434
2016-11-09,104458.28258596225
2016-11-10,104763.63794450213
2016-11-11,105108.53953216357
2016-11-14,105422.29520541718
2016-11-15,105690.77564238409
2016-11-16,105690.66577559031
2016-11-17,106104.91426476836
2016-11-18,106061.58722425828
2016-11-21,106096.56415660685
2016-11-22,106931.25549836247
2016-11-23,107637.82965790552
2016-11-25,108300.20825170187
2016-11-28,107624.80938309932
2016-11-29,107916.87072133891
2016-11-30,106989.19968341751
2016-12-01,105707.55858731
2016-12-02,106073.34142289526
2016-12-05,107323.48274400734
2016-12-06,107773.31979526125
2016-12-07,108709.84541750593
2016-12-08,109479.31076215893
2016-12-09,109978.88884317946
2016-12-12,109966.51561182298
2016-12-13,110377.88365206897
2016-12-14,109306.44362570097
2016-12-15,110147.42918488217
2016-12-16,111068.41581314824
2016-12-19,110976.98254588134
2016-12-20,111153.48622555131
2016-12-21,111043.94817278355
2016-12-22,110599.3749309474
2016-12-23,111096.7977548786
2016-12-27,111605.2087352074
2016-12-28,110658.19031053458
2016-12-29,111222.1058726915
2016-12-30,110770.19316662989
2017-01-03,111773.76103439217
2017-01-04,113098.34940377841
2017-01-05,113532.41080386419
2017-01-06,114463.89437186334
2017-01-09,114365.73179494195
2017-01-10,114245.7896636952
2017-01-11,114524.21817218114
2017-01-12,114277.12504682668
2017-01-13,114913.53583360545
2017-01-17,115364.65193589426
2017-01-18,115195.5700078619
2017-01-19,114612.7708018759
2017-01-20,114925.1265810422
2017-01-23,114929.15197401382
2017-01-24,115311.43626652315
2017-01-25,116089.78912379949
2017-01-26,115994.86715773458
2017-01-27,116200.94166538329
2017-01-30,115641.84564698052
2017-01-31,116519.24708324808
2017-02-01,116474.49464720933
2017-02-02,116252.78355131212
2017-02-03,116992.55612154897
2017-02-06,116783.75150855459
2017-02-07,117845.5760379122
2017-02-08,118745.57282792675
2017-02-09,119805.52508646705
2017-02-10,120341.86406243182
2017-02-13,121303.23522593407
2017-02-14,122079.15364042824
2017-02-15,122827.40421779062
2017-02-16,122823.90407917582
2017-02-17,123681.1580077815
2017-02-21,125890.99433384486
2017-02-22,125369.07306053028
2017-02-23,125628.75373564349
2017-02-24,126929.976685353
2017-02-27,126953.9527021101
2017-02-28,126569.90787262243
2017-03-01,127373.22163450542
2017-03-02,127257.83886953475
2017-03-03,126879.26261694526
2017-03-06,126078.62235704198
2017-03-07,125557.3057146262
2017-03-08,125235.3778941785
2017-03-09,125172.33724583192
2017-03-10,125563.50734743936
2017-03-13,125730.59298702667
2017-03-14,125247.08861244953
2017-03-15,126552.04714395916
2017-03-16,127002.1064901708
2017-03-17,127160.52459910397
2017-03-20,127356.45226880099
2017-03-21,124862.46641961075
2017-03-22,125285.19995679791
2017-03-23,125507.9607254555
2017-03-24,126038.92575708352
2017-03-27,126126.20746325364
2017-03-28,126815.79155238983
2017-03-29,127617.78551546088
2017-03-30,127580.47361461178
2017-03-31,127562.58664198747
2017-04-03,126837.2248098783
2017-04-04,125932.02884553104
2017-04-05,125321.03312770107
2017-04-06,125809.71322349324
2017-04-07,126084.95561731381
2017-04-10,125957.0898183986
2017-04-11,126036.68930474686
2017-04-12,125907.7286394084
2017-04-13,125295.84680553636
2017-04-17,126352.48320720249
2017-04-18,126060.5843678171
2017-04-19,126133.5533335496
2017-04-20,127079.8116586761
2017-04-21,126347.45868516504
2017-04-24,127112.99603654683
2017-04-25,127538.96445881092
2017-04-26,127650.45153556742
2017-04-27,127115.801692602
2017-04-28,126761.4730748176
2017-05-01,126441.6129940805
2017-05-02,126180.64599137478
2017-05-03,125567.75246888875
2017-05-04,125820.08737855546
2017-05-05,126595.91150768894
2017-05-08,126048.82705985646
2017-05-09,125761.05166135731
2017-05-10,126041.35350054923
2017-05-11,125759.45895826042
2017-05-12,124896.71144899417
2017-05-15,125489.25479185618
2017-05-16,124828.35293356238
2017-05-17,122410.16849371724
2017-05-18,122439.00554659464
2017-05-19,123212.08593528744
2017-05-22,123750.3792398638
2017-05-23,124465.9596981231
2017-05-24,124589.48707246948
2017-05-25,125975.87026331475
2017-05-26,126308.39674865593
2017-05-30,126087.83296550147
2017-05-31,125908.01527889549
2017-06-01,127241.43902466746
2017-06-02,126837.31362785227
2017-06-05,126817.80741385506
2017-06-06,126515.9160568563
2017-06-07,127064.09985820061
2017-06-08,127030.71425373752
2017-06-09,128424.70238032521
2017-06-12,129106.84097276618
2017-06-13,129294.67956349644
2017-06-14,128517.90333365242
2017-06-15,127801.79367295856
2017-06-16,127709.27029659499
2017-06-19,129781.00445116422
2017-06-20,128011.19909821871
2017-06-21,127396.9078923741
2017-06-22,127618.17922878993
2017-06-23,127955.6215292535
2017-06-26,128518.33293029851
2017-06-27,128257.81907870366
2017-06-28,129496.3389194619
2017-06-29,128972.35138820874
2017-06-30,129420.95154903104
2017-07-03,129775.0576952812
2017-07-05,128824.73488449038
2017-07-06,127573.87875003746
2017-07-07,127942.12581792886
2017-07-10,127736.69723272821
2017-07-11,127783.83444120707
2017-07-12,128001.45638583899
2017-07-13,128999.01956282316
2017-07-14,129383.86640773548
2017-07-17,129584.47895996663
2017-07-18,129441.73672071437
2017-07-19,129967.55437473906
2017-07-20,129795.50867051615
2017-07-21,130703.12392201221
2017-07-24,130600.12002616
2017-07-25,131901.33090797212
2017-07-26,131580.999076864
2017-07-27,131777.4931363959
2017-07-28,131803.29080013742
2017-07-31,132697.47654802116
2017-08-01,132674.75149782328
2017-08-02,132487.16790194498
2017-08-03,132163.8620057385
2017-08-04,132265.42904840456
2017-08-07,132542.9460024708
2017-08-08,131643.0856051187
2017-08-09,132209.23501682706
2017-08-10,130527.30245175687
2017-08-11,131090.68213828848
2017-08-14,132141.60964011
2017-08-15,131626.3241877237
2017-08-16,132736.76751240986
2017-08-17,130732.0450937432
2017-08-18,130296.78344421604
2017-08-21,130439.4605556402
2017-08-22,131705.421604459
2017-08-23,130337.13660541072
2017-08-24,129897.50496382648
2017-08-25,130360.2575978136
2017-08-28,130285.17510326277
2017-08-29,130016.59352392773
2017-08-30,130682.08094134006
2017-08-31,131357.8111608107
2017-09-01,131734.1141573163
2017-09-05,130943.99033467441
2017-09-06,131608.37518152714
2017-09-07,131937.13616756778
2017-09-08,131860.92580892038
2017-09-11,132616.30638739944
2017-09-12,133383.87998387875
2017-09-13,132443.23876723862
2017-09-14,131331.54016526704
2017-09-15,131955.59979082894
2017-09-18,133230.44943215812
2017-09-19,132443.15160968763
2017-09-20,132572.64214267337
2017-09-21,132512.27659441633
2017-09-22,133736.04760096432
2017-09-25,134189.50109140872
2017-09-26,133776.9906961006
2017-09-27,134608.94245748012
2017-09-28,134029.79759285387
2017-09-29,134386.39668080903
2017-10-02,135370.00813399738
2017-10-03,135297.6357969893
2017-10-04,135427.96250413152
2017-10-05,136062.41791203534
2017-10-06,135261.88281109664
2017-10-09,133931.24628350796
2017-10-10,133398.13722715227
2017-10-11,133568.08427372228
2017-10-12,133286.28134781116
2017-10-13,133450.9986536866
2017-10-16,132595.5727164566
2017-10-17,133705.61614240892
2017-10-18,134472.7838409344
2017-10-19,135063.054279759
2017-10-20,137009.8247106078
2017-10-23,136039.59870104457
2017-10-24,136986.31435417657
2017-10-25,134828.29483799962
2017-10-26,134517.58614711234
2017-10-27,133665.1704277565
2017-10-30,133448.18111655032
2017-10-31,134741.2677658627
2017-11-01,134367.69216395827
2017-11-02,133767.18573523714
2017-11-03,134719.5259667342
2017-11-06,136386.93153370166
2017-11-07,135463.89500489374
2017-11-08,136082.43911102548
2017-11-09,135416.89321559842
2017-11-10,136063.04694620488
2017-11-13,136047.74245798777
2017-11-14,135766.49611319372
2017-11-15,135724.0201900237
2017-11-16,137757.33065607896
