ticker,gap_date,entry_date,exit_date,bucket,gap_pct,entry_price,exit_price,exit_reason,contracts_shares,position_dollars,pnl_pct,pnl_dollar,days_held
APH,2024-09-04,2024-09-05,2024-09-06,5-10%,-6.316,29.029,30.924,tp_gap_filled,172.8843,5018.66,6.528,327.62,1
NVDA,2024-09-04,2024-09-05,2024-09-06,2-3%,-2.398,105.5154,107.892,tp_gap_filled,47.701,5033.19,2.252,113.37,1
RMD,2024-09-04,2024-09-05,2024-09-06,2-3%,-2.042,240.1399,244.6551,tp_gap_filled,20.9762,5037.23,1.88,94.71,1
HOOD,2024-09-04,2024-09-05,2024-09-06,1-2%,-1.859,19.029,19.3506,tp_gap_filled,264.9691,5042.1,1.69,85.22,1
PLTR,2024-09-04,2024-09-05,2024-09-06,1-2%,-1.672,30.03,30.4795,tp_gap_filled,168.1768,5050.35,1.497,75.59,1
AVGO,2024-09-04,2024-09-05,2024-09-06,1-2%,-1.63,150.4503,138.2759,stop,33.5755,5051.44,-8.092,-408.76,1
CMG,2024-09-04,2024-09-05,2024-09-06,1-2%,-1.626,52.7027,53.4665,tp_gap_filled,95.9235,5055.42,1.449,73.27,1
NKE,2024-09-04,2024-09-05,2024-09-06,1-2%,-1.5,80.1801,81.2387,tp_gap_filled,63.0704,5056.99,1.32,66.77,1
VRT,2024-09-04,2024-09-05,2024-09-06,1-2%,-1.489,74.1541,75.1248,tp_gap_filled,68.2234,5059.04,1.309,66.23,1
LULU,2024-09-04,2024-09-05,2024-09-06,1-2%,-1.488,254.4942,257.8219,tp_gap_filled,19.8922,5062.44,1.308,66.19,1
APP,2024-09-05,2024-09-06,2024-09-09,1-2%,-1.502,86.6466,87.7921,tp_gap_filled,57.1919,4955.48,1.322,65.52,1
CDNS,2024-09-04,2024-09-05,2024-09-10,2-3%,-2.829,249.279,256.0237,tp_gap_filled,20.1846,5031.61,2.706,136.14,3
WDC,2024-09-04,2024-09-05,2024-09-10,1-2%,-1.744,46.8798,47.6167,tp_gap_filled,107.7371,5050.69,1.572,79.4,3
UDR,2024-09-04,2024-09-05,2024-09-10,1-2%,-1.692,44.2042,44.8751,tp_gap_filled,114.3324,5053.97,1.518,76.71,3
AMD,2024-09-05,2024-09-06,2024-09-10,1-2%,-1.895,138.3382,140.7291,tp_gap_filled,35.9903,4978.83,1.728,86.05,2
ANET,2024-09-05,2024-09-06,2024-09-10,1-2%,-1.451,80.4103,81.431,tp_gap_filled,61.5536,4949.55,1.269,62.82,2
SMCI,2024-09-04,2024-09-05,2024-09-11,3-5%,-4.903,42.054,44.1338,tp_gap_filled,119.7292,5035.09,4.946,249.01,4
AMAT,2024-09-04,2024-09-05,2024-09-11,1-2%,-1.843,180.17,183.1866,tp_gap_filled,28.0324,5050.59,1.674,84.56,4
LRCX,2024-09-04,2024-09-05,2024-09-11,1-2%,-1.723,75.3283,76.4954,tp_gap_filled,67.0809,5053.09,1.549,78.3,4
KLAC,2024-09-05,2024-09-06,2024-09-11,2-3%,-2.594,72.6506,74.4365,tp_gap_filled,68.6855,4990.04,2.458,122.67,3
TER,2024-09-05,2024-09-06,2024-09-11,2-3%,-2.162,124.144,126.6332,tp_gap_filled,40.1488,4984.24,2.005,99.94,3
MPWR,2024-09-05,2024-09-06,2024-09-11,1-2%,-1.741,836.5357,849.6595,tp_gap_filled,5.9345,4964.45,1.569,77.88,3
AVGO,2024-09-06,2024-09-10,2024-09-11,5-10%,-6.262,143.3932,152.6672,tp_gap_filled,35.0572,5026.97,6.467,325.12,1
WDAY,2024-09-09,2024-09-10,2024-09-11,2-3%,-2.313,248.9587,254.3454,tp_gap_filled,20.2444,5040.01,2.164,109.05,1
CRH,2024-09-09,2024-09-10,2024-09-11,1-2%,-1.711,83.9539,85.2447,tp_gap_filled,60.1129,5046.71,1.538,77.59,1
APO,2024-09-09,2024-09-10,2024-09-11,1-2%,-1.657,106.3162,107.892,tp_gap_filled,47.5157,5051.69,1.482,74.87,1
DG,2024-09-04,2024-09-06,2024-09-12,2-3%,-2.459,81.8117,83.7062,tp_gap_filled,60.8947,4981.9,2.316,115.36,4
ALB,2024-09-06,2024-09-11,2024-09-12,1-2%,-1.646,81.3212,82.5174,tp_gap_filled,62.7742,5104.87,1.471,75.09,1
ON,2024-09-10,2024-09-11,2024-09-12,1-2%,-1.542,68.3883,69.3206,tp_gap_filled,75.0116,5129.92,1.363,69.93,1
DECK,2024-09-10,2024-09-11,2024-09-12,1-2%,-1.352,147.147,148.866,tp_gap_filled,34.9434,5141.82,1.168,60.07,1
ADI,2024-09-05,2024-09-11,2024-09-12,1-2%,-1.046,219.6995,221.5782,tp_gap_filled,23.4388,5149.5,0.855,44.04,1
