,0
2024-09-04,100000.0
2024-09-05,101232.9768265501
2024-09-06,98878.09898932253
2024-09-09,100615.98566474653
2024-09-10,101053.88642817747
2024-09-11,103115.89569294716
2024-09-12,103229.07157677281
2024-09-13,104666.3080315686
2024-09-16,104602.41084761056
2024-09-17,105543.00937236878
2024-09-18,105711.82165303125
2024-09-19,106760.82356050269
2024-09-20,106448.01097720623
2024-09-23,106941.65195769072
2024-09-24,106685.88710266932
2024-09-25,105905.96802501396
2024-09-26,106842.16413391351
2024-09-27,107420.44982200429
2024-09-30,107667.85255028046
2024-10-01,105713.83939042193
2024-10-02,105556.99848327717
2024-10-03,104611.08022143303
2024-10-04,104769.42119906918
2024-10-07,103914.22377363821
2024-10-08,104610.72561875315
2024-10-09,105799.08418226558
2024-10-10,105534.43840448884
2024-10-11,107191.4165197981
2024-10-14,108443.96345717237
2024-10-15,107256.12127022681
2024-10-16,108176.75544728749
2024-10-17,107411.80799262787
2024-10-18,108444.39232308156
2024-10-21,107328.82350069436
2024-10-22,106723.23823024645
2024-10-23,105912.08288398328
2024-10-24,106664.57500869424
2024-10-25,106903.4096083267
2024-10-28,107249.63517250381
2024-10-29,106811.39385058133
2024-10-30,107362.17199374142
2024-10-31,106171.87419764331
2024-11-01,106662.71643555524
2024-11-04,106604.20202469945
2024-11-05,107410.7779235741
2024-11-06,107393.09183870362
2024-11-07,108313.35470130724
2024-11-08,107430.52072089979
2024-11-11,107899.40841897667
2024-11-12,106511.53042923602
2024-11-13,105920.60542075003
2024-11-14,105638.88547810017
2024-11-15,104780.53612451517
2024-11-18,105553.91810543524
2024-11-19,105076.56512426441
2024-11-20,105331.36166214463
2024-11-21,106928.52254944014
2024-11-22,107444.13297360223
2024-11-25,110082.26266950634
2024-11-26,109196.55259020478
2024-11-27,109403.59871625583
2024-11-29,109346.576291556
2024-12-02,110927.29669781649
2024-12-03,110359.16248915417
2024-12-04,110198.09593305505
2024-12-05,109033.720184675
2024-12-06,109385.73001760733
2024-12-09,109811.05076744965
2024-12-10,107892.61881086881
2024-12-11,107296.80741924567
2024-12-12,105761.07070642154
2024-12-13,105069.15564685373
2024-12-16,103806.13686307608
2024-12-17,103375.91662537209
2024-12-18,100972.48470716612
2024-12-19,100085.72559130305
2024-12-20,101410.00730067283
2024-12-23,102238.32170920009
2024-12-24,103103.11124099731
2024-12-26,102916.94919485138
2024-12-27,102038.06350852238
2024-12-30,100879.48421941642
2024-12-31,100952.69647564917
2025-01-02,100718.85831463433
2025-01-03,102503.0800458509
2025-01-06,103166.89023228073
2025-01-07,102423.25451644826
2025-01-08,102194.84540288053
2025-01-10,100519.24171048701
2025-01-13,101114.06805373165
2025-01-14,101595.09039351012
2025-01-15,101580.61948260207
2025-01-16,102171.31553102491
2025-01-17,102501.43011873642
2025-01-21,104400.04000066659
2025-01-22,104631.05267180748
2025-01-23,105608.6007828141
2025-01-24,105683.97329123151
2025-01-27,106298.70454493622
2025-01-28,106204.33926257024
2025-01-29,105595.76440060271
2025-01-30,108432.67405533501
2025-01-31,107378.2423165904
2025-02-03,106540.53541071528
2025-02-04,107738.23985995592
2025-02-05,110048.76267084648
2025-02-06,110633.4774456727
2025-02-07,110660.85174780377
2025-02-10,112156.34101876538
2025-02-11,111004.3883867338
2025-02-12,110186.09901665183
2025-02-13,111150.74159121115
2025-02-14,111905.83927518957
2025-02-18,113273.46838832504
2025-02-19,113964.40819814672
2025-02-20,113225.86217145003
2025-02-21,110607.82204944467
2025-02-24,109625.93512832785
2025-02-25,109790.24807362363
2025-02-26,110053.1237606633
2025-02-27,108247.49668427039
2025-02-28,109470.48629175483
2025-03-03,107260.9155187558
2025-03-04,105860.05861351606
2025-03-05,108083.05813685022
2025-03-06,106945.2744392312
2025-03-07,108745.38520217862
2025-03-10,106949.97059901187
2025-03-11,105902.76411947681
2025-03-12,106427.4234987451
2025-03-13,105337.39106799387
2025-03-14,107241.2708342943
2025-03-17,109022.72698448294
2025-03-18,108333.46480443071
2025-03-19,109307.93942468961
2025-03-20,108817.0690029032
