,0
2024-09-04,100000.0
2024-09-05,101330.3694813196
2024-09-06,99072.23690711898
2024-09-09,100823.80877200597
2024-09-10,101313.97837195266
2024-09-11,103464.85177248584
2024-09-12,103650.36951613717
2024-09-13,105156.72372510136
2024-09-16,105154.90922375553
2024-09-17,106163.82831511988
2024-09-18,106377.27593325697
2024-09-19,107496.93936550565
2024-09-20,107220.15329280365
2024-09-23,107744.52188910017
2024-09-24,107508.89325747122
2024-09-25,106723.85651890878
2024-09-26,107689.05621639357
2024-09-27,108282.0344941924
2024-09-30,108540.99371709603
2024-10-01,106581.06681722129
2024-10-02,106433.36920354958
2024-10-03,105480.7725419181
2024-10-04,105639.3181956382
2024-10-07,104779.43410552364
2024-10-08,105511.75441495756
2024-10-09,106737.59028757465
2024-10-10,106482.13286690426
2024-10-11,108198.41816059008
2024-10-14,109506.99926114324
2024-10-15,108352.7008450383
2024-10-16,109304.34804771047
2024-10-17,108535.40273083233
2024-10-18,109600.50376820599
2024-10-21,108487.72583477807
2024-10-22,107877.53760687343
2024-10-23,107059.43025021028
2024-10-24,107830.33017647667
2024-10-25,108080.96182970007
2024-10-28,108430.58212579179
2024-10-29,107988.65115548388
2024-10-30,108560.98957400965
2024-10-31,107364.77775124907
2024-11-01,107858.7567883986
2024-11-04,107799.93901570752
2024-11-05,108620.06216078777
2024-11-06,108627.9421952863
2024-11-07,109571.35124500227
2024-11-08,108682.39732964577
2024-11-11,109163.06827734825
2024-11-12,107759.08366173414
2024-11-13,107170.82029284912
2024-11-14,106884.85619304379
2024-11-15,106021.10506656216
2024-11-18,106823.87979499337
2024-11-19,106341.25413633003
2024-11-20,106598.7153437499
2024-11-21,108212.36187184857
2024-11-22,108744.29699513859
2024-11-25,111420.95730569102
2024-11-26,110536.97784635512
2024-11-27,110745.67593842465
2024-11-29,110686.41382982173
2024-12-02,112287.93333706404
2024-12-03,111713.61029584878
2024-12-04,111560.45543814285
2024-12-05,110383.40121248935
2024-12-06,110752.15055396107
2024-12-09,111180.75958033164
2024-12-10,109245.06962192457
2024-12-11,108642.70715289467
2024-12-12,107098.8377305416
2024-12-13,106414.17446970136
2024-12-16,105156.13492820585
2024-12-17,104720.6254095202
2024-12-18,102291.89545673682
2024-12-19,101404.08100377144
2024-12-20,102745.36526620603
2024-12-23,103584.37266783821
2024-12-24,104460.37892079032
2024-12-26,104271.73239210155
2024-12-27,103381.53781457325
2024-12-30,102208.04155792561
2024-12-31,102282.13686501028
2025-01-02,102045.58662092939
2025-01-03,103863.60117894491
2025-01-06,104556.80401889764
2025-01-07,103803.29924007853
2025-01-08,103604.39652774653
2025-01-10,101951.98849854094
2025-01-13,102516.77375232035
2025-01-14,103014.64663370184
2025-01-15,103024.9113128939
2025-01-16,103634.10768033983
2025-01-17,103980.13913076604
2025-01-21,105926.82459994653
2025-01-22,106171.53760845859
2025-01-23,107174.4618595323
2025-01-24,107262.31529795914
