,0
2024-09-04,100000.0
2024-09-05,100842.00961673868
2024-09-06,100179.99883478778
2024-09-09,100837.16798820191
2024-09-10,100866.12978756703
2024-09-11,101370.72808254964
2024-09-12,102219.6198730141
2024-09-13,103493.38490275259
2024-09-16,103214.14078892642
2024-09-17,104025.67857805907
2024-09-18,104516.73154348781
2024-09-19,105475.21666560322
2024-09-20,105054.19667630388
2024-09-23,106174.41194253683
2024-09-24,105836.70722886661
2024-09-25,105076.84137156112
2024-09-26,105896.8327020054
2024-09-27,106391.62307197682
2024-09-30,106552.76701720062
2024-10-01,104861.67414523088
2024-10-02,104233.82456178238
2024-10-03,103230.26688784231
2024-10-04,103578.91217782864
2024-10-07,102518.23445293293
2024-10-08,102932.98752150356
2024-10-09,103980.23756675841
2024-10-10,103633.72525007436
2024-10-11,104554.58239643514
2024-10-14,105054.46348062225
2024-10-15,104387.4038414703
2024-10-16,105343.86951340982
2024-10-17,104378.42165249263
2024-10-18,105026.90697935503
2024-10-21,103699.02993939561
2024-10-22,102917.87149948384
2024-10-23,102361.36367511246
2024-10-24,103212.29223693475
2024-10-25,103116.46181790742
2024-10-28,103606.93277621234
2024-10-29,102891.49614132755
2024-10-30,103502.32320985929
2024-10-31,102071.69581097286
2024-11-01,102523.43244139696
2024-11-04,102588.54672884359
2024-11-05,103476.26437978119
2024-11-06,103171.97060289785
2024-11-07,104124.80845609897
2024-11-08,103402.43835909442
2024-11-11,103816.76967058412
2024-11-12,102388.72861533718
2024-11-13,101926.72816946637
2024-11-14,102021.79650590416
2024-11-15,101218.3787503149
2024-11-18,102178.79056108523
2024-11-19,101606.2060512509
2024-11-20,101666.50071639914
2024-11-21,103001.10050348681
2024-11-22,103610.04923107999
2024-11-25,106159.98017989355
2024-11-26,105493.16979530569
2024-11-27,105751.32026212507
2024-11-29,105750.5184971238
2024-12-02,107412.14296327234
2024-12-03,106878.35695818855
2024-12-04,106742.92141399236
2024-12-05,105637.66929527286
2024-12-06,105983.23283217322
2024-12-09,106332.66250642504
2024-12-10,104634.8301162902
2024-12-11,104066.6770403778
2024-12-12,102535.04736871106
2024-12-13,101907.09647442008
2024-12-16,100598.92053245257
2024-12-17,100267.37825152093
2024-12-18,97904.17784741371
2024-12-19,96788.17115538166
2024-12-20,98176.62229777868
2024-12-23,99262.16165748196
2024-12-24,100127.00017052317
2024-12-26,99918.45001925691
2024-12-27,99156.00444471744
2024-12-30,97846.39234097964
2024-12-31,97886.90967349453
2025-01-02,98020.38744451539
2025-01-03,99557.29185508018
2025-01-06,100309.7049108117
2025-01-07,99751.06767292348
2025-01-08,99263.64838402912
