ticker,gap_date,entry_date,exit_date,bucket,gap_pct,entry_price,exit_price,exit_reason,contracts_shares,position_dollars,pnl_pct,pnl_dollar,days_held
APH,2024-09-04,2024-09-05,2024-09-06,5-10%,-6.316,29.0,30.955,tp_gap_filled,173.0665,5018.93,6.741,338.34,1
NVDA,2024-09-04,2024-09-05,2024-09-06,2-3%,-2.398,105.41,108.0,tp_gap_filled,47.761,5034.48,2.457,123.7,1
RMD,2024-09-04,2024-09-05,2024-09-06,2-3%,-2.042,239.9,244.9,tp_gap_filled,21.0037,5038.78,2.084,105.02,1
CDNS,2024-09-04,2024-09-05,2024-09-10,2-3%,-2.829,249.03,256.28,tp_gap_filled,20.209,5032.64,2.911,146.52,3
SMCI,2024-09-04,2024-09-05,2024-09-11,3-5%,-4.903,42.012,44.178,tp_gap_filled,119.8617,5035.63,5.156,259.62,4
KLAC,2024-09-05,2024-09-06,2024-09-11,2-3%,-2.594,72.578,74.511,tp_gap_filled,69.2165,5023.59,2.663,133.8,3
TER,2024-09-05,2024-09-06,2024-09-11,2-3%,-2.162,124.02,126.76,tp_gap_filled,40.4632,5018.25,2.209,110.87,3
WDAY,2024-09-09,2024-09-10,2024-09-11,2-3%,-2.313,248.71,254.6,tp_gap_filled,20.2704,5041.46,2.368,119.39,1
DG,2024-09-04,2024-09-06,2024-09-12,2-3%,-2.459,81.73,83.79,tp_gap_filled,61.3684,5015.64,2.52,126.42,4
AVGO,2024-09-05,2024-09-11,2024-09-12,2-3%,-2.303,150.57,154.12,tp_gap_filled,33.6209,5062.29,2.358,119.35,1
COIN,2024-09-11,2024-09-12,2024-09-13,3-5%,-3.092,153.56,158.46,tp_gap_filled,33.1868,5096.16,3.191,162.62,1
APTV,2024-09-10,2024-09-12,2024-09-13,2-3%,-2.939,67.05,69.08,tp_gap_filled,76.2479,5112.42,3.028,154.78,1
PLTR,2024-09-11,2024-09-12,2024-09-13,2-3%,-2.158,34.01,34.76,tp_gap_filled,150.3395,5113.05,2.205,112.75,1
COR,2024-09-05,2024-09-09,2024-09-16,2-3%,-2.272,237.87,243.4,tp_gap_filled,21.2201,5047.62,2.325,117.35,5
MRK,2024-09-09,2024-09-10,2024-09-16,3-5%,-3.98,113.15,117.84,tp_gap_filled,44.5126,5036.61,4.145,208.76,4
GM,2024-09-10,2024-09-12,2024-09-16,2-3%,-2.996,45.98,47.4,tp_gap_filled,111.171,5111.64,3.088,157.86,2
GEV,2024-09-12,2024-09-13,2024-09-16,3-5%,-4.375,200.0,209.15,tp_gap_filled,25.7083,5141.65,4.575,235.23,1
CRWD,2024-09-04,2024-09-13,2024-09-16,2-3%,-2.311,65.11,66.65,tp_gap_filled,79.6619,5186.78,2.365,122.68,1
ODFL,2024-09-05,2024-09-06,2024-09-17,3-5%,-4.309,187.21,195.64,tp_gap_filled,26.8511,5026.8,4.503,226.35,7
ROL,2024-09-11,2024-09-12,2024-09-17,2-3%,-2.23,49.99,51.13,tp_gap_filled,102.265,5112.23,2.28,116.58,3
FERG,2024-09-04,2024-09-16,2024-09-17,2-3%,-2.486,197.32,202.35,tp_gap_filled,26.2198,5173.68,2.549,131.89,1
