,0
2024-09-04,100000.0
2024-09-05,100878.11184545503
2024-09-06,100260.99665356934
2024-09-09,100924.05101761606
2024-09-10,100968.39723026394
2024-09-11,101504.75786069254
2024-09-12,102396.25030152066
2024-09-13,103709.60890741984
2024-09-16,103471.07766162817
2024-09-17,104352.81769614943
2024-09-18,104888.85168958266
2024-09-19,105888.44710479086
2024-09-20,105476.75809601923
2024-09-23,106644.95453621369
2024-09-24,106354.36172568324
2024-09-25,105601.99395516244
2024-09-26,106452.85789114026
2024-09-27,106965.9000141755
2024-09-30,107127.29113275988
2024-10-01,105436.12528412907
2024-10-02,104804.89551411384
2024-10-03,103796.60912871626
2024-10-04,104146.50552510556
2024-10-07,103081.78903861396
2024-10-08,103518.44988772526
2024-10-09,104582.31201618655
2024-10-10,104245.03019895381
2024-10-11,105182.00049499849
2024-10-14,105694.8251059534
2024-10-15,105040.96054739112
2024-10-16,106008.48661946986
2024-10-17,105039.22667746313
2024-10-18,105691.49264912728
2024-10-21,104368.10304250507
2024-10-22,103583.26578387796
2024-10-23,103024.0513763726
2024-10-24,103891.00928366302
2024-10-25,103804.3443280725
2024-10-28,104298.01809265521
2024-10-29,103584.0207646461
2024-10-30,104214.35194145916
2024-10-31,102779.69520685248
2024-11-01,103233.03961064972
2024-11-04,103298.869078133
2024-11-05,104197.15937935855
2024-11-06,103914.01312933977
2024-11-07,104885.57333551667
2024-11-08,104160.43587415328
2024-11-11,104583.73213487293
2024-11-12,103144.71600765959
2024-11-13,102688.7286504631
2024-11-14,102784.14650204724
2024-11-15,101977.76279071225
2024-11-18,102965.80855581746
2024-11-19,102389.03545471953
2024-11-20,102449.6639094818
2024-11-21,103792.87074825299
2024-11-22,104416.92711704609
2024-11-25,106994.767722919
2024-11-26,106334.0332788254
2024-11-27,106593.59699803578
2024-11-29,106591.9369504723
2024-12-02,108268.29771823679
2024-12-03,107730.7444069138
2024-12-04,107603.97706562698
2024-12-05,106490.94245682067
2024-12-06,106851.03918216347
2024-12-09,107202.09536945894
2024-12-10,105496.3249215711
2024-12-11,104924.22420424453
2024-12-12,103389.3970993787
2024-12-13,102771.53833738624
2024-12-16,101467.54540449892
2024-12-17,101138.61228935368
2024-12-18,98760.8215564251
2024-12-19,97645.15880163698
2024-12-20,99045.08639201391
2024-12-23,100140.1710977402
2024-12-24,101022.39071793127
2024-12-26,100812.06399277489
2024-12-27,100043.0543788272
2024-12-30,98722.04656667697
2024-12-31,98762.91656639535
2025-01-02,98897.53586628225
2025-01-03,100453.29238130295
2025-01-06,101227.44219100653
2025-01-07,100673.70501380923
2025-01-08,100264.22797668223
2025-01-10,98643.9414559736
2025-01-13,98636.79843465575
2025-01-14,99008.8475967585
2025-01-15,99179.24993445314
2025-01-16,100031.98789977946
2025-01-17,100547.2138663699
2025-01-21,101594.20562044729
2025-01-22,101254.37739866698
2025-01-23,101722.87726738836
2025-01-24,101337.98894381605
2025-01-27,102133.6378738292
2025-01-28,101263.4820217196
2025-01-29,100931.17563133525
2025-01-30,103418.23263699822
2025-01-31,102065.09714203048
2025-02-03,101269.64350317414
2025-02-04,102080.05643724592
2025-02-05,104475.80492260667
2025-02-06,105564.57590114305
2025-02-07,105468.96500277938
2025-02-10,106907.48602727623
2025-02-11,105855.12451335034
2025-02-12,105599.30362614704
2025-02-13,105433.46338764353
2025-02-14,106621.18259148602
2025-02-18,108422.80640126101
2025-02-19,109063.05310642316
2025-02-20,108085.27433822447
2025-02-21,105449.97245884473
2025-02-24,104624.70193588824
2025-02-25,104708.3771852855
2025-02-26,105619.51209476792
2025-02-27,103246.60477591863
2025-02-28,104396.41747690114
2025-03-03,101822.74096415126
2025-03-04,101166.73348385139
2025-03-05,102793.33404957963
2025-03-06,101351.12228102813
2025-03-07,103370.30230089545
2025-03-10,101356.67473595333
2025-03-11,100591.13801745462
2025-03-12,101608.35414258743
2025-03-13,100599.42475074815
2025-03-14,102964.52511947854
2025-03-17,104917.71872985401
2025-03-18,104143.52292734844
2025-03-19,105329.74453714215
2025-03-20,104947.62632389583
2025-03-21,104532.94993008164
2025-03-24,106547.66308816754
2025-03-25,105517.03119693138
2025-03-26,104242.54060710751
2025-03-27,102875.70341027509
2025-03-28,101373.31824406958
2025-03-31,101613.9533560489
2025-04-01,102040.5893865428
2025-04-02,103693.46215255717
2025-04-03,97661.01904717337
2025-04-04,92395.61340175988
2025-04-07,91836.16535747312
2025-04-08,89963.42856841121
2025-04-09,97177.5945448073
2025-04-10,94162.74577074319
2025-04-11,95810.7525934836
2025-04-14,96475.89799306741
2025-04-15,95712.21306509855
2025-04-16,93977.84799487852
2025-04-17,95683.6659902674
2025-04-21,94097.29556319691
2025-04-22,96144.78771545256
2025-04-23,98108.30096577316
2025-04-24,100926.65456849676
2025-04-25,101663.95045454238
2025-04-28,101889.97681522131
2025-04-29,102848.5754617967
2025-04-30,103429.78711861452
2025-05-01,104203.26609729597
2025-05-02,107117.24884088548
2025-05-05,106886.3607919383
2025-05-06,105863.42362369913
2025-05-07,105989.42879475908
2025-05-08,107456.8485537461
2025-05-09,106928.74588709115
2025-05-12,110867.01140094292
2025-05-13,111454.27571388245
2025-05-14,110727.5011109882
2025-05-15,111958.44726713045
2025-05-16,113283.93085352455
2025-05-19,113392.39765434159
2025-05-20,114040.57051715438
2025-05-21,111844.82570652898
2025-05-22,111921.73342873559
2025-05-23,111119.7458440305
2025-05-27,113975.85552211409
2025-05-28,112768.8908839633
2025-05-29,113446.69138948058
2025-05-30,113046.80970139698
2025-06-02,113037.13420741243
2025-06-03,114472.579614969
2025-06-04,114115.94981529497
2025-06-05,114145.45369205723
2025-06-06,114399.77547375472
2025-06-09,114806.28493315337
2025-06-10,115846.22334309897
2025-06-11,115640.577823735
2025-06-12,115846.7903083121
2025-06-13,114443.04741698966
2025-06-16,115133.04981446512
2025-06-17,113463.26024496055
2025-06-18,113118.97990904706
2025-06-20,113514.44737350932
2025-06-23,113750.83890145412
2025-06-24,114769.2947828972
2025-06-25,114368.12371060086
2025-06-26,114781.3984073228
2025-06-27,115632.78201037072
2025-06-30,115850.73800969898
2025-07-01,117972.29160970973
2025-07-02,117853.26836955866
2025-07-03,117965.82289626793
2025-07-07,116597.51465952504
2025-07-08,118001.93279247456
2025-07-09,117810.09048748101
2025-07-10,118268.97980421106
2025-07-11,117605.89714623828
2025-07-14,117077.42737839429
2025-07-15,115441.49194233803
2025-07-16,116183.18241881323
2025-07-17,118037.36234521813
2025-07-18,117834.15787028757
2025-07-21,117425.5422401188
2025-07-22,120111.95758248215
2025-07-23,120652.3833809754
2025-07-24,120123.06823271565
2025-07-25,121780.72348740631
2025-07-28,121310.62956135874
2025-07-29,121329.60555083894
2025-07-30,119476.2153266958
2025-07-31,119298.48640204663
2025-08-01,118976.8587851114
2025-08-04,119307.33793184816
2025-08-05,119290.69195033058
2025-08-06,118588.78816844999
2025-08-07,119038.15290255846
2025-08-08,119053.58385896686
2025-08-11,117837.73284602743
2025-08-12,120208.18154453454
2025-08-13,123141.56303456242
2025-08-14,122018.63320141812
2025-08-15,122023.06717495542
2025-08-18,122239.30962286082
2025-08-19,121383.15332651456
2025-08-20,121536.05585669598
2025-08-21,120872.9741039044
2025-08-22,123851.66474830148
2025-08-25,122749.67275802845
2025-08-26,123406.80706382041
2025-08-27,123865.53711244071
2025-08-28,123841.21098183189
2025-08-29,123373.36319329325
2025-09-02,121896.66382355354
2025-09-03,120234.6231322282
2025-09-04,121086.54347682261
2025-09-05,121638.66526895536
2025-09-08,121237.18410486393
2025-09-09,121252.17654412826
2025-09-10,120684.62705011173
2025-09-11,122404.35220890745
2025-09-12,120418.56565753592
2025-09-15,120329.77714880143
2025-09-16,120237.8831833586
2025-09-17,120560.48225498898
2025-09-18,123457.48500743265
2025-09-19,124624.24674554155
2025-09-22,125678.00055791947
2025-09-23,124810.42735439294
2025-09-24,124206.7039592506
2025-09-25,122763.03806103654
2025-09-26,124579.66900175491
2025-09-29,125971.71723201488
2025-09-30,125503.9217467435
2025-10-01,126126.14410319166
2025-10-02,127040.61364067359
2025-10-03,127573.86579828734
2025-10-06,127696.49271904325
2025-10-07,126904.97449513504
2025-10-08,128003.7819204047
2025-10-09,127522.86146418989
2025-10-10,124108.3578660964
2025-10-13,125837.99404172096
2025-10-14,126377.61961347504
2025-10-15,126832.90010885693
2025-10-16,125865.89950198561
2025-10-17,126708.80845947041
2025-10-20,128664.86703807811
2025-10-21,129971.01499912803
2025-10-22,128285.03499014367
2025-10-23,129173.54751132701
2025-10-24,129354.95374023882
2025-10-27,129206.90085687285
2025-10-28,128829.5578232644
2025-10-29,126720.67959319073
2025-10-30,126293.26976847509
2025-10-31,126692.27662816888
2025-11-03,125995.77747869764
2025-11-04,125136.42915121467
2025-11-05,125992.06781886602
2025-11-06,124265.11177964606
2025-11-07,125730.34855777421
2025-11-10,126166.48879994145
2025-11-11,127000.59056376845
2025-11-12,128025.25748782027
2025-11-13,127129.6203296038
2025-11-14,126958.5940313968
2025-11-17,124751.93867146835
2025-11-18,125353.4119922537
2025-11-19,125048.56947290157
2025-11-20,123948.80261461955
2025-11-21,127050.4940409763
2025-11-24,127114.64802931032
2025-11-25,129904.41135248689
2025-11-26,132137.5763788382
2025-11-28,132801.33408550112
2025-12-01,133696.87032025383
2025-12-02,133619.08325934407
2025-12-03,133499.24450673064
2025-12-04,134215.87957001926
2025-12-05,135064.10696774122
2025-12-08,135746.61576240676
2025-12-09,135735.8635923078
2025-12-10,137183.1082828398
2025-12-11,138199.2658422204
2025-12-12,138493.89953598505
2025-12-15,137294.729253834
2025-12-16,136444.54870115552
2025-12-17,136412.16733157652
2025-12-18,136711.65218976297
2025-12-19,136949.28362898936
2025-12-22,137905.42033120483
2025-12-23,137659.35876273914
2025-12-24,137992.3661550058
2025-12-26,138330.63281682567
2025-12-29,137829.66990900764
2025-12-30,137811.40029990507
2025-12-31,136947.63331682357
2026-01-02,137648.71457450534
2026-01-05,138976.6780142165
2026-01-06,140334.41413287751
2026-01-07,137987.32488565406
2026-01-08,138828.84030674523
2026-01-09,139769.5196740025
2026-01-12,139486.01043296244
2026-01-13,139525.21694760027
2026-01-14,138655.86471908752
2026-01-15,139301.08095027643
2026-01-16,138512.84935498904
2026-01-20,137554.75788165393
2026-01-21,138800.7613186142
2026-01-22,139396.1170940468
2026-01-23,138265.9345968479
2026-01-26,139374.00853575126
2026-01-27,137655.42093028637
2026-01-28,136744.6474907288
2026-01-29,135792.28527438478
2026-01-30,134961.79612218213
2026-02-02,134058.83683159397
2026-02-03,133504.43259534385
2026-02-04,134850.6153271437
2026-02-05,133407.84494855182
2026-02-06,140086.78989965972
2026-02-09,141583.43936156607
2026-02-10,142021.14033352688
2026-02-11,141851.29768967137
2026-02-12,139282.27064761723
2026-02-13,141749.5644403539
2026-02-17,141460.3973661397
2026-02-18,142858.77855423206
2026-02-19,142713.90102561127
2026-02-20,142642.13227279478
2026-02-23,139668.79036784716
2026-02-24,140685.04394923884
2026-02-25,141536.56016234364
2026-02-26,142536.18965419376
2026-02-27,142919.7730449772
2026-03-02,141367.73122248554
2026-03-03,141071.18732640994
2026-03-04,142208.74872947484
2026-03-05,141238.28218360007
2026-03-06,140224.36730556103
2026-03-09,140696.06707346934
2026-03-10,139129.8266141796
2026-03-11,138327.44054049728
2026-03-12,136035.40523733073
2026-03-13,136584.15298855468
2026-03-16,137163.56810415137
2026-03-17,137271.99946846763
2026-03-18,135926.0009962046
2026-03-19,136320.06420401254
2026-03-20,135120.1861827661
2026-03-23,135578.8332813206
2026-03-24,134459.58091564768
2026-03-25,134827.98642023807
2026-03-26,132751.35792953227
2026-03-27,130652.56845428124
2026-03-30,130640.17765722072
2026-03-31,133431.1073411749
2026-04-01,134700.485097586
2026-04-02,135740.7876644537
2026-04-06,136327.76205767808
2026-04-07,136934.28020506536
2026-04-08,139678.10205718188
2026-04-09,140090.0696806912
2026-04-10,140128.69459500822
2026-04-13,142659.53195361127
2026-04-14,143254.340871752
2026-04-15,143797.5748938987
2026-04-16,145757.8461243326
2026-04-17,145262.6818529666
2026-04-20,145216.2858616945
2026-04-21,145441.703958809
2026-04-22,145094.87805655965
2026-04-23,144820.65522650306
2026-04-24,144130.82601423358
2026-04-27,144648.48287835688
2026-04-28,144292.14637824817
2026-04-29,144795.70333378168
2026-04-30,147252.3283966314
2026-05-01,145367.77857429907
2026-05-04,144191.5004288523
2026-05-05,146824.48110201748
2026-05-06,148967.11086651517
2026-05-07,147685.44857990005
2026-05-08,146770.9805327826
2026-05-11,145397.19531856262
2026-05-12,146124.01430189685
2026-05-13,144447.49420522977
2026-05-14,144776.8039543408
2026-05-15,143354.59642144362
2026-05-18,143540.40398758068
2026-05-19,142794.44308161497
2026-05-20,143960.42615315007
2026-05-21,144910.30474292394
2026-05-22,145283.08463264737
2026-05-26,145478.87682986286
2026-05-27,144611.07312392053
2026-05-28,145075.52468723367
2026-05-29,144630.3452343575
2026-06-01,144559.1968324416
2026-06-02,144733.72098785176
2026-06-03,145492.79558149245
2026-06-04,146743.0828968637
2026-06-05,144093.79464720213
2026-06-08,143327.27653322025
2026-06-09,144511.71553904013
2026-06-10,142893.76464902572
2026-06-11,145222.2993580277
2026-06-12,145707.29886556335
2026-06-15,147701.28687704005
2026-06-16,146936.1575608662
2026-06-17,144519.3109017338
2026-06-18,144686.26962872825
2026-06-22,143477.45922090762
2026-06-23,143499.38409237776
2026-06-24,143073.96533313984
2026-06-25,146055.68105708063
2026-06-26,145987.48626132196
2026-06-29,146573.32627675973
2026-06-30,146347.15827948926
2026-07-01,146653.51899242302
2026-07-02,146611.06919399038
2026-07-06,146926.7381607305
2026-07-07,147624.25615980523
2026-07-08,148064.58013386806
2026-07-09,149400.61831882456
2026-07-10,151442.55357360066
2026-07-13,151412.77992020766
2026-07-14,149102.7470995456
2026-07-15,148966.1279417026
2026-07-16,148668.41806104712
2026-07-17,147629.62266578936
2026-07-20,147806.35915610188
2026-07-21,150650.24785102168
2026-07-22,150908.71142634674
2026-07-23,150731.91364753948
2026-07-24,151691.4210022807
2026-07-27,153623.14006319683
2026-07-28,155225.96290398206
2026-07-29,157016.95964503768
2026-07-30,158522.79977200538
2026-07-31,159235.26905680264
2026-08-03,161422.64185742286
2026-08-04,163054.81279358774
2026-08-05,163221.09837720546
2026-08-06,165466.14331715074
2026-08-07,166642.85005626723
2026-08-10,166976.65320898395
2026-08-11,167312.27673090727
2026-08-12,168633.40194387297
2026-08-13,172225.81803542475
2026-08-14,173245.40492894145
2026-08-17,173003.8415378945
2026-08-18,173466.35849339154
2026-08-19,175525.08922913377
2026-08-20,173867.46700077754
2026-08-21,174775.73474723758
2026-08-24,172891.21843745938
2026-08-25,174857.96086615228
2026-08-26,174439.7872917952
2026-08-27,175954.32644702063
2026-08-28,178056.2317171477
2026-08-31,177862.61807086552
2026-09-01,178197.15548876647
2026-09-02,179272.40362329062
2026-09-03,181191.6216428705
2026-09-04,181077.96896844418
