,0
2024-09-04,100000.0
2024-09-05,100842.00961673868
2024-09-06,100179.99883478778
2024-09-09,100837.16798820191
2024-09-10,100866.12978756703
2024-09-11,101370.72808254964
2024-09-12,102219.6198730141
2024-09-13,103493.38490275259
2024-09-16,103214.14078892642
2024-09-17,104025.67857805907
2024-09-18,104516.73154348781
2024-09-19,105475.21666560322
2024-09-20,105054.19667630388
2024-09-23,106174.41194253683
2024-09-24,105836.70722886661
2024-09-25,105076.84137156112
2024-09-26,105896.8327020054
2024-09-27,106391.62307197682
2024-09-30,106552.76701720062
2024-10-01,104810.83155859503
2024-10-02,104182.99865659881
2024-10-03,103179.47931509413
2024-10-04,103528.07633466642
2024-10-07,102467.39364078139
2024-10-08,102882.16106679496
2024-10-09,103929.24355199936
2024-10-10,103582.76438522337
2024-10-11,104503.32873482413
2024-10-14,105003.33410411111
2024-10-15,104336.4647665349
2024-10-16,105292.73064592513
2024-10-17,104327.41894974066
2024-10-18,104975.73602152735
2024-10-21,103647.91175374325
2024-10-22,102866.77346412807
2024-10-23,102310.39205980113
2024-10-24,103161.09835921205
2024-10-25,103065.32430917409
2024-10-28,103555.68525930024
2024-10-29,102840.33930969279
2024-10-30,103451.02957696718
2024-10-31,101968.38305344571
2024-11-01,102420.1267384755
2024-11-04,102485.27299785051
2024-11-05,103320.9364231505
2024-11-06,103016.57384997226
2024-11-07,103968.46480046629
2024-11-08,103246.32597637612
2024-11-11,103556.91110275034
2024-11-12,102130.05052927785
2024-11-13,101669.4254846994
2024-11-14,101764.53673527758
2024-11-15,100960.83070571026
2024-11-18,101919.93914017463
2024-11-19,101348.07313892226
2024-11-20,101408.13143117496
2024-11-21,102741.31430064104
2024-11-22,103349.98134148291
2024-11-25,105897.4544677077
2024-11-26,105231.65074624571
2024-11-27,105489.59277492057
2024-11-29,105489.21051837956
2024-12-02,107146.51144881718
2024-12-03,106613.58955311844
2024-12-04,106478.25805701126
2024-12-05,105374.4452898019
2024-12-06,105718.57030431193
2024-12-09,106068.35577775878
2024-12-10,104395.67534599156
2024-12-11,103827.97737850688
2024-12-12,102244.4289555816
2024-12-13,101565.8720154525
2024-12-16,100260.15566437683
2024-12-17,99928.78176195195
2024-12-18,97215.98540300233
2024-12-19,96236.25474803848
2024-12-20,97622.64505598425
2024-12-23,98705.68905416917
2024-12-24,99568.51992732796
2024-12-26,99360.3517075677
2024-12-27,98599.40896309147
2024-12-30,97292.89482941321
2024-12-31,97333.23156686776
2025-01-02,97466.52359507709
2025-01-03,98999.80874565977
2025-01-06,99751.03252040836
2025-01-07,99194.52819103228
2025-01-08,98708.81732761109
