bucket,dte,width_frac,n_trades,n_total_bucket_trades,coverage_pct,win_rate_pct,avg_pnl_pct_of_notional,avg_roc_on_premium_pct,median_roc_on_premium_pct,max_drawdown_pct,total_return_pct,final_equity,zero_contract_skips,bs_fallback_pct,itm_short_leg_pct,expiry_forced_exit_pct,oi_known_both_legs_pct
10%+,7,0.5,40,75,53.3,37.5,-0.321,-10.7,-92.4,-48.64,-23.64,76362.86,0,0.0,15.0,92.5,2.5
10%+,7,0.75,37,75,49.3,37.8,-0.472,-17.2,-94.3,-49.94,-32.24,67755.11,0,0.0,2.7,89.2,2.7
10%+,7,1.0,34,75,45.3,35.3,-0.526,-24.6,-100.0,-54.98,-38.79,61208.26,0,0.0,0.0,85.3,2.9
10%+,7,1.25,27,75,36.0,29.6,-1.416,-50.6,-100.0,-58.33,-50.92,49079.82,0,0.0,0.0,92.6,3.7
10%+,14,0.5,36,75,48.0,33.3,-0.562,-28.0,-100.0,-56.27,-42.47,57534.54,0,0.0,22.2,86.1,2.8
10%+,14,0.75,36,75,48.0,36.1,-0.531,-26.5,-94.5,-52.79,-40.27,59731.02,0,0.0,8.3,80.6,2.8
10%+,14,1.0,31,75,41.3,45.2,-0.071,-12.5,-58.4,-34.03,-20.89,79107.61,0,0.0,3.2,77.4,3.2
10%+,14,1.25,30,75,40.0,36.7,-0.987,-37.1,-100.0,-54.38,-44.87,55132.05,0,0.0,0.0,80.0,3.3
10%+,21,0.5,39,75,52.0,28.2,-1.783,-45.5,-100.0,-65.43,-61.22,38782.23,0,0.0,20.5,84.6,2.6
10%+,21,0.75,30,75,40.0,20.0,-2.42,-55.0,-100.0,-63.65,-58.18,41815.04,0,0.0,10.0,80.0,3.3
10%+,21,1.0,31,75,41.3,25.8,-2.501,-48.7,-100.0,-61.81,-55.5,44495.61,0,0.0,0.0,80.6,3.2
10%+,21,1.25,28,75,37.3,25.0,-2.595,-51.6,-100.0,-60.59,-53.69,46310.02,0,0.0,0.0,82.1,3.6
10%+,30,0.5,29,75,38.7,27.6,-2.07,-45.0,-100.0,-54.53,-49.71,50291.9,0,0.0,27.6,82.8,3.4
10%+,30,0.75,30,75,40.0,30.0,-2.019,-39.5,-100.0,-52.49,-46.89,53110.18,0,0.0,13.3,80.0,3.3
10%+,30,1.0,31,75,41.3,29.0,-2.136,-38.7,-100.0,-53.57,-47.98,52018.81,0,0.0,6.5,77.4,3.2
10%+,30,1.25,17,75,22.7,29.4,-1.518,-19.8,-100.0,-26.42,-17.93,82072.74,0,0.0,5.9,70.6,52.9
10%+,45,0.5,24,75,32.0,33.3,-0.589,35.4,-47.6,-24.43,23.66,123664.46,0,0.0,25.0,79.2,4.2
10%+,45,0.75,22,75,29.3,36.4,-1.647,-18.2,-100.0,-23.97,-22.17,77826.6,0,0.0,4.5,81.8,0.0
10%+,45,1.0,23,75,30.7,34.8,-1.514,-10.7,-10.7,-26.57,-15.46,84538.05,0,0.0,4.3,82.6,4.3
10%+,45,1.25,17,75,22.7,35.3,-2.066,-23.3,-100.0,-30.03,-20.62,79378.74,0,0.0,0.0,76.5,0.0
10%+,60,0.5,7,75,9.3,71.4,1.147,32.4,61.8,-7.78,11.3,111295.59,0,0.0,71.4,14.3,0.0
10%+,60,0.75,7,75,9.3,57.1,1.161,21.1,68.1,-12.59,6.49,106489.13,0,0.0,42.9,28.6,0.0
10%+,60,1.0,8,75,10.7,62.5,2.523,50.8,92.3,-12.65,20.74,120735.71,0,0.0,25.0,25.0,0.0
10%+,60,1.25,5,75,6.7,60.0,2.01,45.1,81.0,-8.45,10.66,110664.5,0,0.0,0.0,20.0,0.0
2-3%,7,0.5,44,92,47.8,27.3,-0.394,-27.6,-27.2,-46.57,-46.38,53620.22,0,0.0,34.1,22.7,2.3
2-3%,7,0.75,44,92,47.8,31.8,-0.478,-24.5,-24.0,-44.1,-42.63,57372.82,0,0.0,27.3,22.7,2.3
2-3%,7,1.0,45,92,48.9,42.2,-0.462,-17.6,-9.5,-40.44,-33.7,66297.58,0,0.0,26.7,22.2,2.2
2-3%,7,1.25,44,92,47.8,43.2,-0.505,-16.1,-14.9,-40.54,-30.9,69096.12,0,0.0,18.2,22.7,2.3
2-3%,14,0.5,39,92,42.4,20.5,-0.401,-28.3,-16.7,-43.82,-43.25,56749.21,0,0.0,38.5,15.4,2.6
