,0
2024-09-04,100107.65374795622
2024-09-05,100272.37309599097
2024-09-06,97654.36562951864
2024-09-09,98849.46117942131
2024-09-10,99105.82779653567
2024-09-11,100337.14592291543
2024-09-12,101926.0672157851
2024-09-13,102776.62999603618
2024-09-16,103944.11853846324
2024-09-17,104338.9494063789
2024-09-18,104648.6465582939
2024-09-19,104890.71473273037
2024-09-20,104725.22063891526
2024-09-23,105487.45715569344
2024-09-24,105434.68053543956
2024-09-25,104304.98773536737
2024-09-26,104377.95306233971
2024-09-27,105085.99264480697
2024-09-30,105150.28797687704
2024-10-01,104187.73784984702
2024-10-02,103438.45566302899
2024-10-03,102448.29083146858
2024-10-04,102688.93022857181
2024-10-07,101528.22728390765
2024-10-08,101660.67408293042
2024-10-09,101736.3139740125
2024-10-10,101171.10878151897
2024-10-11,101429.43291467566
2024-10-14,101976.33648306919
2024-10-15,101581.49311473775
2024-10-16,102028.8449705544
2024-10-17,101000.34876153282
2024-10-18,101248.05822098418
2024-10-21,100304.67770426108
2024-10-22,99457.01418605803
2024-10-23,99029.79074883928
2024-10-24,99299.5562270755
2024-10-25,99401.47257364297
2024-10-28,99685.86486131801
2024-10-29,99085.51099619853
2024-10-30,99156.83577794177
2024-10-31,98406.3175206754
2024-11-01,98280.95488169345
2024-11-04,98917.68620904084
2024-11-05,99920.22187776175
2024-11-06,99256.0024504254
2024-11-07,98926.06005964732
2024-11-08,98198.89182375927
2024-11-11,97789.822080268
2024-11-12,97110.17394275978
2024-11-13,97469.01304233633
2024-11-14,97813.48560247189
2024-11-15,96546.6232831694
2024-11-18,96561.62135666897
2024-11-19,96436.40950018124
2024-11-20,96814.23456249398
2024-11-21,98050.53034726533
2024-11-22,98679.30116414321
2024-11-25,99954.00255837684
2024-11-26,99675.59745250555
2024-11-27,100245.8245182224
2024-11-29,100470.19394649773
2024-12-02,100761.27441479973
2024-12-03,100703.601316247
2024-12-04,100621.43034033292
2024-12-05,100269.39572681885
2024-12-06,99968.35137326457
2024-12-09,100392.87331799098
2024-12-10,99648.69577181536
2024-12-11,99870.20458820397
2024-12-12,98188.27576517437
2024-12-13,97149.83882168932
2024-12-16,96560.40978334146
2024-12-17,95999.56322211504
2024-12-18,92599.89010920933
2024-12-19,91800.92015084096
2024-12-20,93680.06728392294
