,0
2016-09-06,100000.0
2016-09-07,100000.0
2016-09-08,99894.87816194781
2016-09-09,99827.14837783859
2016-09-12,99875.82889734147
2016-09-13,99888.5282949401
2016-09-14,99861.0131016848
2016-09-15,99872.30156724474
2016-09-16,99808.09944964903
2016-09-19,99765.06299471772
2016-09-20,99767.8848587951
2016-09-21,99781.28972241309
2016-09-22,99815.1544462593
2016-09-23,99822.9152453057
2016-09-26,99851.84137059971
2016-09-27,99867.36296869251
2016-09-28,99850.430438561
2016-09-29,99814.44898023995
2016-09-30,99637.25906608487
2016-10-03,99889.44408703293
2016-10-04,99849.85302442271
2016-10-05,99953.04786012137
2016-10-06,100061.03325069154
2016-10-07,99953.43687034762
2016-10-10,100008.0986682868
2016-10-11,99933.2614760453
2016-10-12,100214.66966406032
2016-10-13,100372.67465546617
2016-10-14,100240.32807254393
2016-10-17,100085.8726896928
2016-10-18,100084.23634312615
2016-10-19,100270.38004055378
2016-10-20,100108.60821947594
2016-10-21,100147.34826355407
2016-10-24,100096.36458400248
2016-10-25,99921.87120238107
2016-10-26,99609.3457707104
2016-10-27,99426.18100831071
2016-10-28,99931.50809791518
2016-10-31,100328.42271547964
2016-11-01,100206.48036377707
2016-11-02,100779.17313020199
2016-11-03,99749.52733961644
2016-11-04,99883.89130769036
2016-11-07,100946.92101506912
2016-11-08,100916.08476939582
2016-11-09,103227.74733487098
2016-11-10,104257.56074553943
2016-11-11,103399.77889400115
2016-11-14,103986.8011248913
2016-11-15,104895.51935309148
2016-11-16,104764.81771105423
2016-11-17,105673.83031899638
2016-11-18,104631.14912822089
2016-11-21,105104.6552214572
2016-11-22,104059.61463894215
2016-11-23,104816.95295042088
2016-11-25,105362.07925878832
2016-11-28,104681.65652086968
2016-11-29,104464.19524362816
2016-11-30,104329.28956099485
2016-12-01,103656.21368418801
2016-12-02,104237.44266999465
2016-12-05,105252.96587237103
2016-12-06,105633.47332977546
2016-12-07,105650.75974074261
2016-12-08,106329.5556402586
2016-12-09,106865.25495767707
2016-12-12,106584.6033670911
2016-12-13,107084.28659873473
2016-12-14,105843.11992947337
2016-12-15,106380.59487716224
2016-12-16,106553.60237627379
2016-12-19,106504.595743056
2016-12-20,106330.41012580109
2016-12-21,106413.05922692621
2016-12-22,105798.79151834441
2016-12-23,106467.17380216286
2016-12-27,106995.39184833693
2016-12-28,106415.91447227824
2016-12-29,106647.4559477791
2016-12-30,106342.87365132559
2017-01-03,107370.35002110623
2017-01-04,108682.463084916
2017-01-05,109364.58450342089
2017-01-06,109810.18726846544
2017-01-09,110331.74830893695
2017-01-10,111269.97526701806
2017-01-11,111958.05117280345
2017-01-12,111832.20981843048
2017-01-13,112795.44345621309
2017-01-17,112985.0697167228
2017-01-18,112972.72241125072
2017-01-19,112917.24396967294
2017-01-20,113057.82703276772
2017-01-23,112951.8383828032
2017-01-24,113002.92423915437
2017-01-25,113482.83600315642
2017-01-26,112808.40708179967
2017-01-27,112939.97374236665
2017-01-30,112768.12267330696
2017-01-31,113132.6477441429
2017-02-01,113177.53496963289
2017-02-02,113140.32977285383
2017-02-03,113533.4480530385
2017-02-06,113328.43660795788
2017-02-07,113499.9315898512
2017-02-08,114065.44168240511
2017-02-09,114600.20684781618
2017-02-10,114570.56662790042
2017-02-13,114540.01459015357
2017-02-14,114680.33374863211
2017-02-15,114648.59679301901
2017-02-16,114563.27103935117
2017-02-17,114591.12676758991
2017-02-21,114592.80263605353
2017-02-22,114624.45317929176
2017-02-23,114479.28086484675
2017-02-24,114887.01188472693
2017-02-27,114752.14390046467
2017-02-28,114758.71389562021
2017-03-01,114960.18868848856
2017-03-02,114900.17048471194
2017-03-03,115045.04844352494
2017-03-06,114903.09265392585
2017-03-07,114803.9062530016
2017-03-08,114683.70002474499
2017-03-09,114552.81035293048
2017-03-10,114571.66144700086
2017-03-13,114591.86268441545
2017-03-14,114499.3201007722
2017-03-15,114606.92816137477
2017-03-16,114537.1919214997
2017-03-17,114625.18611373627
2017-03-20,114655.24111785584
2017-03-21,114272.82028079825
2017-03-22,114449.51727899609
2017-03-23,114669.85094505682
2017-03-24,114647.5706490876
2017-03-27,114620.10796626844
2017-03-28,114796.80001066731
2017-03-29,115069.37411010521
2017-03-30,114862.3598676801
2017-03-31,115063.87640676054
2017-04-03,114822.12643342695
2017-04-04,114953.04042780024
2017-04-05,114800.49718187962
2017-04-06,114918.78182029485
2017-04-07,115180.70298523607
2017-04-10,115413.80906617045
2017-04-11,115409.89850195708
2017-04-12,115422.91370159623
2017-04-13,115342.30606520442
2017-04-17,115450.34814731599
2017-04-18,115414.1013676612
2017-04-19,115382.79413116071
2017-04-20,115573.18798222492
2017-04-21,115416.5928777756
2017-04-24,115446.17144153168
2017-04-25,115400.61601212
2017-04-26,115072.11508341864
2017-04-27,115332.9639723133
2017-04-28,115235.5133956086
2017-05-01,115166.74209985448
2017-05-02,114746.14463455472
2017-05-03,114391.30445419218
2017-05-04,114115.57726347374
2017-05-05,114338.52513281966
2017-05-08,113583.76103804019
2017-05-09,113642.2995597808
2017-05-10,113810.88667977104
2017-05-11,114053.95935775149
2017-05-12,113890.46672213355
2017-05-15,114130.72792473374
2017-05-16,114512.50547980663
2017-05-17,113021.42556098002
2017-05-18,113561.36960157451
2017-05-19,113959.15445731924
2017-05-22,114096.49171177497
2017-05-23,113889.70070184174
2017-05-24,113997.64135000095
2017-05-25,114215.7172801903
2017-05-26,113888.2444617266
2017-05-30,113735.06978905958
2017-05-31,113731.63571506245
2017-06-01,113816.38856839444
2017-06-02,114690.57277262962
2017-06-05,114342.40873916337
2017-06-06,114431.5784739453
2017-06-07,114627.296978117
2017-06-08,114991.20611751912
2017-06-09,114580.81107301505
2017-06-12,114432.71104895262
2017-06-13,114628.69351138225
2017-06-14,114653.59587489117
2017-06-15,114639.23419353882
2017-06-16,114776.14384457322
2017-06-19,115492.16254851953
2017-06-20,115555.58473959085
2017-06-21,116845.8960354027
2017-06-22,117220.12424517909
2017-06-23,117610.92719136078
2017-06-26,117951.34238569968
2017-06-27,116646.8393615541
2017-06-28,117655.27511478549
2017-06-29,117297.84356330114
2017-06-30,117106.79855459396
2017-07-03,117305.06059687151
2017-07-05,116980.5419710108
2017-07-06,116229.66579833096
2017-07-07,116784.77326414507
2017-07-10,116569.01307302486
2017-07-11,116803.87492605932
2017-07-12,117259.84155711951
2017-07-13,117090.33086269314
2017-07-14,117490.5766025653
2017-07-17,117571.78935158039
2017-07-18,117126.51944759194
2017-07-19,117415.15752716438
2017-07-20,117234.65904810885
2017-07-21,117508.45603179764
2017-07-24,117642.05799520481
2017-07-25,117245.36402676551
2017-07-26,116028.47723302704
2017-07-27,116234.46873399414
2017-07-28,116425.58111034712
2017-07-31,116520.96886330072
2017-08-01,116276.1500549978
2017-08-02,116207.75575167079
2017-08-03,116186.87812820525
2017-08-04,116266.82819594312
2017-08-07,116146.924494947
2017-08-08,116117.7285647036
2017-08-09,116118.66445517064
2017-08-10,116011.35749041269
2017-08-11,115993.14472902151
2017-08-14,115927.59354886846
2017-08-15,115913.62690128922
2017-08-16,115878.53144614375
2017-08-17,115667.48314068062
2017-08-18,115626.87879196141
2017-08-21,115547.64971255718
2017-08-22,115607.04430773864
2017-08-23,115606.79126463852
2017-08-24,115580.40599079388
2017-08-25,115647.53852829592
2017-08-28,115665.75361981442
2017-08-29,115754.37693201556
2017-08-30,115700.16561178815
2017-08-31,115767.65946155277
2017-09-01,115937.8885552288
2017-09-05,116040.40642220253
2017-09-06,115822.83949808899
2017-09-07,115865.10013728452
2017-09-08,115887.63688624234
2017-09-11,115631.47092956578
2017-09-12,115899.08923127572
2017-09-13,115099.75501995558
2017-09-14,114997.48731156086
2017-09-15,114963.18788731312
2017-09-18,115213.14467834897
2017-09-19,115274.77497329723
2017-09-20,115397.24716796477
2017-09-21,115384.59181561634
2017-09-22,115798.19239314484
2017-09-25,115912.37339634361
2017-09-26,115842.78450352798
2017-09-27,115842.46186584576
2017-09-28,115578.29761646263
2017-09-29,115924.17601672962
2017-10-02,116183.45900761738
2017-10-03,115983.08190089621
2017-10-04,116142.06059806992
2017-10-05,116174.11034127737
2017-10-06,116030.39586539683
2017-10-09,115999.10548406324
2017-10-10,115893.48234851295
2017-10-11,115889.6056643076
2017-10-12,115799.73192380031
2017-10-13,115654.86307100326
2017-10-16,115517.62208516526
2017-10-17,115546.84248941201
2017-10-18,115651.07530094929
2017-10-19,115661.57076684115
2017-10-20,115703.1734397487
2017-10-23,115636.68032334402
2017-10-24,115583.44362270378
2017-10-25,115417.40745027558
2017-10-26,115675.8822086341
2017-10-27,115631.07727078663
2017-10-30,115397.60620874827
2017-10-31,115616.37925092046
2017-11-01,115659.25991223157
2017-11-02,116220.98384044558
2017-11-03,116237.2639908085
2017-11-06,116347.05039783855
2017-11-07,116154.46534042136
2017-11-08,116737.91857871374
2017-11-09,116593.97615882185
2017-11-10,116986.80515851184
2017-11-13,117162.0745763286
2017-11-14,117186.77205392616
2017-11-15,117469.26985373849
