,0
2024-09-04,99365.9843779266
2024-09-05,99703.25596644534
2024-09-06,99567.93509847412
2024-09-09,99631.13046578926
2024-09-10,99491.68832031843
2024-09-11,99573.43048451947
2024-09-12,99794.8024522564
2024-09-13,99816.37151218615
2024-09-16,100033.50508086162
2024-09-17,100349.71296585142
2024-09-18,100342.42857074387
2024-09-19,100084.41455380435
2024-09-20,99648.44570820204
2024-09-23,99616.12090520724
2024-09-24,99728.69225917029
2024-09-25,99591.56757545008
2024-09-26,99821.87325214589
2024-09-27,99995.28604086334
2024-09-30,99999.4856020057
2024-10-01,99716.05498599217
2024-10-02,100149.36069483479
2024-10-03,99768.34051277972
2024-10-04,99766.14460887812
2024-10-07,99467.38805034946
2024-10-08,99618.25601303841
2024-10-09,99775.99443949944
2024-10-10,99737.03095238982
2024-10-11,99967.22612974422
2024-10-14,100054.07096004073
2024-10-15,99831.37432975679
2024-10-16,99928.80688095253
2024-10-17,100502.11367817629
2024-10-18,100325.6997954789
2024-10-21,99881.71328231055
2024-10-22,99551.34417602446
2024-10-23,99455.43838501394
2024-10-24,99472.54910786578
2024-10-25,99617.62286090248
2024-10-28,99873.39173813313
2024-10-29,100032.5333759065
2024-10-30,100160.40329025137
2024-10-31,98348.40535600085
2024-11-01,98003.0477410779
2024-11-04,98001.44267278281
2024-11-05,98504.78932360321
2024-11-06,98643.47518102007
2024-11-07,99608.7812860529
2024-11-08,99328.45597808024
2024-11-11,98399.80805609933
2024-11-12,97137.21195722918
2024-11-13,96822.97902849942
2024-11-14,96323.24898732612
2024-11-15,95555.74627700915
2024-11-18,96747.49835064427
2024-11-19,97825.38820410837
2024-11-20,97426.25728314577
2024-11-21,98118.64674894424
2024-11-22,99224.09104296922
2024-11-25,100929.45049844147
2024-11-26,100991.69778552328
2024-11-27,101719.57543721412
2024-11-29,101949.04701885639
2024-12-02,102312.31387082713
2024-12-03,102417.19600786798
2024-12-04,102475.6053474134
2024-12-05,101789.37971649527
2024-12-06,101741.05660847758
2024-12-09,102474.07450840223
2024-12-10,101883.91202839708
2024-12-11,101631.03313886923
2024-12-12,100697.46182343282
2024-12-13,100319.2512289208
2024-12-16,100096.42896388119
2024-12-17,99664.73428676177
2024-12-18,97603.81784857143
