,0
2016-09-06,100000.0
2016-09-07,99797.44823965215
2016-09-08,99363.24707936066
2016-09-09,99257.92580661541
2016-09-12,99223.31516260355
2016-09-13,98888.73799151195
2016-09-14,98724.20255524608
2016-09-15,98872.74177039515
2016-09-16,98704.69971362173
2016-09-19,98964.33178610078
2016-09-20,98922.21303630939
2016-09-21,99228.33040466659
2016-09-22,99705.11561354251
2016-09-23,99532.03391614459
2016-09-26,99452.08075305076
2016-09-27,99489.92004621567
2016-09-28,99593.26027669116
2016-09-29,99284.80306726682
2016-09-30,99429.74845255948
2016-10-03,99350.78410077184
2016-10-04,98837.83971766659
2016-10-05,98863.54850095982
2016-10-06,98914.78811798917
2016-10-07,98782.25009356003
2016-10-10,98660.73825702109
2016-10-11,98432.59611675705
2016-10-12,98902.68417184475
2016-10-13,98830.0093389918
2016-10-14,98861.85505181782
2016-10-17,98683.99127814092
2016-10-18,99068.11095633275
2016-10-19,98788.18563383649
2016-10-20,99021.37808321595
2016-10-21,98410.7771528629
2016-10-24,98623.70054850134
2016-10-25,98036.73663982384
2016-10-26,97804.95553075636
2016-10-27,97273.1408042146
2016-10-28,97429.19671733516
2016-10-31,98082.41693281512
2016-11-01,97302.30315680144
2016-11-02,97388.5219560675
2016-11-03,97248.43098235567
2016-11-04,97446.27024687728
2016-11-07,99177.58366913258
2016-11-08,99319.84794963115
2016-11-09,100174.93935431264
2016-11-10,101720.2545631896
2016-11-11,101509.87893837129
2016-11-14,102253.19499911083
2016-11-15,102622.60028428698
2016-11-16,103024.80438936886
2016-11-17,103538.33717900558
2016-11-18,103286.8699615052
2016-11-21,103885.31660468699
2016-11-22,104225.42683957276
2016-11-23,103831.26414199143
2016-11-25,104662.67204124617
2016-11-28,104518.18548233286
2016-11-29,104867.02589727897
2016-11-30,104731.64114174998
2016-12-01,103995.7191157864
2016-12-02,104065.7356500021
2016-12-05,105286.23314741591
2016-12-06,105866.27694023495
2016-12-07,107470.07439242362
2016-12-08,107949.27634610477
2016-12-09,108221.49677506843
2016-12-12,108530.9118177091
2016-12-13,108793.56763952199
2016-12-14,108364.52451423665
2016-12-15,108551.53023750527
2016-12-16,108789.89761816463
2016-12-19,109006.84455391904
2016-12-20,109054.77401051347
2016-12-21,109123.125265699
2016-12-22,108899.87961290454
2016-12-23,109014.57490912566
2016-12-27,109298.1641949462
2016-12-28,108835.48253979097
2016-12-29,109227.57004695042
2016-12-30,108837.94622904435
2017-01-03,109240.23061351743
2017-01-04,109514.98301764377
2017-01-05,109394.3763605928
2017-01-06,109287.09715910994
2017-01-09,109044.15216587414
2017-01-10,109290.94136068081
2017-01-11,109321.05047397698
2017-01-12,109218.2228884323
2017-01-13,109207.87614932985
2017-01-17,109333.33101727183
2017-01-18,109265.64226776532
2017-01-19,109046.08909511926
2017-01-20,108800.71608116517
2017-01-23,108793.4766550564
2017-01-24,109739.70914557735
2017-01-25,110519.68383967745
2017-01-26,109564.04643344614
2017-01-27,109585.82237955152
2017-01-30,109000.88848756392
2017-01-31,109688.58264715926
2017-02-01,109505.25533731653
2017-02-02,109390.6607661653
2017-02-03,110235.10947539083
2017-02-06,110266.76409299935
2017-02-07,110597.6766746139
2017-02-08,111281.01972643044
2017-02-09,111761.29820198232
2017-02-10,112408.78401728718
2017-02-13,112775.94289337273
2017-02-14,113143.88134755642
2017-02-15,113206.74522086052
2017-02-16,113206.02520037032
2017-02-17,113605.5906019785
2017-02-21,114166.33422977774
2017-02-22,113799.33600560339
2017-02-23,113531.86314173153
2017-02-24,113991.73446859783
2017-02-27,114007.82325107936
2017-02-28,113211.35890254908
2017-03-01,113972.4519278041
2017-03-02,113604.72127468327
2017-03-03,113548.29778992757
2017-03-06,113129.16475851627
2017-03-07,112748.0786948188
2017-03-08,112547.20373545776
2017-03-09,112396.34822539531
2017-03-10,112572.07993316618
2017-03-13,112878.17464307437
