,0
2016-09-06,100000.0
2016-09-07,99338.93908734416
2016-09-08,98114.95660336806
2016-09-09,95953.40048902683
2016-09-12,96424.50792882734
2016-09-13,95613.30563253886
2016-09-14,95649.19366549002
2016-09-15,96783.6454521369
2016-09-16,95097.30137622639
2016-09-19,95769.56285934444
2016-09-20,95032.83307314457
2016-09-21,95477.23367618216
2016-09-22,96348.63474545165
2016-09-23,95551.88003378635
2016-09-26,95457.91758826593
2016-09-27,95602.49769773484
2016-09-28,95856.71371977097
2016-09-29,95532.48607886926
2016-09-30,96945.49508273775
2016-10-03,97167.00378168393
2016-10-04,95913.92350029164
2016-10-05,96536.94091620862
2016-10-06,97828.56596613077
2016-10-07,96682.3842325218
2016-10-10,96648.80442772042
2016-10-11,94764.4183269364
2016-10-12,94814.62485704737
2016-10-13,94181.63975779858
2016-10-14,94011.3048705396
2016-10-17,92936.30168466343
2016-10-18,92737.504810805
2016-10-19,92929.014303134
2016-10-20,91805.30283637781
2016-10-21,91331.71909965485
2016-10-24,91816.30851945198
2016-10-25,91293.1242797651
2016-10-26,91980.27197874115
2016-10-27,90825.13181091935
2016-10-28,90957.41059902663
2016-10-31,90842.23031969773
2016-11-01,89681.20222218383
2016-11-02,89431.50220778222
2016-11-03,89325.94499505406
2016-11-04,89354.98242198555
2016-11-07,90679.22903366375
2016-11-08,90549.87776563982
2016-11-09,92991.09327921996
2016-11-10,92289.50315827974
2016-11-11,93057.83082184212
2016-11-14,93599.14610093435
2016-11-15,94150.87358425814
2016-11-16,93914.10248234203
2016-11-17,94615.29452522623
2016-11-18,94641.91067892569
2016-11-21,94802.76369493405
2016-11-22,94709.63007587603
2016-11-23,95398.94542329235
2016-11-25,96260.04591078917
2016-11-28,95811.1051150137
2016-11-29,95870.28176128304
2016-11-30,95359.88951061745
2016-12-01,95360.47319561815
2016-12-02,94975.5648433207
2016-12-05,95273.03060941542
2016-12-06,96105.51819139131
2016-12-07,97068.55065851785
2016-12-08,97795.70192800896
2016-12-09,98623.59777322382
2016-12-12,98284.55959113626
2016-12-13,98873.21494399534
2016-12-14,97456.07755400559
2016-12-15,98667.53363089704
2016-12-16,99283.18354519282
2016-12-19,99974.68145896052
2016-12-20,99752.42615113046
2016-12-21,99983.3602370102
2016-12-22,99832.41403255986
2016-12-23,100536.42740840158
2016-12-27,100659.08209454746
2016-12-28,100016.40061003692
2016-12-29,101123.98606876453
2016-12-30,100832.56867222852
2017-01-03,101343.21077337241
2017-01-04,102587.04132690221
2017-01-05,101593.91676473856
2017-01-06,101855.35284946595
2017-01-09,102132.94256914385
2017-01-10,102050.5505245757
2017-01-11,102062.09099918863
2017-01-12,101834.17585232737
2017-01-13,101506.15800294004
2017-01-17,101895.73647545604
2017-01-18,101997.89087359261
2017-01-19,101424.28346956696
2017-01-20,100154.35860823456
2017-01-23,99294.19627484719
2017-01-24,100041.76924316311
2017-01-25,100977.0894250149
2017-01-26,101037.53073326181
2017-01-27,100726.31066462802
2017-01-30,100014.74791160098
2017-01-31,100498.75094934241
2017-02-01,100335.59245292303
2017-02-02,100211.06379876647
2017-02-03,100618.47380751728
2017-02-06,100264.57607279312
2017-02-07,100231.503082496
2017-02-08,100019.34266160303
2017-02-09,100397.59607275641
2017-02-10,100897.46015715612
2017-02-13,101331.2460025978
2017-02-14,101693.9053789524
2017-02-15,101719.28151830308
2017-02-16,101784.80389199298
2017-02-17,101753.61381864831
2017-02-21,102115.57342436824
2017-02-22,102170.22633586414
2017-02-23,102254.82476272274
2017-02-24,102940.27035672433
2017-02-27,103067.797650088
2017-02-28,103040.31774983944
2017-03-01,104788.5085159936
2017-03-02,103274.11341030375
2017-03-03,103014.9670912471
2017-03-06,102769.27080979389
2017-03-07,102164.7492488086
2017-03-08,101323.4015700088
2017-03-09,101021.5931678164
2017-03-10,101774.79487711797
2017-03-13,102244.16604911121
2017-03-14,102732.7271118856
2017-03-15,102904.84127865551
2017-03-16,101982.91847592
2017-03-17,102268.455331892
2017-03-20,103157.67411087261
2017-03-21,100589.28382526457
2017-03-22,101165.69390299902
2017-03-23,100292.78443784069
2017-03-24,100945.12222414507
2017-03-27,100943.8534266126
2017-03-28,102127.11616900457
2017-03-29,102203.64725240011
2017-03-30,102591.14811104664
2017-03-31,102447.54268751216
2017-04-03,101323.23985831489
2017-04-04,101663.32528382697
2017-04-05,100822.2036803444
2017-04-06,101631.00394357333
2017-04-07,102205.1181967211
2017-04-10,102038.31153478705
2017-04-11,101601.0748069913
2017-04-12,100406.24205305688
2017-04-13,99278.35511837467
2017-04-17,99736.81561784139
2017-04-18,99748.5477589608
2017-04-19,100076.24169238281
2017-04-20,101389.22794019735
2017-04-21,101781.30336760975
2017-04-24,103506.5423043445
2017-04-25,104273.1579285659
2017-04-26,104671.50776784915
2017-04-27,105318.93260107416
2017-04-28,105538.81043892939
2017-05-01,105678.56926267236
2017-05-02,105545.81735988511
2017-05-03,105024.88672421369
2017-05-04,104980.78783669235
2017-05-05,105985.80377594024
2017-05-08,105251.93623435957
2017-05-09,105850.944397634
2017-05-10,105836.78315948785
2017-05-11,105817.05942341409
2017-05-12,105660.96169926587
2017-05-15,106263.4113904275
2017-05-16,106597.47022073124
2017-05-17,104557.11452205002
2017-05-18,104650.51473070175
2017-05-19,105056.32408955679
2017-05-22,105742.59540577877
2017-05-23,105279.08674310757
2017-05-24,106215.22355421312
2017-05-25,106640.59946810754
2017-05-26,106506.29782740682
2017-05-30,106356.3467890067
2017-05-31,106502.29026351604
2017-06-01,107765.66422233218
2017-06-02,108737.24378500538
2017-06-05,108294.24331936367
2017-06-06,107647.20951778544
2017-06-07,108633.75050300453
2017-06-08,108880.7595237098
2017-06-09,109155.40268426434
2017-06-12,109664.63806489308
2017-06-13,110022.34281220788
2017-06-14,109910.6588463355
2017-06-15,110188.39161682139
2017-06-16,111007.5177467284
2017-06-19,110399.82870006279
2017-06-20,109030.28610068609
2017-06-21,108946.31570103011
2017-06-22,108614.05187846482
2017-06-23,109725.65225598692
2017-06-26,110344.45141843906
2017-06-27,109693.38471099055
2017-06-28,110431.85846168878
2017-06-29,109556.41772076582
2017-06-30,110128.20962644885
2017-07-03,109794.11637361954
2017-07-05,108263.9912882933
2017-07-06,107260.65243280385
2017-07-07,108723.10707904756
2017-07-10,108279.05303820074
2017-07-11,108239.0584664072
2017-07-12,108895.80317036097
2017-07-13,109847.15095478878
2017-07-14,110311.37434928202
2017-07-17,110215.01833181559
2017-07-18,110297.18588429042
2017-07-19,112271.87032921742
2017-07-20,111353.27767350628
2017-07-21,112646.98458213064
2017-07-24,111896.79226294081
2017-07-25,111886.17985799615
2017-07-26,111411.00551949453
2017-07-27,111879.13626230354
2017-07-28,111869.97040895425
2017-07-31,113398.25353600868
2017-08-01,113082.4724791923
2017-08-02,113562.76367792167
2017-08-03,113347.19351053072
2017-08-04,113320.19768780484
2017-08-07,113211.18931618938
2017-08-08,112125.35222756429
2017-08-09,112169.58690172076
2017-08-10,110589.3771539168
2017-08-11,110745.79206081033
2017-08-14,110995.70461964443
2017-08-15,110075.43369327635
2017-08-16,110373.83365617399
2017-08-17,109005.27412859707
2017-08-18,108487.47590834198
2017-08-21,108513.01769403186
2017-08-22,109611.26351507808
2017-08-23,109292.93676797175
2017-08-24,108404.75204589941
2017-08-25,107733.74037716133
2017-08-28,107615.99129516126
2017-08-29,107902.57067465824
2017-08-30,108372.83956287208
2017-08-31,109640.45524792088
2017-09-01,109885.65384243907
2017-09-05,110004.04190271004
2017-09-06,110440.29410036559
2017-09-07,110805.75719560786
2017-09-08,110138.86038079535
2017-09-11,110959.4366373661
2017-09-12,111086.48364393541
2017-09-13,110214.77442922497
2017-09-14,109502.57500355718
2017-09-15,110087.77000803391
2017-09-18,109522.86660729878
2017-09-19,107539.81129023619
2017-09-20,107282.19078104009
2017-09-21,107402.68882592916
2017-09-22,108225.57734318095
2017-09-25,108537.5132579438
2017-09-26,108629.78638975762
2017-09-27,109280.095902489
2017-09-28,108345.68292581437
2017-09-29,108870.56746759075
2017-10-02,109854.94138670461
2017-10-03,109509.35721035952
2017-10-04,109531.41858719444
2017-10-05,109854.95796673183
2017-10-06,109249.83454327908
2017-10-09,108475.23041299323
2017-10-10,107875.18685827099
2017-10-11,108344.38702692371
2017-10-12,107849.87586321228
2017-10-13,107749.38276836002
2017-10-16,106994.33869792728
2017-10-17,108274.02493579804
2017-10-18,109178.24723550983
2017-10-19,108692.43881245801
2017-10-20,110015.88840574647
2017-10-23,109210.85495307969
