,0
2016-09-06,100000.0
2016-09-07,99786.26496802323
2016-09-08,98868.08205509643
2016-09-09,96388.09641457583
2016-09-12,97659.4537706199
2016-09-13,96726.64972738268
2016-09-14,96361.53460705339
2016-09-15,97545.08859428651
2016-09-16,97019.97382961393
2016-09-19,97201.92752889342
2016-09-20,96891.52238271476
2016-09-21,97681.44716362553
2016-09-22,98639.80621890107
2016-09-23,98310.53678572111
2016-09-26,97940.0897442316
2016-09-27,98578.35818973891
2016-09-28,98659.37694664417
2016-09-29,97407.80599501434
2016-09-30,98054.83093942278
2016-10-03,97946.11561608576
2016-10-04,97147.35055214053
2016-10-05,96948.69781511206
2016-10-06,97331.72010558445
2016-10-07,96336.67699951261
2016-10-10,96592.39792327578
2016-10-11,95192.18243790996
2016-10-12,95445.62143140833
2016-10-13,95392.5267547866
2016-10-14,95194.12553097513
2016-10-17,94611.25861344035
2016-10-18,94966.39487856929
2016-10-19,95377.01326191316
2016-10-20,95061.71356602808
2016-10-21,94462.27382001527
2016-10-24,95301.71978115084
2016-10-25,94519.93155325507
2016-10-26,93763.16099145822
2016-10-27,93181.65267391913
2016-10-28,92969.49861696333
2016-10-31,92705.77569280568
2016-11-01,92037.87911632405
2016-11-02,91970.48409594707
2016-11-03,91414.30633706818
2016-11-04,91801.32656475616
2016-11-07,93863.49313273786
2016-11-08,94142.1752910616
2016-11-09,96060.91347651467
2016-11-10,95617.82029790147
2016-11-11,95472.38520112867
2016-11-14,96330.20561965596
2016-11-15,96986.48544452533
2016-11-16,96795.50062075349
2016-11-17,97320.70113588271
2016-11-18,97441.73922624812
2016-11-21,97753.39109931592
2016-11-22,98107.81555625155
2016-11-23,98226.85245158967
2016-11-25,98987.39830776221
2016-11-28,98426.53564727471
2016-11-29,98476.03556785217
2016-11-30,98123.30977499469
2016-12-01,97313.98841446254
2016-12-02,97506.55428310248
2016-12-05,98469.84539999338
2016-12-06,99310.06519984345
2016-12-07,99987.84571200692
2016-12-08,100731.78961657373
2016-12-09,101064.85985242757
2016-12-12,101199.78981879629
2016-12-13,101489.51572268283
2016-12-14,100830.85867530428
2016-12-15,101479.38093605459
2016-12-16,101984.9927350912
2016-12-19,101622.3908771642
2016-12-20,101880.02439152628
2016-12-21,101608.72109582071
2016-12-22,101464.70662702943
2016-12-23,101846.68638698752
2016-12-27,101897.93496247217
2016-12-28,101177.5863464376
2016-12-29,101438.57446895096
2016-12-30,101129.72026688
2017-01-03,101856.37082516286
2017-01-04,102603.2686206719
2017-01-05,102679.3104034792
2017-01-06,103298.69496365864
2017-01-09,102506.44743871677
2017-01-10,102851.72057446447
2017-01-11,102593.93206281435
2017-01-12,102366.38943011488
2017-01-13,102472.54899557502
2017-01-17,102656.22873363316
2017-01-18,103084.86495365894
2017-01-19,102624.80754814495
2017-01-20,102908.29869250469
2017-01-23,102719.31661674209
2017-01-24,103598.96017829727
2017-01-25,104401.25858043227
2017-01-26,104579.79529355202
2017-01-27,104475.66800558337
2017-01-30,104062.45034880324
2017-01-31,104853.76216712678
2017-02-01,104759.5672085052
2017-02-02,105133.08181542119
2017-02-03,105905.17796413017
2017-02-06,105636.71764330781
2017-02-07,105400.62700764557
2017-02-08,105634.03769198773
2017-02-09,106719.31967209963
2017-02-10,107893.45465596842
2017-02-13,108316.23854886292
2017-02-14,108637.98002327977
2017-02-15,109012.03284955784
2017-02-16,109260.25521738018
2017-02-17,109443.98570211988
2017-02-21,109626.01790084018
2017-02-22,109178.07172135917
2017-02-23,108347.83489740765
2017-02-24,109015.3948305558
2017-02-27,109291.59372235017
2017-02-28,108820.35602421396
2017-03-01,109808.64700007287
2017-03-02,109170.64707487715
2017-03-03,108758.50917111666
2017-03-06,108168.49841493326
2017-03-07,107704.82469993117
2017-03-08,107022.40248352733
2017-03-09,106763.30472124321
2017-03-10,108094.9927936461
2017-03-13,107898.82468579059
2017-03-14,107346.72394862112
2017-03-15,108880.76191489096
2017-03-16,108071.20868255007
2017-03-17,108196.31197194973
2017-03-20,108383.714119563
2017-03-21,106886.0555345736
2017-03-22,107066.85193950665
2017-03-23,107000.56781136314
2017-03-24,107104.66006249996
2017-03-27,106881.65886121799
2017-03-28,107595.29931665609
2017-03-29,107653.60363939486
2017-03-30,107966.14913845641
2017-03-31,107910.40681811818
2017-04-03,107309.33494164236
2017-04-04,107327.1353990735
2017-04-05,106592.10219345358
2017-04-06,107148.7773981233
2017-04-07,107379.14758329887
2017-04-10,107612.97591405855
2017-04-11,107845.41758412807
2017-04-12,106828.4204125138
2017-04-13,106190.41552156983
2017-04-17,107298.83001812956
2017-04-18,107125.59327460188
2017-04-19,107446.69178110272
2017-04-20,108275.00675631098
2017-04-21,108180.60704419515
2017-04-24,109408.20108059116
2017-04-25,110184.02534814086
2017-04-26,109786.2190835126
2017-04-27,109917.14267590345
2017-04-28,109901.85507692209
2017-05-01,109778.89301296417
2017-05-02,109691.15979055477
2017-05-03,109298.824850466
2017-05-04,109423.53061702644
2017-05-05,109987.76867817693
2017-05-08,109594.32831031957
2017-05-09,109728.46980327198
2017-05-10,109689.45883743333
2017-05-11,109542.27825178516
2017-05-12,109187.15113719313
2017-05-15,109699.84831116322
2017-05-16,109621.47966018744
2017-05-17,107590.47899163686
2017-05-18,107930.18191981736
2017-05-19,108697.28641080958
2017-05-22,109832.7684778822
2017-05-23,109245.48653090422
2017-05-24,109719.62102774136
2017-05-25,110150.99410165784
2017-05-26,110150.37965195657
2017-05-30,109908.98851155928
