direction,bucket,n_gaps,same_day_%,same_week_%,same_month_%,same_quarter_%,never_in_quarter_%,median_fill_days
down,1-2%,74933,45.4,76.5,89.8,95.0,4.9,1.0
down,2-3%,18850,32.5,65.9,83.1,92.2,7.7,1.0
down,3-5%,10612,24.3,55.9,75.1,87.6,12.0,2.0
down,5-10%,5038,12.8,39.5,63.3,80.8,18.9,5.0
down,10%+,1119,4.5,18.6,46.9,67.6,32.2,10.0
up,1-2%,83217,43.6,72.0,85.2,90.5,9.5,1.0
up,2-3%,19469,32.2,64.7,80.2,86.7,13.3,1.0
up,3-5%,11224,25.3,54.5,70.9,79.7,20.2,2.0
up,5-10%,5301,15.4,38.6,55.0,66.6,33.1,3.0
up,10%+,1040,5.3,16.9,32.4,46.3,53.6,8.0
