entry_style,bucket_scope,n_trades,win_rate_%,avg_win_%,max_drawdown_%,total_return_%,final_equity_$,total_pnl_$
naive,1-2%,2724,81.6,-0.355,-45.16,-40.45,59547.2,-39229.41
naive,2-3%,1456,81.8,0.059,-19.28,-0.16,99844.43,2555.43
naive,3-5%,864,80.1,0.266,-25.33,6.87,106866.44,10050.12
naive,5-10%,377,74.3,1.059,-21.46,18.12,118115.73,20553.62
naive,10%+,178,65.2,3.033,-25.36,27.23,127230.73,27250.16
naive,all,1499,79.8,-0.284,-35.06,-23.44,76555.91,-21249.49
wick,1-2%,3077,87.2,0.172,-22.84,27.08,127077.55,28472.86
wick,2-3%,1590,86.4,0.653,-18.08,62.73,162725.42,65843.44
wick,3-5%,960,85.3,1.218,-17.93,70.45,170448.42,75776.83
wick,5-10%,404,80.0,2.869,-19.91,69.57,169571.77,73957.93
wick,10%+,174,74.7,6.341,-19.79,68.79,168790.81,69528.93
wick,all,1752,86.1,0.473,-23.45,44.27,144267.03,48553.8
close_confirm,1-2%,3494,41.3,-1.421,-91.99,-91.98,8019.11,-91816.14
close_confirm,2-3%,1867,50.6,-1.298,-71.83,-71.71,28292.42,-70737.74
close_confirm,3-5%,1128,56.9,-1.228,-51.84,-51.39,48611.21,-50514.5
close_confirm,5-10%,435,69.0,0.349,-21.44,4.59,104591.15,6936.86
close_confirm,10%+,175,68.6,2.165,-22.37,16.45,116451.82,18864.84
close_confirm,all,1982,47.3,-1.087,-67.49,-67.47,32529.26,-66267.99
