,0
2016-09-06,100000.0
2016-09-07,100000.0
2016-09-08,99862.9924090255
2016-09-09,99800.09858894337
2016-09-12,99987.32247011873
2016-09-13,99831.27931464504
2016-09-14,99467.89641627696
2016-09-15,100213.42237401457
2016-09-16,100161.36859019363
2016-09-19,100909.82650652129
2016-09-20,100657.48854406309
2016-09-21,101362.29763092447
2016-09-22,101685.50288005007
2016-09-23,101481.36768384208
2016-09-26,101563.7695615531
2016-09-27,102318.62491206445
2016-09-28,102033.5076863306
2016-09-29,101581.07030170324
2016-09-30,102136.4519760417
2016-10-03,102121.40203682348
2016-10-04,101905.20851677627
2016-10-05,101817.24798252869
2016-10-06,102262.43248640669
2016-10-07,101577.70366484647
2016-10-10,101909.89946977804
2016-10-11,100850.9882465773
2016-10-12,101255.08118477142
2016-10-13,101294.57272536014
2016-10-14,101787.33421731548
2016-10-17,101193.72190109538
2016-10-18,101759.55800624055
2016-10-19,102394.99675132128
2016-10-20,101838.83331237073
2016-10-21,100980.63355389643
2016-10-24,101647.55623434698
2016-10-25,101766.51096722115
2016-10-26,101674.37264606138
2016-10-27,101680.15640405276
2016-10-28,102535.40965636435
2016-10-31,102409.10569957174
2016-11-01,101986.28727733539
2016-11-02,102245.85143303873
2016-11-03,101603.50535473715
2016-11-04,101488.87581964825
2016-11-07,103904.52766838996
2016-11-08,103871.19895790833
2016-11-09,105468.10499038249
2016-11-10,106002.91011608468
2016-11-11,106167.78689925896
2016-11-14,106559.2085606319
2016-11-15,106798.90962926055
2016-11-16,106744.78748217065
2016-11-17,107162.28339192398
2016-11-18,107062.31638457745
2016-11-21,107154.56446541731
2016-11-22,107989.80911734544
2016-11-23,108698.6244661648
2016-11-25,109436.83091446948
2016-11-28,108758.00191354548
2016-11-29,108979.75083279217
2016-11-30,108148.82658622347
2016-12-01,106832.19153134986
2016-12-02,107218.56903078423
2016-12-05,108531.97019876
2016-12-06,108878.69174934617
2016-12-07,109670.14523821307
2016-12-08,110159.8545024255
2016-12-09,110775.83922278987
2016-12-12,110772.17248798169
2016-12-13,111244.35787205247
2016-12-14,110201.73729946898
2016-12-15,111009.43837879291
2016-12-16,111931.71873969518
2016-12-19,111811.25241567603
2016-12-20,111972.48168131777
2016-12-21,111881.01867645756
2016-12-22,111383.33295240065
2016-12-23,111917.39257134887
2016-12-27,112464.09993096632
2016-12-28,111488.35496733364
2016-12-29,112066.10933872017
2016-12-30,111559.02825227841
2017-01-03,112845.45252750927
2017-01-04,114227.32926287605
2017-01-05,114197.10391647028
2017-01-06,115158.59019759017
2017-01-09,115058.27669322203
2017-01-10,114937.7224363932
2017-01-11,115078.50884853951
2017-01-12,114887.91980157858
2017-01-13,115688.19577012658
2017-01-17,116226.70455239192
2017-01-18,115835.69293137593
2017-01-19,115160.60003078045
2017-01-20,115585.31732296318
2017-01-23,115602.29305332953
2017-01-24,115822.11968150277
2017-01-25,116630.27466492276
2017-01-26,116062.1574564366
2017-01-27,116213.31413090485
2017-01-30,115676.74631215527
2017-01-31,116532.99172640784
2017-02-01,116581.10417533811
2017-02-02,116344.70682903474
2017-02-03,116903.16408315883
2017-02-06,116721.63931340283
2017-02-07,117725.38538117711
2017-02-08,118739.94510456393
2017-02-09,120041.1973051039
2017-02-10,120571.92226989873
2017-02-13,121539.53795273877
2017-02-14,122225.13099733627
2017-02-15,122959.04834490544
2017-02-16,123046.31953940997
2017-02-17,123789.26363686362
2017-02-21,125949.8501822177
2017-02-22,125459.02555319986
2017-02-23,125754.90934157299
2017-02-24,127056.61484244482
2017-02-27,127008.72049231842
2017-02-28,126691.21859033493
2017-03-01,129097.71469431935
2017-03-02,128778.72281598467
2017-03-03,128456.24063488083
2017-03-06,127742.31474540061
2017-03-07,127233.35229226372
2017-03-08,126859.68903416862
2017-03-09,126749.2944494856
2017-03-10,127044.60689078245
2017-03-13,127373.76725618058
2017-03-14,126975.65965513272
2017-03-15,128339.00328160968
2017-03-16,128852.57970326635
2017-03-17,129059.11804838487
2017-03-20,129296.30104537323
2017-03-21,126934.0704373688
2017-03-22,127335.41925246811
2017-03-23,127833.78130253118
2017-03-24,128325.87786613984
2017-03-27,128638.2650664055
2017-03-28,129436.33393461799
2017-03-29,130340.89763448082
2017-03-30,130301.77735928152
2017-03-31,130294.91313099794
2017-04-03,129510.99509556552
2017-04-04,128496.31960473346
2017-04-05,127911.67682003813
2017-04-06,128458.87710144524
2017-04-07,128662.65456297068
2017-04-10,128727.02117439653
2017-04-11,128694.66813540524
2017-04-12,128616.33786097862
2017-04-13,127963.62127946844
2017-04-17,129328.05076358811
2017-04-18,129046.860333696
2017-04-19,129195.26626263744
2017-04-20,130367.08416258471
2017-04-21,129560.53269277832
2017-04-24,130290.26916225918
2017-04-25,130682.32309284942
2017-04-26,130615.61347410324
2017-04-27,130017.53734063967
2017-04-28,129457.48789574561
2017-05-01,129055.07427941995
2017-05-02,128886.47807568706
2017-05-03,128239.72700560419
2017-05-04,128429.55856359455
2017-05-05,129183.00903075338
2017-05-08,128641.58448484879
2017-05-09,128362.06696920418
2017-05-10,128797.64300684587
2017-05-11,128685.01661660188
2017-05-12,127642.88260112544
2017-05-15,127987.54842383719
2017-05-16,127117.06816988446
2017-05-17,124722.32643799936
2017-05-18,124776.3266564864
2017-05-19,125473.29122007625
2017-05-22,125930.02224053998
2017-05-23,126683.78254526043
2017-05-24,126723.05802894096
2017-05-25,128122.5532142347
2017-05-26,128407.41298130697
2017-05-30,128102.73736599265
2017-05-31,128008.90983636386
2017-06-01,129376.33524414022
2017-06-02,129554.51058110176
2017-06-05,129333.9048653405
2017-06-06,128920.72008385502
2017-06-07,129503.28244003032
2017-06-08,129403.37265113475
2017-06-09,130600.516037923
2017-06-12,131393.74315169445
2017-06-13,131801.52735826815
2017-06-14,131094.23959269916
2017-06-15,130519.44905348688
2017-06-16,130407.95333662677
2017-06-19,132630.56790972702
2017-06-20,130664.03423078552
2017-06-21,130127.56198240255
2017-06-22,130474.1134023519
2017-06-23,130804.30627194299
2017-06-26,131395.20127405104
2017-06-27,131072.01417574033
2017-06-28,132476.7803137253
2017-06-29,132310.2492005261
2017-06-30,132832.3082151394
2017-07-03,133194.45220872646
2017-07-05,132225.99966642936
2017-07-06,130948.93696732457
2017-07-07,131324.6496933636
2017-07-10,131317.60844055933
2017-07-11,131488.4320136897
2017-07-12,131712.1594876796
2017-07-13,132730.64374494288
2017-07-14,133127.2449796613
2017-07-17,133421.22219264798
2017-07-18,133252.58555281372
2017-07-19,133835.89825844418
2017-07-20,133395.59446139322
2017-07-21,134347.74504046573
2017-07-24,134324.3156509602
2017-07-25,135714.59077331744
2017-07-26,135416.09489245352
2017-07-27,135791.64505944334
2017-07-28,135889.71274656637
2017-07-31,136654.412372056
2017-08-01,136656.261550249
2017-08-02,136461.9240673913
2017-08-03,136071.90354698186
2017-08-04,136179.8495752205
2017-08-07,136495.91587423644
2017-08-08,135556.67622235967
2017-08-09,136083.7791264389
2017-08-10,134188.63921118045
2017-08-11,134815.15424344214
2017-08-14,135999.53675538203
2017-08-15,135471.23673855377
2017-08-16,136579.3686232285
2017-08-17,134401.84957531127
2017-08-18,133941.00668542218
2017-08-21,134052.46604422876
2017-08-22,135614.09123170335
2017-08-23,134216.2447626622
2017-08-24,133734.75312135246
2017-08-25,134163.0912511713
2017-08-28,134092.32026467656
2017-08-29,133870.68560962228
2017-08-30,134679.51843748504
2017-08-31,135462.96263355465
2017-09-01,135833.71195613712
2017-09-05,134932.30117469077
2017-09-06,135634.04477718315
2017-09-07,136051.96877144132
2017-09-08,135886.70828486737
2017-09-11,136730.17146830267
2017-09-12,137614.8492432924
2017-09-13,137031.2820964358
2017-09-14,136133.33586196214
2017-09-15,136563.49010876723
2017-09-18,137946.8551107213
2017-09-19,137241.1904347066
2017-09-20,137300.01478887635
2017-09-21,137262.21400173553
2017-09-22,138437.0461128655
2017-09-25,138744.60754457663
2017-09-26,138306.85446983337
2017-09-27,139191.7140667684
2017-09-28,138651.92077337622
2017-09-29,138966.07147287563
2017-10-02,140040.35483231526
2017-10-03,139907.34515748284
2017-10-04,140086.62862664854
2017-10-05,140857.38116645932
2017-10-06,140135.6485497052
2017-10-09,138840.98690055308
2017-10-10,138280.81259579805
2017-10-11,138450.14599576045
2017-10-12,138211.87383422643
2017-10-13,138362.5899986155
2017-10-16,137426.83355017455
2017-10-17,138548.39386049984
2017-10-18,139272.94019252056
2017-10-19,139750.26430425467
2017-10-20,141625.1059611003
2017-10-23,140640.26415815717
2017-10-24,141673.22487809227
2017-10-25,139427.3751785519
2017-10-26,139215.0334497764
2017-10-27,140103.84101644563
2017-10-30,139095.0125364355
2017-10-31,140614.33434933124
2017-11-01,140185.01926707156
2017-11-02,139720.4119720907
2017-11-03,140574.3885802077
2017-11-06,142206.44085843483
2017-11-07,140970.7786217627
2017-11-08,141652.45215524783
2017-11-09,140927.25033754148
2017-11-10,142049.29149127583
2017-11-13,142063.1906401414
2017-11-14,141840.21628933155
2017-11-15,141630.11073024204
