config,bucket,n_trades,win_rate_pct,avg_pnl_pct,std_pct,total_return_pct,max_drawdown_pct,ret_per_maxdd,final_equity,avg_pnl_pct_premium,avg_premium_pct_notional,expired_before_exit,median_spread_pct
anchor_subset,ALL,446,78.9,1.824,9.855,50.09,-19.15,2.616,150092.62,,,,
anchor_subset,10%+,69,75.4,6.021,15.18,26.84,-6.45,4.162,126840.72,,,,
anchor_subset,2-3%,78,87.2,0.622,4.528,2.47,-2.15,1.148,102468.49,,,,
anchor_subset,3-5%,140,80.7,0.492,7.227,4.31,-6.08,0.708,104307.08,,,,
anchor_subset,5-10%,159,74.8,1.765,10.415,16.48,-10.33,1.595,116476.33,,,,
call_14d_0.3,ALL,442,32.4,-0.409,2.01,-11.05,-12.35,-0.894,88952.18,-20.4,1.96,174.0,21.9
call_14d_0.3,10%+,69,21.7,-0.611,3.037,-2.26,-3.42,-0.663,97736.53,-32.1,2.05,54.0,20.6
call_14d_0.3,2-3%,77,35.1,-0.515,1.357,-2.33,-2.61,-0.894,97667.05,-19.1,1.92,7.0,18.2
call_14d_0.3,3-5%,140,35.0,-0.344,1.546,-3.1,-3.79,-0.818,96897.52,-18.2,2.04,33.0,22.0
call_14d_0.3,5-10%,156,33.3,-0.326,2.089,-3.35,-4.04,-0.828,96651.08,-17.9,1.86,80.0,22.5
stock_eod_control,ALL,442,69.7,1.016,10.001,27.94,-17.35,1.61,127938.79,,,,
stock_eod_control,10%+,69,68.1,3.809,15.431,16.81,-5.37,3.13,116807.21,,,,
stock_eod_control,2-3%,77,72.7,0.111,5.021,0.29,-13.8,0.021,100289.16,,,,
stock_eod_control,3-5%,140,73.6,0.398,7.633,3.5,-5.08,0.689,103499.67,,,,
stock_eod_control,5-10%,156,65.4,0.78,10.547,7.34,-12.13,0.606,107342.76,,,,
call_14d_0.5,ALL,442,40.7,-0.52,3.227,-14.34,-17.18,-0.835,85658.52,-13.8,3.92,174.0,14.2
call_14d_0.5,10%+,69,33.3,-0.803,4.798,-3.07,-4.8,-0.639,96933.72,-21.5,4.24,54.0,13.2
call_14d_0.5,2-3%,77,39.0,-0.583,1.903,-2.74,-3.32,-0.826,97261.04,-13.9,3.9,7.0,10.5
call_14d_0.5,3-5%,140,42.1,-0.425,2.608,-3.86,-5.37,-0.72,96136.43,-10.7,4.09,33.0,13.9
call_14d_0.5,5-10%,156,43.6,-0.45,3.407,-4.67,-5.67,-0.824,95327.34,-13.2,3.65,80.0,15.9
call_14d_0.7,ALL,442,41.4,-0.872,4.54,-24.44,-28.05,-0.871,75561.73,-14.1,7.21,174.0,12.5
call_14d_0.7,10%+,69,37.7,-1.123,6.408,-4.59,-6.36,-0.722,95408.68,-20.0,7.63,54.0,10.8
call_14d_0.7,2-3%,77,36.4,-1.095,2.777,-5.04,-5.54,-0.91,94961.35,-14.4,6.98,7.0,12.8
call_14d_0.7,3-5%,140,42.1,-0.76,3.772,-6.8,-8.89,-0.765,93201.89,-11.7,7.64,33.0,12.2
call_14d_0.7,5-10%,156,44.9,-0.752,4.901,-8.01,-9.78,-0.819,91989.82,-13.6,6.74,80.0,13.5
call_21d_0.3,ALL,442,32.6,-0.496,2.068,-13.17,-14.36,-0.917,86828.92,-22.6,2.26,155.0,19.9
call_21d_0.3,10%+,69,18.8,-1.073,2.947,-4.14,-4.82,-0.859,95861.15,-43.7,2.47,50.0,18.5
call_21d_0.3,2-3%,77,33.8,-0.576,1.386,-2.63,-2.92,-0.9,97371.18,-19.4,2.22,4.0,17.8
call_21d_0.3,3-5%,140,35.0,-0.392,1.604,-3.49,-4.25,-0.821,96508.94,-20.0,2.33,30.0,22.0
call_21d_0.3,5-10%,156,35.9,-0.294,2.216,-2.91,-3.74,-0.778,97087.65,-17.3,2.11,71.0,20.1
call_21d_0.5,ALL,442,42.1,-0.614,3.385,-16.69,-19.44,-0.858,83309.66,-14.9,4.46,155.0,10.8
call_21d_0.5,10%+,69,30.4,-1.397,4.768,-5.42,-6.82,-0.794,94580.9,-30.2,4.77,50.0,10.4
call_21d_0.5,2-3%,77,44.2,-0.557,2.042,-2.65,-3.22,-0.823,97346.3,-11.0,4.43,4.0,8.7
call_21d_0.5,3-5%,140,42.9,-0.477,2.692,-4.23,-5.52,-0.765,95773.09,-12.1,4.64,30.0,11.2
call_21d_0.5,5-10%,156,45.5,-0.42,3.709,-4.39,-5.81,-0.756,95609.37,-12.7,4.19,71.0,12.3
call_21d_0.7,ALL,442,42.1,-1.081,4.893,-29.33,-33.55,-0.874,70670.11,-15.1,8.24,155.0,11.6
call_21d_0.7,10%+,69,37.7,-1.902,6.781,-7.41,-9.26,-0.8,92591.1,-23.5,8.57,50.0,11.1
call_21d_0.7,2-3%,77,33.8,-1.545,3.534,-7.48,-8.09,-0.924,92523.04,-15.0,8.43,4.0,10.7
call_21d_0.7,3-5%,140,43.6,-0.792,3.875,-6.89,-8.91,-0.773,93114.27,-12.4,8.59,30.0,11.7
call_21d_0.7,5-10%,156,46.8,-0.749,5.27,-7.56,-9.32,-0.811,92441.69,-13.9,7.7,71.0,11.7
call_30d_0.3,ALL,442,31.4,-0.699,2.242,-18.77,-19.39,-0.968,81228.64,-24.2,2.64,138.0,24.5
call_30d_0.3,10%+,69,23.2,-1.196,3.364,-4.7,-5.22,-0.901,95296.51,-36.1,2.86,49.0,24.9
call_30d_0.3,2-3%,77,27.3,-0.75,1.502,-3.47,-3.67,-0.946,96527.67,-22.6,2.6,2.0,21.9
call_30d_0.3,3-5%,140,32.1,-0.625,1.884,-5.52,-6.09,-0.905,94483.93,-23.2,2.8,23.0,24.1
call_30d_0.3,5-10%,156,36.5,-0.519,2.215,-5.08,-5.38,-0.944,94920.54,-20.6,2.44,64.0,25.0
call_30d_0.5,ALL,442,38.9,-0.828,3.653,-22.48,-24.87,-0.904,77518.98,-16.1,5.16,138.0,14.5
call_30d_0.5,10%+,69,29.0,-1.789,5.388,-7.01,-8.41,-0.833,92988.83,-29.9,5.56,49.0,13.6
call_30d_0.5,2-3%,77,39.0,-0.682,2.136,-3.3,-3.83,-0.861,96701.7,-10.9,5.02,2.0,10.0
call_30d_0.5,3-5%,140,40.0,-0.626,2.841,-5.54,-6.88,-0.805,94462.69,-13.3,5.41,23.0,15.1
