ticker,gap_date,entry_date,exit_date,bucket,gap_pct,entry_price,exit_price,exit_reason,contracts_shares,position_dollars,pnl_pct,pnl_dollar,days_held
INTU,2016-09-13,2016-09-14,2016-09-15,2-3%,-2.246,107.1871,109.4305,tp_gap_filled,92.2238,9885.2,2.093,206.89,1
MRVL,2016-09-07,2016-09-08,2016-09-16,2-3%,-2.859,12.5826,12.9271,tp_gap_filled,792.7786,9975.19,2.738,273.1,6
ESS,2016-09-09,2016-09-12,2016-09-20,2-3%,-2.941,220.3802,226.6032,tp_gap_filled,45.1874,9958.42,2.824,281.2,6
DVN,2016-09-16,2016-09-19,2016-09-20,2-3%,-2.2,40.04,40.8591,tp_gap_filled,250.7309,10039.26,2.046,205.37,1
FCX,2016-09-12,2016-09-13,2016-09-21,2-3%,-2.532,10.02,10.2597,tp_gap_filled,993.346,9953.34,2.392,238.13,6
APA,2016-09-13,2016-09-14,2016-09-21,2-3%,-2.17,58.6586,59.8401,tp_gap_filled,169.071,9917.47,2.014,199.76,5
WMB,2016-09-09,2016-09-12,2016-09-22,3-5%,-4.173,29.8799,31.1188,tp_gap_filled,333.9837,9979.38,4.147,413.81,8
LH,2016-09-13,2016-09-15,2016-09-22,2-3%,-2.176,115.2268,117.5541,tp_gap_filled,86.6972,9989.84,2.02,201.77,5
NRG,2016-09-13,2016-09-21,2016-09-22,2-3%,-2.17,11.7317,11.968,tp_gap_filled,866.1483,10161.41,2.014,204.67,1
HII,2016-09-20,2016-09-22,2016-09-26,2-3%,-2.761,150.5504,154.5153,tp_gap_filled,67.8278,10211.5,2.634,268.93,2
CPT,2016-09-21,2016-09-22,2016-09-27,3-5%,-4.082,84.2041,87.6123,tp_gap_filled,121.0285,10191.1,4.048,412.49,3
ACN,2016-09-23,2016-09-26,2016-09-27,2-3%,-2.771,110.6205,113.5463,tp_gap_filled,91.9029,10166.35,2.645,268.89,1
TTD,2016-09-26,2016-09-27,2016-09-28,2-3%,-2.025,2.7127,2.7632,tp_gap_filled,3770.0034,10226.93,1.862,190.48,1
NTAP,2016-09-26,2016-09-27,2016-09-30,2-3%,-2.215,34.9049,35.6243,tp_gap_filled,292.6295,10214.19,2.061,210.54,3
IVZ,2016-09-13,2016-09-21,2016-10-03,2-3%,-2.183,30.9509,31.5784,tp_gap_filled,328.4249,10165.05,2.027,206.08,8
AMD,2016-09-07,2016-10-03,2016-10-25,3-5%,-3.951,7.0571,7.3327,tp_gap_filled,1452.1492,10247.89,3.905,400.23,16
EXPD,2016-10-24,2016-10-25,2016-10-26,2-3%,-2.57,48.5685,49.7502,tp_gap_filled,208.8145,10141.81,2.433,246.75,1
DELL,2016-09-12,2016-09-13,2016-10-27,2-3%,-2.078,13.5012,13.7602,tp_gap_filled,736.6175,9945.24,1.918,190.78,32
LULU,2016-10-25,2016-10-26,2016-10-27,3-5%,-3.043,54.5445,56.1438,tp_gap_filled,185.8021,10134.48,2.932,297.15,1
REGN,2016-09-30,2016-10-03,2016-10-28,2-3%,-2.441,396.8364,352.8312,stop,25.865,10264.19,-11.089,-1138.2,19
CTSH,2016-09-30,2016-10-03,2016-11-07,10%+,-11.218,48.8788,54.945,tp_gap_filled,209.341,10232.34,12.411,1269.9,25
CHRW,2016-10-26,2016-10-27,2016-11-07,5-10%,-5.041,65.9959,69.3606,tp_gap_filled,154.4581,10193.61,5.098,519.7,7
ALLE,2016-10-27,2016-10-28,2016-11-08,2-3%,-2.18,64.2242,65.5244,tp_gap_filled,158.7838,10197.76,2.025,206.46,7
ABBV,2016-10-28,2016-11-07,2016-11-09,5-10%,-6.362,57.6075,61.3985,tp_gap_filled,178.63,10290.44,6.581,677.18,2
KR,2016-09-07,2016-09-08,2016-11-10,3-5%,-3.092,31.6917,32.6373,tp_gap_filled,315.1371,9987.22,2.984,298.02,45
CBRE,2016-10-27,2016-11-07,2016-11-10,3-5%,-3.38,26.8969,27.7822,tp_gap_filled,383.4536,10313.7,3.292,339.48,3
ACN,2016-11-09,2016-11-10,2016-11-11,3-5%,-3.28,115.9959,119.6902,tp_gap_filled,90.3396,10479.03,3.185,333.74,1
TPL,2016-11-10,2016-11-11,2016-11-14,2-3%,-2.01,28.9534,29.4883,tp_gap_filled,363.2181,10516.39,1.847,194.28,1
AXON,2016-11-11,2016-11-14,2016-11-15,2-3%,-2.722,26.1161,26.7932,tp_gap_filled,403.0811,10526.9,2.593,272.92,1
FERG,2016-09-14,2016-09-15,2016-12-05,3-5%,-3.515,60.3454,62.419,tp_gap_filled,165.5609,9990.84,3.436,343.31,56
CRM,2016-12-02,2016-12-05,2016-12-06,2-3%,-2.732,66.6566,68.3915,tp_gap_filled,158.2977,10551.59,2.603,274.64,1
CASY,2016-09-07,2016-09-08,2016-12-07,5-10%,-9.047,121.3712,124.0958,time_exit,82.3918,10000.0,2.245,224.48,63
MRVL,2016-12-05,2016-12-06,2016-12-07,3-5%,-3.067,13.6036,14.006,tp_gap_filled,782.7588,10648.33,2.958,314.97,1
DLR,2016-11-09,2016-11-15,2016-12-09,2-3%,-2.962,92.1621,94.7851,tp_gap_filled,114.6682,10568.06,2.846,300.78,17
ABBV,2016-12-07,2016-12-08,2016-12-09,2-3%,-2.207,60.3203,61.5584,tp_gap_filled,178.5444,10769.85,2.053,221.06,1
BF-B,2016-12-07,2016-12-08,2016-12-09,2-3%,-2.091,35.2432,35.924,tp_gap_filled,305.8801,10780.2,1.932,208.25,1
EME,2016-12-08,2016-12-09,2016-12-12,2-3%,-2.167,70.9409,72.3676,tp_gap_filled,153.9777,10923.31,2.011,219.68,1
ORCL,2016-09-16,2016-09-22,2016-12-13,3-5%,-3.059,39.6496,40.8191,tp_gap_filled,258.1389,10235.11,2.95,301.9,57
HPQ,2016-12-12,2016-12-13,2016-12-14,2-3%,-2.345,15.4254,15.7642,tp_gap_filled,710.1653,10954.59,2.196,240.61,1
CASY,2016-12-08,2016-12-09,2016-12-15,5-10%,-5.007,118.118,124.0958,tp_gap_filled,92.1229,10881.38,5.061,550.69,4
JBL,2016-09-22,2016-09-23,2016-12-16,5-10%,-6.953,22.1021,23.7063,tp_gap_filled,460.8068,10184.79,7.258,739.22,59
CDNS,2016-12-14,2016-12-15,2016-12-19,5-10%,-6.504,24.1741,25.8042,tp_gap_filled,456.3103,11030.91,6.743,743.8,2
FANG,2016-12-14,2016-12-19,2016-12-20,2-3%,-2.004,103.2732,105.1747,tp_gap_filled,107.5296,11104.92,1.841,204.47,1
VMRK,2016-09-22,2016-09-23,2016-12-22,3-5%,-4.424,63.1531,62.907,time_exit,161.1167,10175.02,-0.39,-39.64,63
FCX,2016-12-15,2016-12-16,2017-01-04,2-3%,-2.048,14.3644,14.6353,tp_gap_filled,777.8587,11173.44,1.887,210.8,11
AMGN,2016-10-28,2016-11-09,2017-01-06,5-10%,-5.53,151.8417,160.4094,tp_gap_filled,68.9212,10465.1,5.643,590.5,39
ADBE,2016-11-09,2016-11-10,2017-01-06,2-3%,-2.62,105.6556,108.2816,tp_gap_filled,99.5516,10518.18,2.485,261.43,38
INCY,2016-12-07,2016-12-09,2017-01-06,2-3%,-2.285,104.8648,107.1028,tp_gap_filled,104.4313,10951.17,2.134,233.72,18
BDX,2017-01-03,2017-01-04,2017-01-06,2-3%,-2.175,124.3381,126.848,tp_gap_filled,90.5395,11257.51,2.019,227.25,2
AAPL,2016-10-26,2016-10-27,2017-01-09,3-5%,-3.332,28.6061,29.5329,tp_gap_filled,356.3267,10193.11,3.24,330.27,49
