,0
2016-09-06,100000.0
2016-09-07,100000.0
2016-09-08,99726.093876662
2016-09-09,99600.50243280035
2016-09-12,99974.22444206421
2016-09-13,99662.4775814756
2016-09-14,98937.51759454481
2016-09-15,100079.60234588175
2016-09-16,100036.4213788336
2016-09-19,100793.57768633669
2016-09-20,100675.91464928309
2016-09-21,101930.35884762727
2016-09-22,102572.22652380637
2016-09-23,101955.43675279518
2016-09-26,101933.9734058504
2016-09-27,103409.7043761025
2016-09-28,102686.13626869643
2016-09-29,101952.02205447774
2016-09-30,103081.86165935242
2016-10-03,103254.05626128823
2016-10-04,102511.28011070889
2016-10-05,102645.03224022922
2016-10-06,103098.92714178957
2016-10-07,102125.29876235478
2016-10-10,102247.15306389493
2016-10-11,101269.31285733514
2016-10-12,101481.15057056777
2016-10-13,101633.81984996544
2016-10-14,102173.48311712203
2016-10-17,101596.59505978451
2016-10-18,102288.34534124559
2016-10-19,102715.03258468484
2016-10-20,102581.92081960701
2016-10-21,100914.97289072827
2016-10-24,101973.31030935424
2016-10-25,102197.63713551972
2016-10-26,101490.35159790766
2016-10-27,102072.79178686996
2016-10-28,102807.33810918206
2016-10-31,101818.04498656445
2016-11-01,101412.21002953347
2016-11-02,101418.24136976094
2016-11-03,101134.04926786407
2016-11-04,101360.59031704166
2016-11-07,104267.67456004363
2016-11-08,104141.62744180759
2016-11-09,106229.26402468659
2016-11-10,107577.53064610598
2016-11-11,107919.10600714624
2016-11-14,108507.57319038734
2016-11-15,108736.98272538012
2016-11-16,108719.43937532503
2016-11-17,109918.38462716217
2016-11-18,109602.04087722376
2016-11-21,110584.25319113414
2016-11-22,111238.46532369773
2016-11-23,112238.58792643397
2016-11-25,112377.30050149912
2016-11-28,111683.43429569207
2016-11-29,112066.42263204136
2016-11-30,111410.73091057064
2016-12-01,109974.38373331568
2016-12-02,109739.29080187413
2016-12-05,112023.01594788753
2016-12-06,112282.26794214989
2016-12-07,112994.16208845198
2016-12-08,113186.87716929063
2016-12-09,113910.2332211798
2016-12-12,113571.08969751085
2016-12-13,114182.6921524365
2016-12-14,112925.84670384621
2016-12-15,113687.04844638608
2016-12-16,114843.01613946569
2016-12-19,115010.87172677489
2016-12-20,115348.46401813746
2016-12-21,115522.9986308505
2016-12-22,114644.67022762292
2016-12-23,115066.97323453639
2016-12-27,115881.39084864402
2016-12-28,114946.90772951003
2016-12-29,115434.57788729682
2016-12-30,115021.4410844946
2017-01-03,116261.75208266695
2017-01-04,118496.56467912822
2017-01-05,118612.89052580747
2017-01-06,119453.98584899986
2017-01-09,119463.16689842613
2017-01-10,119196.63771834268
2017-01-11,120252.35889121264
2017-01-12,120021.47809331135
2017-01-13,120420.27945222122
2017-01-17,120869.13707337384
2017-01-18,120330.93131754828
2017-01-19,119627.7443493191
2017-01-20,120098.6418316772
2017-01-23,120447.62144353893
2017-01-24,120546.95027789236
2017-01-25,121262.43248743462
2017-01-26,120627.17707573708
2017-01-27,120889.38634808526
2017-01-30,120071.8526569313
2017-01-31,121171.9612765277
2017-02-01,121357.60542473521
2017-02-02,121675.883337265
2017-02-03,122327.1194353114
2017-02-06,121398.16815175855
2017-02-07,122528.57207062707
2017-02-08,122978.9176424318
2017-02-09,123239.83680297714
2017-02-10,124194.41311073615
2017-02-13,125361.69744382433
2017-02-14,126459.86429316246
2017-02-15,127897.33545379019
2017-02-16,127974.02744122743
2017-02-17,129860.02095189526
2017-02-21,132209.69521917895
2017-02-22,131259.91351519185
2017-02-23,132093.9381544479
2017-02-24,133921.46306042752
2017-02-27,134175.07540623937
2017-02-28,134042.22999779094
2017-03-01,135651.80657415037
2017-03-02,135903.6152780265
2017-03-03,135590.05006936836
2017-03-06,134857.31387230358
2017-03-07,134050.67474258126
2017-03-08,133803.45610990393
2017-03-09,133382.04341699075
2017-03-10,133207.28956252366
2017-03-13,133584.86823036018
2017-03-14,133137.99727281937
2017-03-15,134181.2458208468
2017-03-16,134044.261707876
2017-03-17,134074.44622429067
2017-03-20,133935.3012378585
2017-03-21,131676.6775340816
2017-03-22,131539.30563147596
2017-03-23,131824.3268725238
2017-03-24,131970.33775453255
2017-03-27,131692.77795606837
2017-03-28,132825.25082336966
2017-03-29,133971.79740247809
2017-03-30,133582.87616981522
2017-03-31,133697.082795265
2017-04-03,132864.07172551987
2017-04-04,132677.8239002096
2017-04-05,132417.0072400418
2017-04-06,132666.6465859934
2017-04-07,133144.10448861346
2017-04-10,133485.3029256101
2017-04-11,133370.2482377806
2017-04-12,133439.60353473685
2017-04-13,132964.17438301438
2017-04-17,133801.05921482138
2017-04-18,133747.7076364443
2017-04-19,133812.2070906545
2017-04-20,134343.78724972822
2017-04-21,133319.29972609185
2017-04-24,134007.75768929836
2017-04-25,134603.62280081064
2017-04-26,135306.29035361408
2017-04-27,135560.3496117195
2017-04-28,134721.71320238497
2017-05-01,134337.25982672462
2017-05-02,134392.7945722537
2017-05-03,133486.04549594974
2017-05-04,133545.47360252714
2017-05-05,135112.77237724385
2017-05-08,134094.29960882687
2017-05-09,133335.83784270455
2017-05-10,132882.6407532498
2017-05-11,132441.73760886164
2017-05-12,131272.15049726778
2017-05-15,131739.0911703885
2017-05-16,130946.71774224218
2017-05-17,128845.49020659113
2017-05-18,128902.66852499916
2017-05-19,129144.86136053657
2017-05-22,129561.04045180752
2017-05-23,131796.01141269386
2017-05-24,131873.97005242907
2017-05-25,133978.33761082028
2017-05-26,134721.9710317648
2017-05-30,134228.82855761336
2017-05-31,133595.707243383
2017-06-01,135749.12684358392
2017-06-02,134766.25082351663
2017-06-05,135047.41671372444
2017-06-06,134764.85145997372
2017-06-07,135796.2804447919
2017-06-08,135537.97659662704
2017-06-09,138089.41627472008
2017-06-12,138905.2766604186
2017-06-13,139429.24946688086
2017-06-14,138736.14021434545
2017-06-15,138046.29464084463
2017-06-16,138032.53314505288
2017-06-19,140209.1668375169
2017-06-20,138121.30895663003
2017-06-21,137007.23382674548
2017-06-22,137641.47161067463
2017-06-23,138126.8554241739
2017-06-26,138781.59945396584
2017-06-27,138662.41968759944
2017-06-28,139535.2521696873
2017-06-29,139306.14833068824
2017-06-30,140096.29129593083
2017-07-03,141019.60983944545
2017-07-05,138911.08739505033
2017-07-06,137473.7463021546
2017-07-07,137546.47397893984
2017-07-10,136857.38002307148
2017-07-11,136713.64532160034
2017-07-12,136486.04741678372
2017-07-13,137800.00446235805
2017-07-14,138079.58216105806
2017-07-17,138435.48169143454
2017-07-18,138161.45433304674
2017-07-19,138916.8394249913
2017-07-20,138518.77973031384
2017-07-21,139445.1124939558
2017-07-24,138966.03845867087
2017-07-25,141187.63402933246
2017-07-26,140812.86799702133
2017-07-27,142148.6834874339
2017-07-28,141987.7477946095
2017-07-31,143167.87382631158
2017-08-01,143609.5404957333
2017-08-02,143830.93075097876
2017-08-03,143106.2806937
2017-08-04,143054.82887201995
2017-08-07,143355.71064526655
2017-08-08,141960.70580301416
2017-08-09,142710.68859830653
2017-08-10,141183.90434068238
2017-08-11,141658.90374861954
2017-08-14,142015.85271805106
2017-08-15,140431.79782553646
2017-08-16,141898.9873540773
2017-08-17,139844.39580469028
2017-08-18,139349.03311301957
2017-08-21,139525.98135740176
2017-08-22,140561.02190950533
2017-08-23,138815.7376082695
2017-08-24,137849.86229741643
2017-08-25,138422.66569675706
2017-08-28,138441.08199069634
2017-08-29,137970.69498936113
2017-08-30,138859.55324332963
2017-08-31,139497.66789327608
2017-09-01,140033.90436398314
2017-09-05,139621.6935507508
2017-09-06,140330.58807329385
2017-09-07,140243.93478933134
2017-09-08,140382.292325742
2017-09-11,140786.8326676573
2017-09-12,141124.96852391947
2017-09-13,139909.28721270856
2017-09-14,138868.8457637026
2017-09-15,138819.64379608587
2017-09-18,139363.46889927704
2017-09-19,137380.4164784836
2017-09-20,137316.48877118572
2017-09-21,137993.73371837722
2017-09-22,139737.50185363347
2017-09-25,140527.4195601307
2017-09-26,139890.37079411827
2017-09-27,141479.6341251173
2017-09-28,140581.4973959147
2017-09-29,140714.50098992846
2017-10-02,142412.27868844656
2017-10-03,142548.68247845545
2017-10-04,142584.96304948162
2017-10-05,143417.8755339521
2017-10-06,142495.08094945614
2017-10-09,141323.67435614287
2017-10-10,139902.90243011116
2017-10-11,139209.6932415807
2017-10-12,138143.74555377787
2017-10-13,138703.47996204655
2017-10-16,137713.660468912
2017-10-17,139559.6535359496
2017-10-18,140198.5044476843
2017-10-19,140107.23117620256
2017-10-20,140560.95353576553
2017-10-23,139689.0186826041
2017-10-24,140164.81170972195
2017-10-25,138818.9017684048
2017-10-26,138887.9803007318
2017-10-27,137737.9807444051
2017-10-30,138231.7391494949
2017-10-31,140232.16852371002
2017-11-01,139967.55557503828
2017-11-02,139450.31342371998
2017-11-03,139997.77436364163
2017-11-06,142069.51280144058
2017-11-07,140198.5336697536
2017-11-08,140533.877008311
2017-11-09,139545.97856461542
2017-11-10,140587.48985328904
2017-11-13,141535.91995127394
2017-11-14,141363.3680724216
2017-11-15,141605.13910685506
2017-11-16,142646.28012140072
