,0
2016-09-06,100000.0
2016-09-07,100000.0
2016-09-08,99862.9924090255
2016-09-09,99800.09858894337
2016-09-12,99987.32247011873
2016-09-13,99831.28473851588
2016-09-14,99467.79798692052
2016-09-15,100213.10984184785
2016-09-16,100160.93166613395
2016-09-19,100909.699351671
2016-09-20,100657.28475739979
2016-09-21,101362.30091393791
2016-09-22,101685.6120320509
2016-09-23,101481.39260104645
2016-09-26,101563.77511888601
2016-09-27,102318.75195950136
2016-09-28,102033.66850286676
2016-09-29,101581.21820774693
2016-09-30,102136.60829692574
2016-10-03,102121.50682998594
2016-10-04,101905.30224727865
2016-10-05,101817.49151862292
2016-10-06,102266.64748157763
2016-10-07,101582.31291620377
2016-10-10,101760.30632776776
2016-10-11,100831.38680259803
2016-10-12,101225.96564881208
2016-10-13,101268.20972877624
2016-10-14,101805.29113048853
2016-10-17,101243.66891513758
2016-10-18,101677.1551043306
2016-10-19,102126.87168135161
2016-10-20,101193.40656978017
2016-10-21,100483.36685509459
2016-10-24,101144.62478121341
2016-10-25,101077.99970156001
2016-10-26,101150.06170411003
2016-10-27,101262.46871384741
2016-10-28,101662.59802527394
2016-10-31,101359.46658453395
2016-11-01,100733.41324140041
2016-11-02,100881.46410603638
2016-11-03,100476.98247595798
2016-11-04,100422.37515570085
2016-11-07,102508.20134731967
2016-11-08,102632.28474095161
2016-11-09,103681.16154635164
2016-11-10,104184.70625707772
2016-11-11,105219.25892822718
2016-11-14,105496.63298396744
2016-11-15,105433.98515907994
2016-11-16,105267.2804499353
2016-11-17,105516.2270454856
2016-11-18,105568.41083492534
2016-11-21,105203.13416840282
2016-11-22,105929.99105807045
2016-11-23,105756.59133519456
2016-11-25,106278.71603753084
2016-11-28,105814.95420438261
2016-11-29,106248.19316542205
2016-11-30,105686.96705897764
2016-12-01,103775.15604907466
2016-12-02,104241.5606956135
2016-12-05,105656.36796719342
2016-12-06,106548.67947626176
2016-12-07,107585.55131726008
2016-12-08,108882.51309722244
2016-12-09,109583.64537837086
2016-12-12,109775.13895177012
2016-12-13,110346.88205781051
2016-12-14,109421.39403986541
2016-12-15,110034.51176896029
2016-12-16,110507.54323598536
2016-12-19,110744.14101960653
2016-12-20,111320.32386692104
2016-12-21,111060.1320359672
2016-12-22,110765.57211997834
2016-12-23,111001.49383051593
2016-12-27,111296.39746660372
2016-12-28,110417.25919186481
2016-12-29,110728.92112180006
2016-12-30,110203.49060023655
2017-01-03,110978.00463470942
2017-01-04,111970.16701381117
2017-01-05,112406.0159018321
2017-01-06,113134.97400436773
2017-01-09,112642.95485141993
2017-01-10,112528.54312162184
2017-01-11,112497.93753395215
2017-01-12,112196.01940220696
2017-01-13,112539.65558048703
2017-01-17,113122.75573743213
2017-01-18,113006.51561332322
2017-01-19,112262.6548099552
2017-01-20,112663.7982771215
2017-01-23,112479.36571596791
2017-01-24,113243.18562867523
2017-01-25,113788.24323389547
2017-01-26,113790.1301316811
2017-01-27,113658.98691055033
2017-01-30,113239.68356141052
2017-01-31,113845.64164884471
2017-02-01,113979.11850493307
2017-02-02,113770.38059805434
2017-02-03,114046.53952522886
2017-02-06,113735.6282578656
2017-02-07,114659.22873078955
2017-02-08,114893.80084227408
2017-02-09,115193.39378087832
2017-02-10,115621.85002339014
2017-02-13,116465.45575685217
2017-02-14,117092.65015535073
2017-02-15,117921.63272124507
2017-02-16,118004.57655876105
2017-02-17,119389.20694145867
2017-02-21,120937.57176891244
2017-02-22,120371.26901595789
2017-02-23,120991.64559781959
2017-02-24,121736.36938022905
2017-02-27,122565.39629433789
2017-02-28,121792.11342923452
2017-03-01,122938.87083584126
2017-03-02,122880.68141052009
2017-03-03,122572.72170946913
2017-03-06,121605.38738762627
2017-03-07,121280.47010367464
2017-03-08,121235.15419216636
2017-03-09,121397.87726567121
2017-03-10,121658.06911590318
2017-03-13,121932.50873631798
2017-03-14,121622.57261348615
2017-03-15,122529.67770822928
2017-03-16,122634.51707451258
2017-03-17,122305.8855693682
2017-03-20,122370.72205430883
2017-03-21,120734.92856554058
2017-03-22,120985.69147570906
2017-03-23,121065.52752638586
2017-03-24,121516.21303316826
2017-03-27,121898.5787745299
2017-03-28,123163.74253152957
2017-03-29,123269.75806175788
2017-03-30,123269.14113187697
2017-03-31,123124.76301848568
2017-04-03,122447.54976768963
2017-04-04,121759.51189519174
2017-04-05,121053.93473565791
2017-04-06,121218.26658988901
2017-04-07,121495.514299762
2017-04-10,121349.26840839267
2017-04-11,120955.41558699799
2017-04-12,120702.33967876108
2017-04-13,120098.78736360642
2017-04-17,121129.84877850431
2017-04-18,121253.7563244036
2017-04-19,121356.0357436648
2017-04-20,122649.43973235924
2017-04-21,122207.556494697
2017-04-24,122986.85643257893
2017-04-25,123579.85237732212
2017-04-26,123874.8967909714
2017-04-27,123775.69977916009
2017-04-28,123329.72674932911
2017-05-01,123030.72372130187
2017-05-02,123082.72511247957
2017-05-03,122504.97481286874
2017-05-04,122300.02791768426
2017-05-05,122831.81220432359
2017-05-08,122046.15391904039
2017-05-09,122184.98926151526
2017-05-10,122266.4780317759
2017-05-11,122390.8555302524
2017-05-12,121719.94485447364
2017-05-15,122042.2174757478
2017-05-16,121363.90340485125
2017-05-17,119463.51466813553
2017-05-18,119471.4683549153
2017-05-19,120091.53869485165
2017-05-22,120670.39087544142
2017-05-23,120754.56064359973
2017-05-24,120968.62236402807
2017-05-25,122176.55103505876
2017-05-26,122556.59019091717
2017-05-30,122539.57444596516
2017-05-31,122559.80165856966
2017-06-01,124159.85288484057
2017-06-02,124819.37177168703
2017-06-05,124528.88235987593
2017-06-06,123981.09915057181
2017-06-07,124826.14593059386
2017-06-08,124827.64173785002
2017-06-09,125963.67592409832
2017-06-12,126405.65454167247
2017-06-13,127021.03898546877
2017-06-14,126525.5683401404
2017-06-15,125806.29534220263
2017-06-16,125355.98785607303
2017-06-19,127843.31031604094
2017-06-20,126438.20140105757
2017-06-21,126147.71321638903
2017-06-22,126481.95008389033
2017-06-23,127129.82350785614
2017-06-26,127344.36344843662
2017-06-27,126655.81146026851
2017-06-28,127880.54279781236
2017-06-29,127454.24661109803
2017-06-30,127550.20811365973
2017-07-03,127919.4350863325
2017-07-05,126973.51544063748
2017-07-06,125765.99745828312
2017-07-07,126248.17405009374
2017-07-10,126377.5142031131
2017-07-11,126634.15906396287
2017-07-12,126968.80268577836
2017-07-13,127624.56237917536
2017-07-14,128032.54708777291
2017-07-17,128336.68321995427
2017-07-18,128034.06431631613
2017-07-19,128944.91725917466
2017-07-20,128812.95388566576
2017-07-21,129672.26259747017
2017-07-24,129256.83693741882
2017-07-25,130255.51204143088
2017-07-26,130064.43047581482
2017-07-27,130185.19189595705
2017-07-28,130561.85125629853
2017-07-31,130696.81288806873
2017-08-01,130950.44278807763
2017-08-02,130585.72560308002
2017-08-03,130513.06242315228
2017-08-04,130392.76062280209
2017-08-07,131391.623244832
2017-08-08,130585.8564671545
2017-08-09,130831.29327735965
2017-08-10,129264.6908615305
2017-08-11,129944.45066697063
2017-08-14,131482.88215237448
2017-08-15,130933.05873413352
2017-08-16,131525.4139464232
2017-08-17,129930.00832841279
2017-08-18,129673.85150786577
2017-08-21,129909.31818904982
2017-08-22,130990.1689332081
2017-08-23,130068.55531585599
2017-08-24,129660.79428996374
2017-08-25,129708.66347715113
2017-08-28,129711.49791688242
2017-08-29,129605.19058587163
2017-08-30,130359.91137638573
2017-08-31,131269.64070858195
2017-09-01,131740.6159227835
2017-09-05,131240.87344841775
2017-09-06,132055.83630531398
2017-09-07,133013.8667653224
2017-09-08,133343.05189178968
2017-09-11,133683.93809358808
2017-09-12,134259.98806795775
2017-09-13,132932.12262636903
2017-09-14,132293.01169271042
2017-09-15,132827.4609321105
2017-09-18,133302.06618300194
2017-09-19,132603.2248193119
2017-09-20,132363.26474740444
2017-09-21,132060.87381246546
2017-09-22,132697.6757450625
2017-09-25,132724.36002369263
2017-09-26,132831.5153505337
2017-09-27,133269.43954802287
2017-09-28,132785.5109129602
2017-09-29,133175.6653319851
2017-10-02,134117.05176146628
2017-10-03,134223.10889835528
2017-10-04,134657.95596237935
2017-10-05,135405.10620543757
2017-10-06,134866.94032707627
2017-10-09,134065.84597110236
2017-10-10,134032.22107499707
2017-10-11,134084.26317663566
2017-10-12,133313.10314896188
2017-10-13,133345.50658354943
2017-10-16,132986.2160023445
2017-10-17,133399.11656280546
2017-10-18,133545.53301496236
2017-10-19,133695.2640164335
2017-10-20,134428.44021449226
2017-10-23,133310.17593388946
2017-10-24,133376.20162786954
2017-10-25,132938.34427524073
2017-10-26,132509.08628479543
2017-10-27,132934.68545562285
2017-10-30,132757.66887022523
2017-10-31,133941.68064735906
2017-11-01,133573.96178161312
2017-11-02,131391.96876196947
2017-11-03,131861.93688337275
2017-11-06,132762.1261201684
2017-11-07,131143.08394696406
2017-11-08,130691.31423738619
2017-11-09,130593.10791618674
2017-11-10,130707.59344158306
2017-11-13,130985.05965664142
2017-11-14,130530.07242234437
2017-11-15,130402.47617733007
