ticker,gap_date,entry_date,exit_date,bucket,gap_pct,entry_price,exit_price,exit_reason,contracts_shares,position_dollars,pnl_pct,pnl_dollar,days_held
HUM,2024-10-02,2024-10-04,2024-11-06,10%+,-21.36,241.7,279.45,tp_gap_filled,20.5121,4957.77,15.619,774.33,23
MRNA,2024-09-12,2024-09-16,2024-11-11,10%+,-14.615,68.12,44.278,stop,73.3999,5000.0,-35.0,-1750.0,40
TTD,2024-11-08,2024-11-12,2024-11-13,10%+,-12.39,128.36,132.53,tp_gap_filled,38.0153,4879.65,3.249,158.52,1
FDX,2024-09-20,2024-09-25,2024-11-22,10%+,-13.19,214.3513,242.0548,tp_gap_filled,23.2051,4974.04,12.924,642.86,42
WDAY,2024-11-27,2024-12-02,2024-12-04,10%+,-12.099,246.45,270.19,tp_gap_filled,20.5522,5065.08,9.633,487.91,2
DLTR,2024-09-04,2024-09-18,2024-12-17,10%+,-10.851,73.34,70.11,time_exit,68.2627,5006.39,-4.404,-220.49,63
MU,2024-12-19,2024-12-23,2025-01-07,10%+,-13.301,90.0,103.9,tp_gap_filled,53.9701,4857.31,15.444,750.18,9
ELV,2024-10-17,2024-10-21,2025-01-23,10%+,-18.523,428.21,401.36,time_exit,11.557,4948.84,-6.27,-310.31,63
MRNA,2025-01-13,2025-01-15,2025-01-23,10%+,-21.183,35.18,42.25,tp_gap_filled,139.306,4900.79,20.097,984.89,5
VRTX,2024-12-19,2024-12-23,2025-01-27,10%+,-12.626,391.87,447.5,tp_gap_filled,12.3933,4856.55,14.196,689.44,21
DHI,2024-10-29,2024-10-31,2025-02-04,10%+,-15.074,167.94,139.76,time_exit,29.3599,4930.71,-16.78,-827.36,63
LLY,2024-10-30,2024-11-01,2025-02-05,10%+,-11.629,828.0,842.18,time_exit,5.9736,4946.14,1.713,84.71,63
AMGN,2024-11-26,2024-11-29,2025-02-05,10%+,-10.129,279.46,294.0,tp_gap_filled,17.8233,4980.89,5.203,259.15,44
EL,2024-10-31,2024-11-04,2025-02-06,10%+,-24.383,67.28,64.26,time_exit,73.3478,4934.84,-4.489,-221.51,63
COHR,2025-01-27,2025-01-31,2025-02-06,10%+,-12.289,91.0,100.33,tp_gap_filled,55.1342,5017.22,10.253,514.4,4
GPC,2024-10-22,2024-11-07,2025-02-11,10%+,-15.847,123.19,121.7,time_exit,40.1339,4944.1,-1.21,-59.8,63
FSLR,2024-11-06,2024-11-08,2025-02-12,10%+,-12.668,194.5,158.61,time_exit,25.3158,4923.93,-18.452,-908.59,63
SMCI,2024-10-30,2024-11-26,2025-02-18,10%+,-29.051,37.59,49.12,tp_gap_filled,132.7887,4991.53,30.673,1531.05,54
NVDA,2025-01-27,2025-01-29,2025-02-18,10%+,-12.495,126.5,142.62,tp_gap_filled,39.3534,4978.21,12.743,634.38,13
ABBV,2024-11-11,2024-11-27,2025-02-20,10%+,-10.491,181.14,199.5,tp_gap_filled,27.542,4988.96,10.136,505.67,55
INCY,2024-11-19,2024-11-21,2025-02-26,10%+,-12.81,71.33,74.3,time_exit,68.6325,4895.55,4.164,203.84,63
