,0
2024-09-04,100000.0
2024-09-05,100000.0
2024-09-06,100000.0
2024-09-09,100000.0
2024-09-10,100000.0
2024-09-11,100000.0
2024-09-12,100000.0
2024-09-13,100000.0
2024-09-16,100077.06953758278
2024-09-17,100284.05717565694
2024-09-18,100286.7678374253
2024-09-19,100029.52148169445
2024-09-20,99711.73581079008
2024-09-23,99600.0135709238
2024-09-24,99553.24998915129
2024-09-25,99438.83086768247
2024-09-26,99667.03716524957
2024-09-27,99839.82073055263
2024-09-30,99842.57977144085
2024-10-01,99560.87322524168
2024-10-02,99390.32779155816
2024-10-03,99118.24592202101
2024-10-04,99121.18474187722
2024-10-07,98831.1816520692
2024-10-08,98966.89248528714
2024-10-09,99118.36534330636
2024-10-10,99066.88211705087
2024-10-11,99283.05386912712
2024-10-14,99349.12685875696
2024-10-15,99148.05342728287
2024-10-16,99247.16765851509
2024-10-17,99309.38392041938
2024-10-18,99298.77275281341
2024-10-21,98907.94493770943
2024-10-22,98879.37572028559
2024-10-23,98666.04321238918
2024-10-24,98807.85407883524
2024-10-25,98897.08623309621
2024-10-28,98986.70947188922
2024-10-29,98744.31167119293
2024-10-30,98786.00332681852
2024-10-31,98645.25579124951
2024-11-01,98868.5284745501
2024-11-04,98635.96987494579
2024-11-05,98827.24566179547
2024-11-06,98464.24532652089
2024-11-07,98875.91044440711
2024-11-08,98464.144946588
2024-11-11,98373.22070693652
2024-11-12,97700.9359891999
2024-11-13,97993.19659826029
2024-11-14,98396.1795755807
2024-11-15,97714.0508594469
2024-11-18,98021.56619804697
2024-11-19,97523.9513313415
2024-11-20,97473.71418940832
2024-11-21,97846.57757754863
2024-11-22,98519.95027356056
2024-11-25,99832.40280913321
2024-11-26,99305.24628972547
2024-11-27,99832.54359253038
2024-11-29,99678.50884278963
2024-12-02,101404.62858331457
2024-12-03,101323.1961462386
2024-12-04,101669.95627835498
2024-12-05,100978.99208368482
2024-12-06,101185.49769812074
2024-12-09,101675.0670209942
2024-12-10,100864.22356506638
2024-12-11,100107.32194519299
2024-12-12,99444.39837870689
2024-12-13,98952.06759064214
2024-12-16,97873.70922784632
2024-12-17,97648.21101118402
2024-12-18,96177.73952238285
2024-12-19,95531.71892143536
2024-12-20,96353.56719511941
2024-12-23,97297.12014660012
2024-12-24,97760.05965540472
2024-12-26,97751.75450433561
2024-12-27,97083.8745821923
2024-12-30,96036.3961178903
2024-12-31,96168.09677671883
2025-01-02,96598.62870393043
2025-01-03,97413.56368123755
2025-01-06,98904.8972122975
2025-01-07,99143.1256758425
2025-01-08,98807.38390932011
2025-01-10,98282.36061354254
2025-01-13,98357.49596602819
2025-01-14,97781.11777190134
2025-01-15,97958.58530760967
2025-01-16,98303.47182784512
2025-01-17,98154.21675242585
2025-01-21,99025.58913623774
2025-01-22,99325.31075124271
2025-01-23,100343.07726986689
2025-01-24,100304.12412579183
2025-01-27,100303.32153592588
2025-01-28,99581.55728898234
2025-01-29,99453.96527935774
2025-01-30,101297.28411401885
2025-01-31,100334.48919859048
2025-02-03,99160.60811189465
2025-02-04,98958.89905202828
2025-02-05,101038.27990971413
2025-02-06,102203.09753606888
2025-02-07,101702.65553513705
2025-02-10,103244.2328654288
2025-02-11,101847.42288289094
2025-02-12,101004.8536772988
2025-02-13,101079.27441091943
2025-02-14,101977.78878672609
2025-02-18,103363.56466541749
2025-02-19,103150.49400074946
2025-02-20,102131.86031597579
2025-02-21,99307.05297753541
2025-02-24,97456.98383021023
2025-02-25,97102.38655314458
2025-02-26,98553.46990156591
2025-02-27,95835.09249612126
2025-02-28,97138.36132809625
2025-03-03,94053.23049124441
2025-03-04,93961.2694945166
2025-03-05,95305.48440330238
2025-03-06,91512.39553143771
2025-03-07,93134.36065000805
2025-03-10,90961.0439523185
2025-03-11,90763.52212823098
2025-03-12,91277.5617252858
2025-03-13,90647.04469917458
2025-03-14,92606.62978798436
2025-03-17,94031.5857934971
2025-03-18,93434.79271041452
2025-03-19,94388.91206943792
2025-03-20,94206.28757664155
2025-03-21,93766.88800748065
2025-03-24,95410.47862062455
2025-03-25,94327.99471815143
2025-03-26,92927.16554797968
2025-03-27,90918.00599238325
2025-03-28,90369.57477167885
2025-03-31,90311.34460105494
2025-04-01,90742.31918933186
2025-04-02,92125.11538743642
2025-04-03,86863.43274392208
2025-04-04,83019.26791496213
