ticker,gap_date,entry_date,exit_date,bucket,gap_pct,entry_price,exit_price,exit_reason,contracts_shares,position_dollars,pnl_pct,pnl_dollar,days_held
RMD,2024-09-04,2024-09-06,2024-09-09,2-3%,-2.042,245.49,244.9,tp_gap_filled,20.3009,4983.66,-0.24,-11.98,1
CDNS,2024-09-04,2024-09-06,2024-09-10,2-3%,-2.829,251.85,256.28,tp_gap_filled,19.8531,5000.0,1.759,87.95,2
NVDA,2024-09-04,2024-09-06,2024-09-10,2-3%,-2.398,108.04,108.0,tp_gap_filled,46.2394,4995.7,-0.037,-1.85,2
TER,2024-09-05,2024-09-10,2024-09-11,2-3%,-2.162,124.7,126.76,tp_gap_filled,40.0949,4999.83,1.652,82.6,1
DG,2024-09-04,2024-09-09,2024-09-12,2-3%,-2.459,81.96,83.79,tp_gap_filled,60.9654,4996.72,2.233,111.57,3
SMCI,2024-09-05,2024-09-11,2024-09-12,2-3%,-2.862,41.6,42.347,tp_gap_filled,120.2788,5003.6,1.796,89.85,1
WDAY,2024-09-09,2024-09-11,2024-09-12,2-3%,-2.313,256.0,254.6,tp_gap_filled,19.6144,5021.28,-0.547,-27.46,1
AVGO,2024-09-05,2024-09-12,2024-09-13,2-3%,-2.303,158.1,154.12,tp_gap_filled,31.7301,5016.53,-2.517,-126.29,1
KLAC,2024-09-05,2024-09-12,2024-09-13,2-3%,-2.594,74.687,74.511,tp_gap_filled,67.3047,5026.78,-0.236,-11.85,1
GM,2024-09-10,2024-09-13,2024-09-16,2-3%,-2.996,46.31,47.4,tp_gap_filled,108.1759,5009.63,2.354,117.91,1
PLTR,2024-09-11,2024-09-13,2024-09-16,2-3%,-2.158,34.97,34.76,tp_gap_filled,143.2534,5009.57,-0.601,-30.08,1
ROL,2024-09-11,2024-09-13,2024-09-17,2-3%,-2.23,50.11,51.13,tp_gap_filled,100.0601,5014.01,2.036,102.06,2
APTV,2024-09-10,2024-09-16,2024-09-17,2-3%,-2.939,69.13,69.08,tp_gap_filled,72.5882,5018.02,-0.072,-3.63,1
CRWD,2024-09-04,2024-09-17,2024-09-18,2-3%,-2.311,67.55,66.65,tp_gap_filled,74.185,5011.2,-1.332,-66.77,1
AAPL,2024-09-16,2024-09-18,2024-09-19,2-3%,-2.679,217.55,222.5,tp_gap_filled,22.9905,5001.59,2.275,113.8,1
COIN,2024-09-16,2024-09-18,2024-09-19,2-3%,-2.791,161.54,163.05,tp_gap_filled,30.9843,5005.2,0.935,46.79,1
FERG,2024-09-04,2024-09-18,2024-09-19,2-3%,-2.486,206.84,202.35,tp_gap_filled,24.2066,5006.9,-2.171,-108.69,1
KLAC,2024-09-16,2024-09-18,2024-09-19,2-3%,-2.196,74.955,75.15,tp_gap_filled,66.7775,5005.3,0.26,13.02,1
LRCX,2024-09-16,2024-09-18,2024-09-19,2-3%,-2.372,77.97,76.972,tp_gap_filled,64.116,4999.12,-1.28,-63.99,1
TER,2024-09-16,2024-09-18,2024-09-19,2-3%,-2.202,130.56,131.23,tp_gap_filled,38.2313,4991.48,0.513,25.61,1
NUE,2024-09-17,2024-09-19,2024-09-20,2-3%,-2.455,146.7,142.96,tp_gap_filled,34.0895,5000.93,-2.549,-127.49,1
MPWR,2024-09-16,2024-09-20,2024-09-24,2-3%,-2.018,899.34,914.1,tp_gap_filled,5.5554,4996.16,1.641,82.0,2
SMCI,2024-09-16,2024-09-23,2024-09-24,2-3%,-2.187,45.061,45.716,tp_gap_filled,110.8432,4994.7,1.454,72.6,1
DECK,2024-09-20,2024-09-24,2024-09-25,2-3%,-2.715,154.86,152.11,tp_gap_filled,32.2939,5001.03,-1.776,-88.81,1
PLTR,2024-09-20,2024-09-24,2024-09-25,2-3%,-2.226,37.97,36.83,tp_gap_filled,131.6246,4997.79,-3.002,-150.05,1
STLD,2024-09-20,2024-09-24,2024-09-25,2-3%,-2.889,123.25,120.09,tp_gap_filled,40.4929,4990.75,-2.564,-127.96,1
WSM,2024-09-20,2024-09-24,2024-09-25,2-3%,-2.679,154.5,150.08,tp_gap_filled,32.3227,4993.85,-2.861,-142.87,1
UPS,2024-09-20,2024-09-24,2024-09-26,2-3%,-2.747,129.4,132.13,tp_gap_filled,38.5906,4993.62,2.11,105.35,2
NXPI,2024-09-20,2024-09-25,2024-09-26,2-3%,-2.224,231.53,238.72,tp_gap_filled,21.454,4967.25,3.105,154.25,1
APA,2024-09-26,2024-09-30,2024-10-01,2-3%,-2.157,24.38,24.57,tp_gap_filled,203.7149,4966.57,0.779,38.71,1
BKR,2024-09-26,2024-09-30,2024-10-01,2-3%,-2.302,35.97,36.05,tp_gap_filled,138.0979,4967.38,0.222,11.05,1
