,0
2024-09-04,100000.0
2024-09-05,100000.0
2024-09-06,99915.38028005605
2024-09-09,99960.01671629385
2024-09-10,99510.8725848892
2024-09-11,99880.95260001348
2024-09-12,99872.36864030309
2024-09-13,100056.39250664249
2024-09-16,100147.42759259959
2024-09-17,100549.90279211802
2024-09-18,100507.38278949709
2024-09-19,100631.98850846486
2024-09-20,100575.11227048826
2024-09-23,100562.99452190791
2024-09-24,100569.89983277873
2024-09-25,100293.52761038093
2024-09-26,100428.72577972355
2024-09-27,100408.16946531384
2024-09-30,100649.9165705454
2024-10-01,100356.33355181158
2024-10-02,100249.08875605083
2024-10-03,100005.06646539747
2024-10-04,100049.30934651612
2024-10-07,99748.87658776587
2024-10-08,99859.0257164182
2024-10-09,99952.24558870165
2024-10-10,99934.65925198702
2024-10-11,100062.21566341462
2024-10-14,100179.88729135891
2024-10-15,99572.68194347272
2024-10-16,99430.13649336225
2024-10-17,99313.66768186324
2024-10-18,99409.38036019
2024-10-21,99055.88586913251
2024-10-22,98861.84710138483
2024-10-23,98421.56686905847
2024-10-24,99041.96275912688
2024-10-25,99327.01448816914
2024-10-28,99332.32974536697
2024-10-29,98847.4604762297
2024-10-30,99168.9416495774
2024-10-31,98850.25571622855
2024-11-01,99247.88870096796
2024-11-04,99208.96704663133
2024-11-05,100743.33679164106
2024-11-06,101775.0681445384
2024-11-07,101481.06292640044
2024-11-08,101452.08617893358
2024-11-11,101799.49930138973
2024-11-12,100170.92364046417
2024-11-13,99993.60086230986
2024-11-14,99948.50581082402
2024-11-15,99334.51584845647
2024-11-18,100201.4836397521
2024-11-19,100024.94464768063
2024-11-20,100381.29890306098
2024-11-21,101698.19962314397
2024-11-22,102488.2912334276
2024-11-25,104419.0347683066
2024-11-26,103324.4961162383
2024-11-27,103182.31435910953
2024-11-29,103553.18873254667
2024-12-02,103469.1173185431
2024-12-03,103203.4951353092
2024-12-04,103187.04411836222
2024-12-05,102478.49298366538
2024-12-06,102241.8723404499
2024-12-09,102325.77965649443
2024-12-10,101048.51436071456
2024-12-11,101307.51059932534
2024-12-12,100271.58851111149
2024-12-13,99306.34967513228
2024-12-16,98781.08482457559
2024-12-17,98327.5236758864
2024-12-18,95831.31801341892
2024-12-19,95478.13176448325
2024-12-20,96788.63698223347
2024-12-23,97003.71873155503
2024-12-24,97548.90320909143
2024-12-26,97748.94623181273
2024-12-27,97055.33128217116
2024-12-30,96103.36298875528
2024-12-31,96245.76468623782
2025-01-02,95664.47604436926
2025-01-03,96358.48093725488
2025-01-06,96576.56986587096
2025-01-07,95963.80416601278
2025-01-08,96157.32012417368
2025-01-10,94669.913264679
2025-01-13,95202.34901012652
2025-01-14,95842.81871562166
2025-01-15,96687.91638998076
2025-01-16,97489.11928422029
2025-01-17,97797.49308796745
2025-01-21,98487.50897406679
2025-01-22,98064.58763181385
2025-01-23,98566.05588426063
2025-01-24,98072.0083376874
2025-01-27,99277.50618610554
2025-01-28,98780.68430265423
2025-01-29,98239.34460778564
2025-01-30,99167.3141772146
2025-01-31,98327.29565467873
2025-02-03,96781.17305462415
2025-02-04,97287.98465186977
2025-02-05,98286.11362863459
2025-02-06,98932.20954702722
2025-02-07,98398.24671785822
2025-02-10,99097.81172618776
2025-02-11,98863.10844939815
2025-02-12,98131.19624593235
2025-02-13,99618.87085253473
2025-02-14,99807.65885242754
2025-02-18,100236.21231234535
2025-02-19,100430.06717087745
2025-02-20,100482.41378235494
2025-02-21,98528.91615318223
2025-02-24,98294.38917294149
2025-02-25,98065.56850332263
2025-02-26,97975.34199005086
2025-02-27,96871.14495778423
2025-02-28,97212.85119417639
2025-03-03,95639.62773251109
2025-03-04,93828.19105990618
2025-03-05,94960.0034292367
2025-03-06,94050.35835062472
2025-03-07,95582.21400698842
2025-03-10,93568.23326834783
2025-03-11,92720.72515223853
2025-03-12,92657.9272714589
2025-03-13,91084.50697185457
2025-03-14,92789.5119308292
2025-03-17,94195.72676403716
2025-03-18,93731.29879387845
2025-03-19,94852.98217314812
2025-03-20,94664.15297482483
2025-03-21,94078.84313436395
2025-03-24,95434.6958050182
2025-03-25,95407.86897432503
2025-03-26,95085.75851156023
2025-03-27,94228.13278125113
2025-03-28,92587.224671607
2025-03-31,92847.10381170028
2025-04-01,93290.63628472846
2025-04-02,94724.13109309484
2025-04-03,88957.38354681383
