ticker,gap_date,entry_date,exit_date,bucket,gap_pct,entry_price,exit_price,exit_reason,contracts_shares,position_dollars,pnl_pct,pnl_dollar,days_held
CMG,2024-09-04,2024-09-06,2024-09-09,1-2%,-1.626,53.19,53.52,tp_gap_filled,93.2852,4961.84,0.62,30.78,1
FLEX,2024-09-04,2024-09-06,2024-09-09,1-2%,-1.248,30.42,30.45,tp_gap_filled,163.1863,4964.13,0.099,4.9,1
HOOD,2024-09-04,2024-09-06,2024-09-09,1-2%,-1.859,19.74,19.37,tp_gap_filled,250.9092,4952.95,-1.874,-92.84,1
HUM,2024-09-04,2024-09-06,2024-09-09,1-2%,-1.177,367.92,338.4864,stop,13.4454,4946.84,-8.0,-395.75,1
NKE,2024-09-04,2024-09-06,2024-09-09,1-2%,-1.5,80.88,81.32,tp_gap_filled,60.6272,4903.53,0.544,26.68,1
PLTR,2024-09-04,2024-09-06,2024-09-09,1-2%,-1.672,30.6,30.51,tp_gap_filled,159.384,4877.15,-0.294,-14.34,1
RDDT,2024-09-04,2024-09-06,2024-09-09,1-2%,-1.408,59.24,57.53,tp_gap_filled,82.2924,4875.0,-2.887,-140.72,1
AMZN,2024-09-04,2024-09-06,2024-09-10,1-2%,-1.004,177.24,176.25,tp_gap_filled,28.173,4993.38,-0.559,-27.89,2
CDNS,2024-09-04,2024-09-06,2024-09-10,2-3%,-2.829,251.85,256.28,tp_gap_filled,19.7185,4966.11,1.759,87.35,2
META,2024-09-04,2024-09-06,2024-09-10,1-2%,-1.112,521.88,511.76,tp_gap_filled,9.4378,4925.4,-1.939,-95.51,2
MRVL,2024-09-04,2024-09-06,2024-09-10,1-2%,-1.342,69.5,70.02,tp_gap_filled,70.7223,4915.2,0.748,36.78,2
NVDA,2024-09-04,2024-09-06,2024-09-10,2-3%,-2.398,108.04,108.0,tp_gap_filled,45.3792,4902.77,-0.037,-1.82,2
GEV,2024-09-05,2024-09-09,2024-09-10,1-2%,-1.272,200.01,199.63,tp_gap_filled,24.6519,4930.63,-0.19,-9.37,1
