,0
2024-09-04,100000.0
2024-09-05,100000.0
2024-09-06,97303.31392312094
2024-09-09,98716.14326654826
2024-09-10,98789.34862406184
2024-09-11,99555.34162723037
2024-09-12,100059.57645892279
2024-09-13,100017.30971060025
2024-09-16,99263.4115614774
2024-09-17,98751.02460475855
2024-09-18,97608.89397689495
2024-09-19,97330.71568595464
2024-09-20,96885.04447643674
2024-09-23,96792.73189731753
2024-09-24,96292.68264010642
2024-09-25,94947.83902402295
2024-09-26,95242.09721118552
2024-09-27,95401.06840273169
2024-09-30,95737.55208589374
2024-10-01,94892.8647563167
2024-10-02,94683.85482246666
2024-10-03,94173.48704369628
2024-10-04,94273.43460748227
2024-10-07,93394.81364017322
2024-10-08,93574.64758285096
2024-10-09,94047.31511075294
2024-10-10,93730.03143017352
2024-10-11,94383.97036988454
2024-10-14,95382.3076212214
2024-10-15,94318.128364021
2024-10-16,94822.91075140714
2024-10-17,93381.75888497841
2024-10-18,93063.00438525811
2024-10-21,91850.38142746338
2024-10-22,91331.63852494392
2024-10-23,91173.96670609553
2024-10-24,91295.25958145248
2024-10-25,91099.97502496475
2024-10-28,91845.89029032986
2024-10-29,91033.24819061274
2024-10-30,90651.90428015073
2024-10-31,89557.97339108007
2024-11-01,89901.2109667328
2024-11-04,89725.35930760183
2024-11-05,91053.716924087
2024-11-06,91109.6304601574
2024-11-07,90524.90501852526
2024-11-08,88636.53685102983
2024-11-11,89216.82453278199
2024-11-12,87570.65490994624
2024-11-13,87377.22214823346
2024-11-14,87027.63711367184
2024-11-15,86935.16206633543
2024-11-18,87289.83269657686
2024-11-19,87506.66781097268
2024-11-20,87384.06362456232
2024-11-21,88702.01494899252
2024-11-22,89320.15634778836
2024-11-25,89938.86187478314
2024-11-26,88925.2126721955
2024-11-27,88901.5560340708
2024-11-29,89231.67030866069
2024-12-02,89499.20317371844
2024-12-03,88578.42720391465
2024-12-04,88342.4016908774
2024-12-05,87704.85984465975
2024-12-06,87454.00497741181
2024-12-09,86924.32991055094
2024-12-10,86229.65371401058
2024-12-11,86132.57423711731
2024-12-12,85406.20281491753
2024-12-13,84549.4055105227
2024-12-16,84054.53660336032
2024-12-17,83617.94674699548
2024-12-18,81341.92635188233
2024-12-19,80961.54095483641
2024-12-20,82039.16070458126
2024-12-23,82174.01000635253
2024-12-24,82695.37984797555
2024-12-26,82730.66528951729
2024-12-27,82209.90036158368
2024-12-30,81361.7873319263
2024-12-31,81521.8059452211
2025-01-02,81113.50861685046
2025-01-03,81701.5361050222
2025-01-06,81640.72881991671
2025-01-07,81306.08728134067
2025-01-08,81336.54755126072
2025-01-10,80086.32318924641
2025-01-13,80691.87028386087
2025-01-14,81276.36282471032
2025-01-15,81518.46701732949
2025-01-16,81953.42429206488
2025-01-17,81626.54656559591
2025-01-21,82591.6834739027
2025-01-22,81572.9967805716
2025-01-23,82323.17785135793
2025-01-24,81614.79262280931
2025-01-27,80786.42021110606
2025-01-28,80618.47788314379
2025-01-29,80282.74790937931
2025-01-30,81015.15314993662
2025-01-31,80623.30206797637
2025-02-03,79891.6171248866
2025-02-04,79961.29425019932
2025-02-05,81148.80174433244
2025-02-06,80663.76520193908
2025-02-07,80195.11028426877
2025-02-10,80939.12401636016
2025-02-11,80945.9641633557
2025-02-12,80882.42259207537
2025-02-13,81777.59114842673
2025-02-14,81845.85370689035
2025-02-18,81862.01973353438
2025-02-19,81558.47957554212
2025-02-20,81391.71105351935
2025-02-21,80233.55612539336
2025-02-24,79920.77509979585
2025-02-25,80062.6614367729
2025-02-26,79686.34859421708
2025-02-27,78777.33700142764
2025-02-28,79370.33668817919
2025-03-03,78390.92854618529
2025-03-04,76245.80810829056
2025-03-05,77023.69117056641
2025-03-06,76632.25199937193
2025-03-07,77247.98608816975
2025-03-10,75735.51621853239
2025-03-11,74555.41880741234
2025-03-12,74114.91422308411
2025-03-13,72881.97426071514
2025-03-14,74097.09443572571
2025-03-17,74769.48788713738
2025-03-18,74226.51730609445
2025-03-19,74982.08264757768
2025-03-20,74450.3096176528
2025-03-21,73735.60462812879
2025-03-24,75208.22951680268
2025-03-25,74873.165759119
2025-03-26,74711.08060724722
2025-03-27,74642.50394139264
2025-03-28,73640.01490857903
2025-03-31,74217.86811163551
2025-04-01,74372.35144589849
2025-04-02,75030.12375750458
2025-04-03,72609.5711103832
