ticker,gap_date,entry_date,exit_date,bucket,gap_pct,entry_price,exit_price,exit_reason,contracts_shares,position_dollars,pnl_pct,pnl_dollar,days_held
HUM,2024-10-02,2024-10-02,2024-11-06,10%+,-21.36,219.76,279.45,tp_gap_filled,22.6483,4977.2,27.161,1351.88,25
SMCI,2024-10-30,2024-10-30,2024-11-06,10%+,-29.051,34.85,22.6525,stop,144.0701,5020.84,-35.0,-1757.29,5
MRNA,2024-09-12,2024-09-12,2024-11-11,10%+,-14.615,67.89,44.1285,stop,73.4007,4983.17,-35.0,-1744.11,42
TTD,2024-11-08,2024-11-08,2024-11-13,10%+,-12.39,116.11,132.53,tp_gap_filled,42.6079,4947.21,14.142,699.62,3
SMCI,2024-11-06,2024-11-06,2024-11-19,10%+,-24.657,20.87,27.7,tp_gap_filled,235.2968,4910.64,32.726,1607.08,9
FDX,2024-09-20,2024-09-20,2024-11-22,10%+,-13.19,210.1289,242.0548,tp_gap_filled,23.7392,4988.29,15.193,757.89,45
DLTR,2024-09-04,2024-09-04,2024-12-03,10%+,-10.851,72.79,72.48,time_exit,68.6908,5000.0,-0.426,-21.29,63
WDAY,2024-11-27,2024-11-27,2024-12-04,10%+,-12.099,237.5,270.19,tp_gap_filled,21.3432,5069.01,13.764,697.71,4
SMCI,2024-12-16,2024-12-16,2025-01-06,10%+,-13.553,31.51,36.45,tp_gap_filled,158.3479,4989.54,15.678,782.24,13
MU,2024-12-19,2024-12-19,2025-01-07,10%+,-13.301,90.08,103.9,tp_gap_filled,53.6117,4829.34,15.342,740.91,11
ELV,2024-10-17,2024-10-17,2025-01-21,10%+,-18.523,404.91,389.22,time_exit,12.3503,5000.75,-3.875,-193.78,63
MRNA,2025-01-13,2025-01-13,2025-01-23,10%+,-21.183,33.3,42.25,tp_gap_filled,150.2818,5004.38,26.877,1345.02,7
GPC,2024-10-22,2024-10-22,2025-01-24,10%+,-15.847,120.44,117.23,time_exit,41.4543,4992.76,-2.665,-133.07,63
VRTX,2024-12-19,2024-12-19,2025-01-27,10%+,-12.626,391.0,447.5,tp_gap_filled,12.3308,4821.33,14.45,696.69,23
DHI,2024-10-29,2024-10-29,2025-01-31,10%+,-15.074,153.19,141.9,time_exit,32.4999,4978.67,-7.37,-366.92,63
LLY,2024-10-30,2024-10-30,2025-02-03,10%+,-11.629,798.5,810.43,time_exit,6.2689,5005.69,1.494,74.79,63
EL,2024-10-31,2024-10-31,2025-02-04,10%+,-24.383,65.9,69.47,time_exit,75.2767,4960.74,5.417,268.74,63
HII,2024-10-31,2024-10-31,2025-02-04,10%+,-14.168,215.0,195.76,time_exit,23.1264,4972.18,-8.949,-444.95,63
MPWR,2024-10-31,2024-10-31,2025-02-04,10%+,-10.164,826.32,656.29,time_exit,5.9752,4937.44,-20.577,-1015.97,63
AMGN,2024-11-26,2024-11-26,2025-02-05,10%+,-10.129,264.22,294.0,tp_gap_filled,19.0544,5034.54,11.271,567.44,46
COHR,2025-01-27,2025-01-27,2025-02-06,10%+,-12.289,88.0,100.33,tp_gap_filled,57.8755,5093.04,14.011,713.6,8
FSLR,2024-11-06,2024-11-06,2025-02-10,10%+,-12.668,188.54,162.89,time_exit,26.0078,4903.52,-13.605,-667.1,63
ABBV,2024-11-11,2024-11-11,2025-02-13,10%+,-10.491,178.57,193.45,time_exit,27.5841,4925.7,8.333,410.45,63
INCY,2024-11-19,2024-11-19,2025-02-24,10%+,-12.81,67.11,74.01,time_exit,72.6975,4878.73,10.282,501.61,63
TGT,2024-11-20,2024-11-20,2025-02-25,10%+,-17.949,128.0,127.39,time_exit,38.1507,4883.29,-0.477,-23.27,63
DELL,2024-11-27,2024-11-27,2025-03-04,10%+,-11.867,124.92,94.07,time_exit,40.5868,5070.11,-24.696,-1252.1,63
FIX,2025-01-27,2025-01-27,2025-03-07,10%+,-11.05,484.03,314.6195,stop,10.4537,5059.9,-35.0,-1770.96,28
DECK,2025-01-31,2025-01-31,2025-03-07,10%+,-12.106,196.1,127.465,stop,26.4651,5189.8,-35.0,-1816.43,24
HII,2025-02-06,2025-02-06,2025-03-07,10%+,-12.471,171.19,195.58,tp_gap_filled,30.4204,5207.66,14.247,741.95,20
TTD,2025-02-13,2025-02-13,2025-03-13,10%+,-30.381,85.095,55.3118,stop,59.8648,5094.19,-35.0,-1782.97,19
FERG,2024-12-10,2024-12-10,2025-03-14,10%+,-10.104,195.74,159.9,time_exit,26.0306,5095.24,-18.31,-932.94,63
ADBE,2024-12-12,2024-12-12,2025-03-18,10%+,-11.352,487.5,391.37,time_exit,10.3416,5041.53,-19.719,-994.14,63
UNH,2025-02-21,2025-02-21,2025-03-18,10%+,-12.513,439.55,502.42,tp_gap_filled,11.157,4904.07,14.303,701.44,17
ANET,2025-01-27,2025-01-27,2025-04-03,10%+,-15.135,109.62,71.253,stop,47.1544,5169.07,-35.0,-1809.17,47
CEG,2025-01-27,2025-01-27,2025-04-03,10%+,-15.824,292.46,190.099,stop,17.5528,5133.5,-35.0,-1796.73,47
CIEN,2025-01-27,2025-01-27,2025-04-04,10%+,-12.44,84.6,54.99,stop,60.4986,5118.18,-35.0,-1791.36,48
APP,2025-02-26,2025-02-26,2025-04-04,10%+,-12.887,328.47,213.5055,stop,14.9513,4911.07,-35.0,-1718.87,27
MRVL,2025-03-06,2025-03-06,2025-04-04,10%+,-17.817,74.08,48.152,stop,62.4094,4623.29,-35.0,-1618.15,21
AVGO,2025-01-27,2025-01-27,2025-04-07,10%+,-12.791,213.4,138.71,stop,24.1195,5147.09,-35.0,-1801.48,49
