ticker,gap_date,entry_date,exit_date,bucket,gap_pct,entry_price,exit_price,exit_reason,contracts_shares,position_dollars,pnl_pct,pnl_dollar,days_held
APH,2024-09-04,2024-09-04,2024-09-05,5-10%,-6.316,29.0,30.955,tp_gap_filled,172.4138,5000.0,6.741,337.07,1
AVGO,2024-09-06,2024-09-06,2024-09-11,5-10%,-6.262,143.25,152.82,tp_gap_filled,35.0612,5022.52,6.681,335.54,3
MRNA,2024-09-13,2024-09-13,2024-09-16,5-10%,-5.037,66.17,69.68,tp_gap_filled,76.3698,5053.39,5.305,268.06,1
HPE,2024-09-05,2024-09-05,2024-09-19,5-10%,-8.631,17.15,18.77,tp_gap_filled,293.2043,5028.45,9.446,474.99,10
CPRT,2024-09-05,2024-09-05,2024-10-08,5-10%,-5.749,50.0,53.05,tp_gap_filled,100.6184,5030.92,6.1,306.89,23
VST,2024-10-11,2024-10-11,2024-10-14,5-10%,-5.326,117.5,124.11,tp_gap_filled,43.019,5054.73,5.626,284.36,1
HUM,2024-10-15,2024-10-15,2024-10-18,5-10%,-6.114,251.24,267.6,tp_gap_filled,20.1668,5066.72,6.512,329.93,3
TSLA,2024-10-11,2024-10-11,2024-10-24,5-10%,-7.807,220.13,238.77,tp_gap_filled,22.9746,5057.41,8.468,428.25,9
RMD,2024-09-18,2024-09-18,2024-10-25,5-10%,-6.876,233.63,250.88,tp_gap_filled,21.7259,5075.81,7.383,374.77,27
GRMN,2024-09-13,2024-09-13,2024-10-30,5-10%,-5.22,173.22,182.76,tp_gap_filled,29.1778,5054.18,5.507,278.36,33
UNH,2024-10-15,2024-10-15,2024-11-06,5-10%,-8.817,552.02,605.4,tp_gap_filled,9.1901,5073.13,9.67,490.57,16
CSGP,2024-10-23,2024-10-23,2024-11-06,5-10%,-5.763,72.44,76.87,tp_gap_filled,69.0176,4999.64,6.115,305.75,10
TXT,2024-10-24,2024-10-24,2024-11-06,5-10%,-5.606,82.0,86.87,tp_gap_filled,60.9809,5000.43,5.939,296.98,9
FIX,2024-10-25,2024-10-25,2024-11-06,5-10%,-5.688,389.95,413.47,tp_gap_filled,12.8449,5008.88,6.032,302.11,8
ZBH,2024-09-05,2024-09-05,2024-11-18,5-10%,-5.084,108.66,114.48,tp_gap_filled,46.3431,5035.64,5.356,269.72,52
TKO,2024-10-24,2024-10-24,2024-11-18,5-10%,-5.556,119.0,126.0,tp_gap_filled,42.0912,5008.85,5.882,294.64,17
INTU,2024-11-19,2024-11-19,2024-11-21,5-10%,-6.292,636.1,678.81,tp_gap_filled,7.8565,4997.53,6.714,335.55,2
DHI,2024-11-06,2024-11-06,2024-11-25,5-10%,-5.627,163.52,173.27,tp_gap_filled,31.232,5107.05,5.963,304.51,13
LEN,2024-11-06,2024-11-06,2024-11-25,5-10%,-5.173,162.7396,171.6167,tp_gap_filled,31.4123,5112.03,5.455,278.85,13
ECHO,2024-11-22,2024-11-22,2024-11-25,5-10%,-6.661,22.0,23.57,tp_gap_filled,232.533,5115.73,7.136,365.08,1
A,2024-11-26,2024-11-26,2024-11-27,5-10%,-5.554,127.02,134.49,tp_gap_filled,40.9351,5199.57,5.881,305.79,1
CNC,2024-09-04,2024-09-04,2024-12-03,5-10%,-7.628,74.11,59.41,time_exit,67.6592,5014.22,-19.835,-994.59,63
HRL,2024-09-04,2024-09-04,2024-12-03,5-10%,-9.928,29.85,31.82,time_exit,167.8844,5011.35,6.6,330.73,63
IBM,2024-10-24,2024-10-24,2024-12-04,5-10%,-5.134,220.8,232.75,tp_gap_filled,22.7694,5027.49,5.412,272.09,28
ADBE,2024-09-13,2024-09-13,2024-12-12,5-10%,-9.203,532.57,474.63,time_exit,9.4863,5052.14,-10.879,-549.64,63
TER,2024-10-24,2024-10-24,2024-12-16,5-10%,-5.007,118.2,124.43,tp_gap_filled,42.5106,5024.75,5.271,264.84,36
CVS,2024-10-18,2024-10-18,2024-12-17,5-10%,-6.487,59.54,45.2504,stop,85.2333,5074.79,-24.0,-1217.95,41
NKE,2024-10-02,2024-10-02,2025-01-02,5-10%,-7.001,82.89,73.67,time_exit,61.2578,5077.66,-11.123,-564.8,63
CVNA,2025-01-03,2025-01-03,2025-01-07,5-10%,-5.693,37.64,39.912,tp_gap_filled,129.69,4881.53,6.036,294.66,2
AMD,2024-10-30,2024-10-30,2025-01-10,5-10%,-7.964,153.01,116.2876,stop,32.6482,4995.5,-24.0,-1198.92,48
AOS,2024-10-11,2024-10-11,2025-01-14,5-10%,-6.863,80.34,71.25,time_exit,62.9293,5055.74,-11.314,-572.03,63
AES,2024-11-06,2024-11-06,2025-01-22,5-10%,-5.351,14.68,11.1568,stop,348.7506,5119.66,-24.0,-1228.72,50
GE,2024-10-22,2024-10-22,2025-01-23,5-10%,-5.01,184.5,194.23,tp_gap_filled,27.2587,5029.23,5.274,265.23,62
MCD,2024-10-23,2024-10-23,2025-01-27,5-10%,-6.966,292.77,293.09,time_exit,17.0815,5000.95,0.109,5.47,63
STX,2024-10-23,2024-10-23,2025-01-27,5-10%,-6.126,105.74,103.48,time_exit,47.3416,5005.9,-2.137,-106.99,63
ALLE,2024-10-24,2024-10-24,2025-01-28,5-10%,-5.648,142.34,132.11,time_exit,35.3494,5031.63,-7.187,-361.62,63
CARR,2024-10-24,2024-10-24,2025-01-28,5-10%,-5.316,75.7,67.3,time_exit,66.5365,5036.81,-11.096,-558.91,63
VEEV,2025-01-23,2025-01-23,2025-01-28,5-10%,-6.644,213.85,229.07,tp_gap_filled,23.1479,4950.19,7.117,352.31,3
FISV,2024-12-05,2024-12-05,2025-01-29,5-10%,-5.953,203.0,215.85,tp_gap_filled,25.7385,5224.91,6.33,330.74,35
CTAS,2024-12-19,2024-12-19,2025-02-06,5-10%,-5.739,192.66,204.39,tp_gap_filled,24.979,4812.45,6.088,293.0,31
AMT,2024-11-06,2024-11-06,2025-02-10,5-10%,-6.102,200.8,189.88,time_exit,25.4546,5111.29,-5.438,-277.96,63
DELL,2025-01-27,2025-01-27,2025-02-12,5-10%,-6.26,106.61,113.73,tp_gap_filled,46.4657,4953.71,6.679,330.84,12
APP,2024-12-09,2024-12-09,2025-02-13,5-10%,-7.846,370.0,401.5,tp_gap_filled,14.0616,5202.8,8.514,442.94,44
KHC,2025-02-12,2025-02-12,2025-02-14,5-10%,-6.93,27.53,29.58,tp_gap_filled,174.342,4799.64,7.446,357.4,2
