ticker,gap_date,entry_date,exit_date,bucket,gap_pct,entry_price,exit_price,exit_reason,contracts_shares,position_dollars,pnl_pct,pnl_dollar,days_held
ALB,2024-09-04,2024-09-04,2024-09-05,1-2%,-1.177,83.13,84.12,tp_gap_filled,60.1468,5000.0,1.191,59.55,1
AMAT,2024-09-04,2024-09-04,2024-09-05,1-2%,-1.843,179.99,183.37,tp_gap_filled,27.8064,5004.87,1.878,93.99,1
AMZN,2024-09-04,2024-09-04,2024-09-05,1-2%,-1.004,174.48,176.25,tp_gap_filled,28.7035,5008.19,1.014,50.81,1
APH,2024-09-04,2024-09-04,2024-09-05,5-10%,-6.316,29.0,30.955,tp_gap_filled,172.6395,5006.54,6.741,337.51,1
AVGO,2024-09-04,2024-09-04,2024-09-05,1-2%,-1.63,150.3,152.79,tp_gap_filled,33.4051,5020.79,1.657,83.18,1
CMG,2024-09-04,2024-09-04,2024-09-05,1-2%,-1.626,52.65,53.52,tp_gap_filled,95.5805,5032.32,1.652,83.15,1
FLEX,2024-09-04,2024-09-04,2024-09-05,1-2%,-1.248,30.07,30.45,tp_gap_filled,165.784,4985.12,1.264,63.0,1
HOOD,2024-09-04,2024-09-04,2024-09-05,1-2%,-1.859,19.01,19.37,tp_gap_filled,262.4986,4990.1,1.894,94.5,1
HUM,2024-09-04,2024-09-04,2024-09-05,1-2%,-1.177,359.25,363.53,tp_gap_filled,13.921,5001.11,1.191,59.58,1
COIN,2024-09-04,2024-09-04,2024-09-06,1-2%,-1.555,166.5,153.18,stop,30.2266,5032.72,-8.0,-402.62,2
ANET,2024-09-05,2024-09-05,2024-09-06,1-2%,-1.451,80.33,81.5125,tp_gap_filled,62.4235,5014.48,1.472,73.82,1
APP,2024-09-05,2024-09-05,2024-09-06,1-2%,-1.502,86.56,87.88,tp_gap_filled,57.9948,5020.03,1.525,76.55,1
BKNG,2024-09-05,2024-09-05,2024-09-09,1-2%,-1.182,150.1716,151.9684,tp_gap_filled,33.4851,5028.51,1.196,60.17,2
CDNS,2024-09-04,2024-09-04,2024-09-10,2-3%,-2.829,249.03,256.28,tp_gap_filled,20.187,5027.17,2.911,146.36,4
AMD,2024-09-05,2024-09-05,2024-09-10,1-2%,-1.895,138.2,140.87,tp_gap_filled,36.2679,5012.23,1.932,96.84,3
ANET,2024-09-06,2024-09-06,2024-09-10,1-2%,-1.641,80.7625,82.11,tp_gap_filled,60.6374,4897.23,1.668,81.71,2
APO,2024-09-09,2024-09-09,2024-09-10,1-2%,-1.657,106.21,108.0,tp_gap_filled,46.5734,4946.57,1.685,83.37,1
ADI,2024-09-05,2024-09-05,2024-09-11,1-2%,-1.046,219.48,221.8,tp_gap_filled,22.8314,5011.03,1.057,52.97,4
AMAT,2024-09-05,2024-09-05,2024-09-11,1-2%,-1.831,179.04,182.38,tp_gap_filled,27.9856,5010.55,1.866,93.47,4
AVGO,2024-09-05,2024-09-05,2024-09-11,2-3%,-2.303,150.57,154.12,tp_gap_filled,33.3716,5024.76,2.358,118.47,4
ALB,2024-09-06,2024-09-06,2024-09-11,1-2%,-1.646,81.24,82.6,tp_gap_filled,60.437,4909.9,1.674,82.19,3
DECK,2024-09-10,2024-09-10,2024-09-11,1-2%,-1.352,147.0,149.015,tp_gap_filled,33.7848,4966.37,1.371,68.08,1
DELL,2024-09-04,2024-09-04,2024-09-12,1-2%,-1.598,109.0,110.77,tp_gap_filled,46.1164,5026.69,1.624,81.63,6
DG,2024-09-04,2024-09-04,2024-09-12,2-3%,-2.459,81.73,83.79,tp_gap_filled,61.5053,5026.82,2.52,126.7,6
ARE,2024-09-11,2024-09-11,2024-09-12,1-2%,-1.119,118.42,119.76,tp_gap_filled,42.2834,5007.21,1.132,56.66,1
CBRE,2024-09-11,2024-09-11,2024-09-12,1-2%,-1.224,115.37,116.8,tp_gap_filled,43.4409,5011.77,1.239,62.12,1
CFG,2024-09-11,2024-09-11,2024-09-12,1-2%,-1.275,39.49,40.0,tp_gap_filled,127.0087,5015.57,1.291,64.77,1
CI,2024-09-05,2024-09-05,2024-09-13,1-2%,-1.249,362.06,366.64,tp_gap_filled,13.8937,5030.36,1.265,63.63,6
CIEN,2024-09-05,2024-09-05,2024-09-13,1-2%,-1.675,54.01,54.93,tp_gap_filled,93.0483,5025.54,1.703,85.6,6
APTV,2024-09-10,2024-09-10,2024-09-13,2-3%,-2.939,67.05,69.08,tp_gap_filled,74.2221,4976.59,3.028,150.67,3
F,2024-09-10,2024-09-10,2024-09-13,1-2%,-1.595,10.49,10.66,tp_gap_filled,473.6724,4968.82,1.621,80.52,3
BA,2024-09-12,2024-09-12,2024-09-13,1-2%,-1.184,159.42,161.33,tp_gap_filled,31.789,5067.8,1.198,60.72,1
FSLR,2024-09-12,2024-09-12,2024-09-13,1-2%,-1.288,236.75,239.84,tp_gap_filled,21.4282,5073.12,1.305,66.21,1
GEV,2024-09-12,2024-09-12,2024-09-13,3-5%,-4.375,200.0,209.15,tp_gap_filled,25.3613,5072.27,4.575,232.06,1
INTC,2024-09-12,2024-09-12,2024-09-13,1-2%,-1.069,19.43,19.64,tp_gap_filled,262.05,5091.63,1.081,55.03,1
MPWR,2024-09-12,2024-09-12,2024-09-13,1-2%,-1.032,885.92,895.16,tp_gap_filled,5.7462,5090.71,1.043,53.1,1
CRWD,2024-09-04,2024-09-04,2024-09-16,2-3%,-2.311,65.11,66.65,tp_gap_filled,77.2196,5027.77,2.365,118.92,8
COR,2024-09-05,2024-09-05,2024-09-16,2-3%,-2.272,237.87,243.4,tp_gap_filled,21.0963,5018.19,2.325,116.66,7
