,0
2024-09-04,100191.3155042554
2024-09-05,100329.3842315867
2024-09-06,97812.11570383268
2024-09-09,98995.5762170563
2024-09-10,99295.94309362484
2024-09-11,100333.04553106434
2024-09-12,101871.68012423346
2024-09-13,103036.21918342538
2024-09-16,104349.29680818459
2024-09-17,104482.10277136107
2024-09-18,104914.78819801773
2024-09-19,105256.56681779976
2024-09-20,105307.78874934197
2024-09-23,106219.49959697881
2024-09-24,106161.10796114328
2024-09-25,105037.76498762597
2024-09-26,105063.69883673303
2024-09-27,105674.65138532853
2024-09-30,105688.25732675422
2024-10-01,104856.22426643509
2024-10-02,104161.66987991409
2024-10-03,103293.5632299878
2024-10-04,103576.84340641671
2024-10-07,102523.32650486116
2024-10-08,102664.60565446179
2024-10-09,102693.04347254266
2024-10-10,102265.71327671279
2024-10-11,102475.60773435589
2024-10-14,103103.65251467901
2024-10-15,102743.01415720404
2024-10-16,103233.8693292533
2024-10-17,102384.12812375148
2024-10-18,102709.36610022334
2024-10-21,101688.92817836312
2024-10-22,100894.18655446912
2024-10-23,100475.81995494445
2024-10-24,100786.93720964769
2024-10-25,100753.52982686594
2024-10-28,100953.54596110104
2024-10-29,100307.46709078531
2024-10-30,100432.7932335933
2024-10-31,99598.20067301697
2024-11-01,99396.76655488739
2024-11-04,100162.03032951299
2024-11-05,101247.69899329462
2024-11-06,100544.81805018555
2024-11-07,100298.55870750516
2024-11-08,99897.33602468939
2024-11-11,99785.00088238016
2024-11-12,99174.91476317336
2024-11-13,99571.40408129535
2024-11-14,99941.75553538866
2024-11-15,98850.32921236691
2024-11-18,98861.29434998141
2024-11-19,98780.57273856585
2024-11-20,99116.38961634984
2024-11-21,100296.03117603637
2024-11-22,100764.8648368408
2024-11-25,102094.46899985455
2024-11-26,101673.12759075333
2024-11-27,102229.79238079092
2024-11-29,102463.51334158059
2024-12-02,102730.38914193556
2024-12-03,102594.17882287213
2024-12-04,102665.46962011029
2024-12-05,102295.14784368966
2024-12-06,101986.60193839799
2024-12-09,102425.17884356545
2024-12-10,101643.89606668544
2024-12-11,101884.61111083334
2024-12-12,100181.54660522018
2024-12-13,99125.56937083993
2024-12-16,98544.05516184766
2024-12-17,97870.95540478628
2024-12-18,94129.15230425935
2024-12-19,93430.14514420854
2024-12-20,95112.94775244947
2024-12-23,95114.43506299434
2024-12-24,95630.30584014085
2024-12-26,95647.56948234364
2024-12-27,94859.00121579401
2024-12-30,93936.20972514988
2024-12-31,94004.5128829885
2025-01-02,93746.53895506018
2025-01-03,94071.1961456497
2025-01-06,93936.00953727179
2025-01-07,93461.01308194437
2025-01-08,93648.79885327356
2025-01-10,92104.99579080168
2025-01-13,92478.19241489116
2025-01-14,92827.2777895839
2025-01-15,93713.36415229962
2025-01-16,94024.42828513388
2025-01-17,94382.92172487997
2025-01-21,95240.07480890934
2025-01-22,94619.65869397021
2025-01-23,95064.20993093456
2025-01-24,94208.49759505031
2025-01-27,94612.13158387813
2025-01-28,94342.83047515455
2025-01-29,94142.23939834058
2025-01-30,95501.2749567656
2025-01-31,94831.60990546753
2025-02-03,93604.73370013725
2025-02-04,93776.68408035602
2025-02-05,93903.67200638408
2025-02-06,93528.57860117895
2025-02-07,92986.11964618102
2025-02-10,93579.74409012352
2025-02-11,93141.34343711569
2025-02-12,92710.6029232165
2025-02-13,93413.970955264
2025-02-14,91831.92119064071
2025-02-18,92005.52916233576
2025-02-19,91973.05505927205
2025-02-20,91669.68274217365
2025-02-21,89614.94077258148
2025-02-24,89410.10663580615
2025-02-25,89106.42138908272
2025-02-26,89201.4318804676
2025-02-27,87849.4505874209
2025-02-28,88486.38361974139
2025-03-03,86731.23809908997
2025-03-04,85656.58698871761
2025-03-05,86798.59763715914
2025-03-06,85724.61049966421
2025-03-07,86452.54335906658
2025-03-10,83638.54000740028
2025-03-11,82418.30050251415
2025-03-12,82432.83683599632
2025-03-13,80725.60119321285
2025-03-14,82783.51461973299
2025-03-17,83986.90684905322
2025-03-18,83210.1566491059
2025-03-19,84091.35514041837
2025-03-20,83667.22533567547
2025-03-21,83814.870905225
2025-03-24,84456.30489923256
2025-03-25,83919.34991806446
2025-03-26,83482.05328055262
2025-03-27,83269.50701228366
2025-03-28,81783.20088419048
2025-03-31,81946.37979794186
2025-04-01,81882.75220016995
2025-04-02,82747.8580526081
2025-04-03,78424.15168578604
2025-04-04,72775.9638705384
2025-04-07,72262.32038165687
2025-04-08,71594.29926615831
2025-04-09,78295.20184439312
2025-04-10,72945.78693847908
2025-04-11,74529.10619223535
2025-04-14,75486.9614254852
2025-04-15,75157.44028375825
2025-04-16,74103.57313856197
2025-04-17,74869.95458816025
2025-04-21,73715.73465135835
2025-04-22,75526.7827651633
2025-04-23,76998.07023195682
2025-04-24,78353.97614384002
2025-04-25,77690.65015727926
2025-04-28,78285.68066431828
2025-04-29,78859.83862359279
2025-04-30,78784.2165677359
2025-05-01,78674.66306753673
2025-05-02,80299.8898157125
2025-05-05,80137.53329931785
2025-05-06,80043.6794025719
2025-05-07,80370.92563840831
2025-05-08,81196.14920116207
2025-05-09,80624.91254710405
2025-05-12,82385.48864744241
2025-05-13,81645.21179007119
2025-05-14,81135.9159249451
2025-05-15,82601.53542972401
2025-05-16,83489.14832468811
2025-05-19,83547.0304514708
2025-05-20,83338.80750160464
2025-05-21,81486.93768454551
2025-05-22,80812.50116739271
2025-05-23,80366.17197896479
2025-05-27,81415.0526582746
2025-05-28,80754.39166073973
2025-05-29,80522.71645783492
2025-05-30,80101.24663276918
2025-06-02,80153.97655643935
2025-06-03,80843.75709928744
2025-06-04,80500.71585511338
2025-06-05,80843.17433706114
2025-06-06,81430.42647695544
2025-06-09,80988.86348728252
2025-06-10,81167.3350752039
2025-06-11,81021.14499973724
2025-06-12,81378.52280056915
2025-06-13,80144.38201120781
2025-06-16,80543.29609235683
2025-06-17,79867.74058034545
2025-06-18,79507.43648706235
2025-06-20,79563.71612418833
2025-06-23,80553.02813192397
2025-06-24,81049.54026817242
2025-06-25,80170.2255851804
2025-06-26,80171.40130810524
2025-06-27,80567.62132756035
2025-06-30,81030.61866497487
2025-07-01,81871.87488352491
2025-07-02,80982.8815101817
2025-07-03,81412.3410013668
2025-07-07,80682.88082510208
2025-07-08,81121.00534876817
2025-07-09,80790.54584941623
2025-07-10,80469.65520014676
2025-07-11,79714.87211734531
2025-07-14,80036.57558942348
2025-07-15,78417.31328285689
2025-07-16,79047.57278063726
2025-07-17,79686.47944136352
2025-07-18,79529.75750229001
2025-07-21,79122.07579431882
2025-07-22,80170.25875899885
2025-07-23,80632.91829828986
2025-07-24,79937.99142871023
2025-07-25,80583.27418086628
2025-07-28,79703.9652444823
2025-07-29,79516.44122612347
2025-07-30,78680.88432270437
2025-07-31,77360.48557648725
2025-08-01,76496.91364395547
2025-08-04,77014.24252588057
2025-08-05,76450.44177012841
2025-08-06,76455.726053343
2025-08-07,76584.67806364608
2025-08-08,77033.30148542076
2025-08-11,77250.54450661865
2025-08-12,78466.1066325542
2025-08-13,79559.16157299961
2025-08-14,79201.68632764598
2025-08-15,78704.78568520259
2025-08-18,78948.63394270587
2025-08-19,79033.10829644532
2025-08-20,79530.09125287968
2025-08-21,79152.11748413317
2025-08-22,80729.655859066
2025-08-25,79907.6046565042
2025-08-26,79995.08429038529
2025-08-27,80189.29556787146
2025-08-28,79915.17499971947
2025-08-29,79590.56495850784
2025-09-02,78890.16452539244
2025-09-03,78465.77480528882
2025-09-04,78851.18392196915
2025-09-05,78287.24031729442
2025-09-08,78036.66043608103
2025-09-09,78594.87119531923
2025-09-10,79095.57821203452
2025-09-11,80485.86297328808
2025-09-12,79677.74035207646
2025-09-15,79353.75716064966
2025-09-16,79001.96572331054
2025-09-17,79298.19172530441
2025-09-18,80455.83525205121
2025-09-19,80673.03536534519
2025-09-22,80457.64973096566
2025-09-23,80918.39805027955
2025-09-24,81098.4351377126
2025-09-25,80696.66024399771
2025-09-26,81529.5184625053
2025-09-29,81523.34598486898
2025-09-30,81209.46585555683
2025-10-01,82085.51823936681
2025-10-02,81818.55948998457
2025-10-03,82029.58488550743
2025-10-06,82309.70839748584
2025-10-07,82476.93147336316
2025-10-08,82879.15010895603
2025-10-09,82201.45383119349
2025-10-10,80271.34202214782
2025-10-13,81062.96919409241
2025-10-14,81621.63085357456
2025-10-15,81491.82689966922
2025-10-16,80779.17400255993
2025-10-17,81218.48379729036
2025-10-20,81322.75472116932
2025-10-21,81141.4600798995
2025-10-22,80927.05195975478
2025-10-23,81506.69860133133
2025-10-24,81170.43921081851
2025-10-27,81097.40008793048
2025-10-28,79952.47303531959
2025-10-29,78646.05911599704
2025-10-30,78763.29256713655
2025-10-31,78354.77602876905
2025-11-03,77883.42709244744
2025-11-04,78004.98164284613
2025-11-05,78325.7459098194
2025-11-06,77137.4477028478
2025-11-07,78385.17137405644
2025-11-10,78224.95526959289
2025-11-11,79282.04777623176
2025-11-12,79338.36793651288
2025-11-13,78165.73789472748
2025-11-14,78329.73082207303
2025-11-17,76977.71951315121
2025-11-18,76906.66535421621
2025-11-19,76530.46714779155
2025-11-20,75549.55825503016
2025-11-21,76475.94147291809
2025-11-24,76428.62547699461
2025-11-25,78015.08136045051
2025-11-26,78262.70110674112
2025-11-28,78926.54465298039
2025-12-01,79208.1754330074
2025-12-02,79105.59414420967
2025-12-03,79581.60746964169
2025-12-04,79190.96469590257
2025-12-05,79807.87674770677
2025-12-08,79217.74134760682
2025-12-09,78513.8936445309
2025-12-10,79376.058059545
2025-12-11,80075.52574609418
2025-12-12,78429.96086962248
2025-12-15,78003.09690842817
2025-12-16,77472.92169843028
2025-12-17,77033.21288417958
2025-12-18,77197.26070551324
2025-12-19,77178.95149798937
2025-12-22,77377.80223264525
2025-12-23,77294.88300891237
2025-12-24,77658.36780766425
2025-12-26,77882.98195216694
2025-12-29,77891.62293630025
2025-12-30,77854.516651109
2025-12-31,77112.69967007746
2026-01-02,77070.46261180264
2026-01-05,76920.92541126796
2026-01-06,78126.24206156148
2026-01-07,77711.1842087453
2026-01-08,77332.94669589688
2026-01-09,78646.20114315704
2026-01-12,78200.01674177083
2026-01-13,77706.59061972512
2026-01-14,77117.80530126537
2026-01-15,76662.15229493772
2026-01-16,76175.12993281585
2026-01-20,75258.97744732413
2026-01-21,76234.61872134739
2026-01-22,76285.13548135458
2026-01-23,76405.92671428369
