ticker,gap_date,entry_date,exit_date,bucket,gap_pct,entry_price,exit_price,exit_reason,contracts_shares,position_dollars,pnl_pct,pnl_dollar,days_held
HUM,2024-10-02,2024-10-03,2024-11-06,10%+,-21.36,219.76,279.45,tp_gap_filled,22.5853,4963.36,27.161,1348.12,24
MRNA,2024-09-12,2024-09-13,2024-11-11,10%+,-14.615,67.89,44.1285,stop,73.6485,5000.0,-35.0,-1750.0,41
TTD,2024-11-08,2024-11-11,2024-11-13,10%+,-12.39,116.11,132.53,tp_gap_filled,43.2375,5020.3,14.142,709.96,2
FDX,2024-09-20,2024-09-24,2024-11-22,10%+,-13.19,210.1289,242.0548,tp_gap_filled,23.7011,4980.29,15.193,756.68,43
WDAY,2024-11-27,2024-11-29,2024-12-04,10%+,-12.099,237.5,270.19,tp_gap_filled,21.7895,5175.0,13.764,712.3,3
DLTR,2024-09-04,2024-09-17,2024-12-16,10%+,-10.851,72.79,70.03,time_exit,68.8982,5015.1,-3.792,-190.16,63
MU,2024-12-19,2024-12-20,2025-01-07,10%+,-13.301,90.08,103.9,tp_gap_filled,55.2828,4979.88,15.342,764.01,10
ELV,2024-10-17,2024-10-18,2025-01-22,10%+,-18.523,404.91,390.73,time_exit,12.3482,4999.93,-3.502,-175.1,63
MRNA,2025-01-13,2025-01-14,2025-01-23,10%+,-21.183,33.3,42.25,tp_gap_filled,151.7177,5052.2,26.877,1357.87,6
VRTX,2024-12-19,2024-12-20,2025-01-27,10%+,-12.626,391.0,447.5,tp_gap_filled,12.7365,4979.99,14.45,719.61,22
DHI,2024-10-29,2024-10-30,2025-02-03,10%+,-15.074,153.19,137.46,time_exit,32.5592,4987.75,-10.268,-512.16,63
LLY,2024-10-30,2024-10-31,2025-02-04,10%+,-11.629,798.5,826.07,time_exit,6.2666,5003.85,3.453,172.77,63
EL,2024-10-31,2024-11-01,2025-02-05,10%+,-24.383,65.9,65.94,time_exit,76.2459,5024.6,0.061,3.05,63
AMGN,2024-11-26,2024-11-27,2025-02-05,10%+,-10.129,264.22,294.0,tp_gap_filled,19.5423,5163.46,11.271,581.97,45
COHR,2025-01-27,2025-01-30,2025-02-06,10%+,-12.289,88.0,100.33,tp_gap_filled,60.3142,5307.65,14.011,743.67,5
GPC,2024-10-22,2024-11-06,2025-02-10,10%+,-15.847,120.44,118.44,time_exit,41.6039,5010.78,-1.661,-83.21,63
FSLR,2024-11-06,2024-11-07,2025-02-11,10%+,-12.668,188.54,161.6,time_exit,26.7218,5038.14,-14.289,-719.89,63
SMCI,2024-10-30,2024-11-25,2025-02-18,10%+,-29.051,34.85,49.12,tp_gap_filled,147.3813,5136.24,40.947,2103.13,55
NVDA,2025-01-27,2025-01-28,2025-02-18,10%+,-12.495,124.8,142.62,tp_gap_filled,41.4737,5175.92,14.279,739.06,14
ABBV,2024-11-11,2024-11-22,2025-02-20,10%+,-10.491,178.57,199.5,tp_gap_filled,28.387,5069.06,11.721,594.14,58
INCY,2024-11-19,2024-11-20,2025-02-25,10%+,-12.81,67.11,74.4,time_exit,74.4945,4999.33,10.863,543.07,63
TGT,2024-11-20,2024-11-25,2025-02-28,10%+,-17.949,128.0,124.24,time_exit,40.3318,5162.47,-2.938,-151.65,63
VRSK,2025-02-26,2025-02-27,2025-03-03,10%+,-11.928,263.97,299.72,tp_gap_filled,19.6211,5179.38,13.543,701.45,2
DELL,2024-11-27,2024-11-29,2025-03-05,10%+,-11.867,124.92,97.25,time_exit,41.3823,5169.47,-22.15,-1145.05,63
HII,2025-02-06,2025-02-10,2025-03-07,10%+,-12.471,171.19,195.58,tp_gap_filled,31.7551,5436.15,14.247,774.51,18
FERG,2024-12-10,2024-12-11,2025-03-17,10%+,-10.104,195.74,162.57,time_exit,26.5909,5204.9,-16.946,-882.02,63
UNH,2025-02-21,2025-02-24,2025-03-18,10%+,-12.513,439.55,502.42,tp_gap_filled,11.9016,5231.33,14.303,748.25,16
ANET,2025-01-27,2025-01-29,2025-04-03,10%+,-15.135,109.62,71.253,stop,47.1603,5169.71,-35.0,-1809.4,45
CEG,2025-01-27,2025-01-29,2025-04-03,10%+,-15.824,292.46,190.099,stop,17.6623,5165.51,-35.0,-1807.93,45
VST,2025-01-27,2025-01-29,2025-04-04,10%+,-19.371,154.09,100.1585,stop,33.5194,5165.01,-35.0,-1807.75,46
CIEN,2025-01-27,2025-01-30,2025-04-04,10%+,-12.44,84.6,54.99,stop,62.7363,5307.49,-35.0,-1857.62,45
APP,2025-02-26,2025-02-27,2025-04-04,10%+,-12.887,328.47,213.5055,stop,15.7874,5185.67,-35.0,-1814.99,26
AVGO,2025-01-27,2025-01-30,2025-04-07,10%+,-12.791,213.4,138.71,stop,24.8579,5304.68,-35.0,-1856.64,46
VRT,2025-04-04,2025-04-07,2025-04-08,10%+,-11.012,60.04,67.47,tp_gap_filled,75.1753,4513.52,12.375,558.55,1
HOOD,2025-04-03,2025-04-09,2025-04-11,10%+,-11.024,37.975,42.68,tp_gap_filled,125.8589,4779.49,12.39,592.17,2
DLTR,2025-04-03,2025-04-04,2025-04-17,10%+,-11.628,68.55,77.57,tp_gap_filled,66.0659,4528.82,13.158,595.91,9
DELL,2025-04-03,2025-04-14,2025-04-25,10%+,-10.049,85.75,95.33,tp_gap_filled,55.0553,4720.99,11.172,527.43,8
GEV,2025-01-27,2025-01-28,2025-04-29,10%+,-19.237,339.6,371.19,time_exit,15.2065,5164.12,9.302,480.37,63
GEHC,2025-04-04,2025-04-07,2025-04-30,10%+,-12.0,63.36,72.0,tp_gap_filled,71.3696,4521.98,13.636,616.63,16
DD,2025-04-04,2025-04-07,2025-05-02,10%+,-11.611,75.2008,85.0795,tp_gap_filled,60.2391,4530.03,13.136,595.08,18
APP,2025-04-30,2025-05-01,2025-05-02,10%+,-14.182,247.91,288.88,tp_gap_filled,20.2489,5019.91,16.526,829.6,1
MRK,2025-02-04,2025-02-05,2025-05-07,10%+,-10.813,89.0,79.12,time_exit,59.5701,5301.74,-11.101,-588.55,63
SWKS,2025-02-06,2025-02-07,2025-05-09,10%+,-28.17,62.55,68.21,time_exit,85.5222,5349.41,9.049,484.06,63
FSLR,2025-04-30,2025-05-01,2025-05-09,10%+,-12.008,120.76,137.24,tp_gap_filled,41.8341,5051.88,13.647,689.43,6
HPE,2025-03-07,2025-03-10,2025-05-12,10%+,-15.033,15.26,17.96,tp_gap_filled,327.6222,4999.52,17.693,884.58,44
WSM,2025-04-03,2025-04-04,2025-05-12,10%+,-13.732,142.35,165.01,tp_gap_filled,31.8163,4529.05,15.919,720.96,25
GPN,2025-04-17,2025-04-29,2025-05-12,10%+,-10.533,75.26,84.12,tp_gap_filled,66.5579,5009.15,11.773,589.7,9
XYZ,2025-05-02,2025-05-05,2025-05-13,10%+,-22.495,45.325,58.48,tp_gap_filled,113.7624,5156.28,29.024,1496.54,6
FIS,2025-02-11,2025-02-12,2025-05-14,10%+,-12.896,72.0,78.05,time_exit,74.3141,5350.62,8.403,449.6,63
DVA,2025-02-14,2025-02-18,2025-05-19,10%+,-13.024,154.0,144.96,time_exit,35.6837,5495.29,-5.87,-322.58,63
UPS,2025-01-30,2025-02-24,2025-05-23,10%+,-12.251,117.39,95.37,time_exit,44.675,5244.4,-18.758,-983.74,63
SRE,2025-02-25,2025-02-26,2025-05-28,10%+,-16.976,72.38,77.5,time_exit,73.2323,5300.55,7.074,374.95,63
VTRS,2025-02-27,2025-02-28,2025-05-30,10%+,-17.616,9.26,8.79,time_exit,568.9413,5268.4,-5.076,-267.4,63
NTAP,2025-02-28,2025-03-03,2025-06-02,10%+,-15.979,99.33,98.77,time_exit,51.8713,5152.38,-0.564,-29.05,63
INCY,2025-03-17,2025-03-18,2025-06-03,10%+,-11.583,60.0,67.86,tp_gap_filled,85.6397,5138.38,13.1,673.13,53
FDX,2025-03-21,2025-03-24,2025-06-24,10%+,-10.723,177.1233,184.9396,time_exit,29.754,5270.13,4.413,232.57,63
NKE,2025-04-03,2025-04-04,2025-06-27,10%+,-13.224,56.37,64.96,tp_gap_filled,80.2824,4525.52,15.239,689.63,57
FSLR,2025-06-17,2025-06-18,2025-07-02,10%+,-21.284,137.95,175.25,tp_gap_filled,38.1173,5258.29,27.039,1421.78,9
GRMN,2025-04-03,2025-04-09,2025-07-10,10%+,-13.221,189.24,218.07,tp_gap_filled,25.2331,4775.11,15.235,727.47,62
ELV,2025-04-17,2025-04-21,2025-07-22,10%+,-10.353,390.0,281.72,time_exit,11.9177,4647.88,-27.764,-1290.44,63
DECK,2025-05-23,2025-05-27,2025-07-25,10%+,-22.325,97.94,126.09,tp_gap_filled,54.9848,5385.21,28.742,1547.82,41
LULU,2025-03-28,2025-05-12,2025-08-01,10%+,-11.853,301.05,195.6825,stop,17.8559,5375.53,-35.0,-1881.43,56
GDDY,2025-05-02,2025-05-05,2025-08-05,10%+,-10.22,172.7,153.43,time_exit,29.775,5142.15,-11.158,-573.77,63
HPQ,2025-05-29,2025-05-30,2025-08-13,10%+,-12.426,23.82,27.2,tp_gap_filled,227.0444,5408.2,14.19,767.41,51
REGN,2025-05-30,2025-06-09,2025-08-22,10%+,-14.491,517.66,605.39,tp_gap_filled,10.4811,5425.62,16.947,919.5,52
ROST,2025-05-23,2025-05-27,2025-08-26,10%+,-11.593,134.6,148.33,time_exit,40.2341,5415.51,10.201,552.41,63
WDAY,2025-05-23,2025-05-27,2025-08-26,10%+,-11.199,241.6,222.88,time_exit,22.4709,5428.97,-7.748,-420.66,63
BF-B,2025-06-05,2025-06-06,2025-09-08,10%+,-17.199,27.49,27.59,time_exit,197.7151,5435.19,0.364,19.77,63
AMAT,2025-08-15,2025-08-18,2025-09-18,10%+,-13.568,162.7,188.24,tp_gap_filled,33.6803,5479.78,15.698,860.19,22
TPR,2025-08-14,2025-08-15,2025-09-19,10%+,-15.485,95.95,113.53,tp_gap_filled,56.8682,5456.5,18.322,999.74,24
COHR,2025-08-14,2025-08-15,2025-09-22,10%+,-20.095,91.1,114.01,tp_gap_filled,59.8202,5449.62,25.148,1370.48,25
MOS,2025-08-06,2025-08-08,2025-09-24,10%+,-10.454,31.95,35.68,tp_gap_filled,168.3993,5380.36,11.674,628.13,32
MRVL,2025-08-29,2025-09-02,2025-09-24,10%+,-16.444,64.53,77.23,tp_gap_filled,83.9322,5416.15,19.681,1065.94,16
CAH,2025-08-12,2025-08-13,2025-09-30,10%+,-10.567,141.0,157.66,tp_gap_filled,38.7953,5470.14,11.816,646.33,33
COIN,2025-08-01,2025-08-13,2025-10-03,10%+,-11.282,335.14,377.76,tp_gap_filled,16.3632,5483.95,12.717,697.4,36
SMCI,2025-08-06,2025-08-07,2025-10-07,10%+,-17.342,47.33,57.26,tp_gap_filled,113.931,5392.36,20.98,1131.33,42
COO,2025-08-28,2025-08-29,2025-10-20,10%+,-15.976,62.27,74.11,tp_gap_filled,87.7135,5461.92,19.014,1038.53,35
WAT,2025-07-14,2025-10-01,2025-10-21,10%+,-10.028,317.52,352.91,tp_gap_filled,18.2502,5794.81,11.146,645.88,14
OTIS,2025-07-23,2025-07-24,2025-10-22,10%+,-11.872,89.0,91.42,time_exit,61.0099,5429.88,2.719,147.64,63
CMG,2025-07-24,2025-07-25,2025-10-23,10%+,-12.467,46.2,41.8,time_exit,118.9767,5496.73,-9.524,-523.5,63
ALGN,2025-07-31,2025-08-04,2025-10-31,10%+,-30.0,142.5,137.88,time_exit,37.9146,5402.83,-3.242,-175.17,63
IT,2025-08-05,2025-08-06,2025-11-04,10%+,-27.983,242.49,227.17,time_exit,22.2807,5402.84,-6.318,-341.34,63
BAX,2025-07-31,2025-08-08,2025-11-06,10%+,-15.294,23.76,17.98,time_exit,226.4656,5380.82,-24.327,-1308.97,63
FTNT,2025-08-07,2025-08-08,2025-11-06,10%+,-23.069,74.3,80.54,time_exit,72.4096,5380.03,8.398,451.84,63
TTD,2025-08-08,2025-08-11,2025-11-07,10%+,-35.877,56.64,43.0,time_exit,94.4062,5347.17,-24.082,-1287.7,63
TECH,2025-11-05,2025-11-06,2025-11-12,10%+,-10.966,54.4,61.1,tp_gap_filled,102.5777,5580.23,12.316,687.27,4
TGT,2025-08-20,2025-08-21,2025-11-19,10%+,-10.393,94.41,86.08,time_exit,57.2983,5409.53,-8.823,-477.29,63
CVNA,2025-10-30,2025-11-03,2025-11-26,10%+,-11.824,62.42,70.79,tp_gap_filled,92.4902,5773.24,13.409,774.14,17
TPR,2025-11-06,2025-11-07,2025-11-26,10%+,-13.457,94.6,109.31,tp_gap_filled,59.5369,5632.19,15.55,875.79,13
HRL,2025-08-28,2025-08-29,2025-11-28,10%+,-14.611,24.78,23.21,time_exit,221.3243,5484.42,-6.336,-347.48,63
LULU,2025-09-05,2025-09-08,2025-12-05,10%+,-19.87,165.14,190.01,time_exit,32.996,5448.95,15.06,820.61,63
FTNT,2025-11-06,2025-11-07,2025-12-05,10%+,-11.559,76.05,85.99,tp_gap_filled,73.7806,5611.02,13.07,733.38,19
SNPS,2025-09-10,2025-09-11,2025-12-10,10%+,-29.216,427.8,475.83,time_exit,12.872,5506.63,11.227,618.24,63
DXCM,2025-10-31,2025-11-03,2025-12-10,10%+,-13.211,59.19,68.2,tp_gap_filled,97.8535,5791.95,15.222,881.66,26
DECK,2025-10-24,2025-10-27,2025-12-12,10%+,-13.692,88.5,102.54,tp_gap_filled,67.4911,5972.96,15.864,947.58,33
VRTX,2025-08-05,2025-10-02,2026-01-02,10%+,-13.562,408.22,452.13,time_exit,14.3082,5840.9,10.756,628.27,63
XYZ,2025-11-07,2025-11-10,2026-01-07,10%+,-13.492,61.36,70.93,tp_gap_filled,92.7427,5690.69,15.596,887.55,39
CMG,2025-10-30,2025-10-31,2026-01-08,10%+,-21.353,31.27,39.76,tp_gap_filled,186.248,5823.97,27.151,1581.24,46
GNRC,2025-10-29,2025-10-30,2026-02-02,10%+,-10.912,169.4,170.96,time_exit,34.2123,5795.57,0.921,53.37,63
GRMN,2025-10-29,2025-10-30,2026-02-02,10%+,-11.052,220.67,206.92,time_exit,26.2354,5789.37,-6.231,-360.74,63
VRSK,2025-10-29,2025-10-30,2026-02-02,10%+,-10.18,208.5,214.15,time_exit,27.7309,5781.9,2.71,156.68,63
EME,2025-10-30,2025-10-31,2026-02-03,10%+,-14.414,665.0,744.53,time_exit,8.7637,5827.88,11.959,696.98,63
META,2025-10-30,2025-10-31,2026-02-03,10%+,-10.978,669.15,691.7,time_exit,8.7164,5832.61,3.37,196.56,63
CI,2025-10-30,2025-11-05,2026-02-06,10%+,-11.407,265.0,292.05,time_exit,21.5147,5701.39,10.208,581.97,63
AXON,2025-11-05,2025-11-06,2026-02-09,10%+,-20.151,563.84,433.77,time_exit,9.8764,5568.72,-23.069,-1284.63,63
APP,2026-02-04,2026-02-06,2026-02-09,10%+,-12.947,402.0,461.79,tp_gap_filled,15.2942,6148.28,14.873,914.44,1
COHR,2026-02-05,2026-02-06,2026-02-09,10%+,-15.114,179.11,211.0,tp_gap_filled,34.347,6151.89,17.805,1095.33,1
HII,2026-02-05,2026-02-06,2026-02-09,10%+,-14.167,354.61,413.14,tp_gap_filled,17.5392,6219.59,16.505,1026.57,1
KMB,2025-11-03,2025-11-12,2026-02-13,10%+,-12.547,104.69,109.41,time_exit,55.2433,5783.42,4.509,260.75,63
MRNA,2026-02-11,2026-02-12,2026-02-13,10%+,-10.454,37.605,41.995,tp_gap_filled,168.1454,6323.11,11.674,738.16,1
ZTS,2025-11-04,2025-11-25,2026-02-27,10%+,-13.523,124.83,131.1,time_exit,46.5053,5805.26,5.023,291.59,63
TTD,2026-02-26,2026-02-27,2026-03-03,10%+,-16.137,21.1,25.16,tp_gap_filled,310.0649,6542.37,19.242,1258.86,2
APP,2026-02-12,2026-02-18,2026-03-04,10%+,-11.561,404.0,456.81,tp_gap_filled,16.0585,6487.65,13.072,848.05,10
GDDY,2026-02-25,2026-02-26,2026-03-05,10%+,-16.701,76.885,92.3,tp_gap_filled,84.7303,6514.49,20.049,1306.12,5
ORCL,2025-12-11,2025-12-12,2026-03-17,10%+,-14.524,190.62,154.69,time_exit,31.8646,6074.03,-18.849,-1144.9,63
EL,2026-02-05,2026-02-06,2026-03-27,10%+,-12.424,104.75,68.0875,stop,59.5256,6235.3,-35.0,-2182.36,34
INTC,2026-01-23,2026-01-28,2026-04-08,10%+,-13.733,46.86,54.32,tp_gap_filled,131.6351,6168.42,15.92,982.0,48
AMD,2026-02-04,2026-02-09,2026-04-10,10%+,-11.197,215.0,242.11,tp_gap_filled,29.4923,6340.85,12.609,799.54,42
UNH,2026-01-27,2026-01-28,2026-04-21,10%+,-16.4,293.97,351.64,tp_gap_filled,21.0262,6181.06,19.618,1212.58,57
