,0
2024-09-04,100000.0
2024-09-05,100000.0
2024-09-06,100000.0
2024-09-09,100000.0
2024-09-10,100000.0
2024-09-11,100000.0
2024-09-12,100000.0
2024-09-13,100028.72288946492
2024-09-16,100094.27005382269
2024-09-17,100350.8765802395
2024-09-18,100343.51427689579
2024-09-19,100084.67286352107
2024-09-20,99764.94152193103
2024-09-23,99652.85290603842
2024-09-24,99727.2068942293
2024-09-25,99589.95741211032
2024-09-26,99820.73973971099
2024-09-27,99994.6160496369
2024-09-30,99998.3145434721
2024-10-01,99714.31630512176
2024-10-02,99541.92444826201
2024-10-03,99764.45319882655
2024-10-04,99762.56739418385
2024-10-07,99463.39128198514
2024-10-08,99613.71873508245
2024-10-09,99771.36368097596
2024-10-10,99731.475023136
2024-10-11,99961.52463021196
2024-10-14,100047.09171224068
2024-10-15,99825.16067950979
2024-10-16,99922.63807951823
2024-10-17,100007.40844722434
2024-10-18,100317.8743034704
2024-10-21,99874.231418602
2024-10-22,99847.41202992023
2024-10-23,99621.87644689163
2024-10-24,99768.61240546395
2024-10-25,99866.68596006566
2024-10-28,99952.35345591605
2024-10-29,99696.60131046748
2024-10-30,100279.10839968367
2024-10-31,100272.67024629444
2024-11-01,100543.88924407089
2024-11-04,100359.41142183029
2024-11-05,100569.05406962472
2024-11-06,100333.67628527124
2024-11-07,100980.78085629578
2024-11-08,100507.37687460234
2024-11-11,100978.10080709787
2024-11-12,100224.95476756073
2024-11-13,100523.53223589805
2024-11-14,100949.06675752887
2024-11-15,100231.77308564924
2024-11-18,100546.86763370485
2024-11-19,100030.45731746501
2024-11-20,100280.08703773271
2024-11-21,100675.7263635205
2024-11-22,101335.17938811405
2024-11-25,103351.51372125876
2024-11-26,102715.1464779731
2024-11-27,103578.87533686799
2024-11-29,103772.07469306166
2024-12-02,105510.4840996076
2024-12-03,105407.89966112774
2024-12-04,105779.39797692763
2024-12-05,105047.18018142236
2024-12-06,105285.15868157925
2024-12-09,105801.01108967394
2024-12-10,104914.65571841513
2024-12-11,104042.93414303707
2024-12-12,103249.13792833271
2024-12-13,102638.33671603385
2024-12-16,101429.32533211084
2024-12-17,101167.78011220417
2024-12-18,99400.16405647124
2024-12-19,98635.58804023372
2024-12-20,99679.58385339755
2024-12-23,100554.44630763627
2024-12-24,101078.06993841179
2024-12-26,101078.01268147133
2024-12-27,100289.81352934177
2024-12-30,99142.13380837248
2024-12-31,99279.90762804498
2025-01-02,99714.38014182591
2025-01-03,100620.06346700757
2025-01-06,102197.33417841536
2025-01-07,102377.8896323958
2025-01-08,102012.43436752229
2025-01-10,101392.50284225582
2025-01-13,101493.87224131805
2025-01-14,101220.00175689388
2025-01-15,101495.54556865501
2025-01-16,101885.15834978444
2025-01-17,101760.87048356171
2025-01-21,102819.86683823212
2025-01-22,103251.95711868798
2025-01-23,104093.74584382953
2025-01-24,104019.24466372319
2025-01-27,104097.54104039355
2025-01-28,103692.11503597698
2025-01-29,103337.69520276473
2025-01-30,106254.3112607325
2025-01-31,105531.34771977697
2025-02-03,104301.24864689604
2025-02-04,104119.28651449995
2025-02-05,106074.75437434709
2025-02-06,107312.5872798354
2025-02-07,107256.75506859852
2025-02-10,108630.23622961326
2025-02-11,107277.31289915682
2025-02-12,107055.46400921214
2025-02-13,107318.80064635178
2025-02-14,108249.75199355585
2025-02-18,109943.22817939005
2025-02-19,109613.85444683486
2025-02-20,108717.07077342691
2025-02-21,106218.14131568858
2025-02-24,104833.0850060028
2025-02-25,104802.89041381964
2025-02-26,106045.48411304626
2025-02-27,104100.40617943402
2025-02-28,105350.86006635037
2025-03-03,102860.85584019744
2025-03-04,102104.40998580528
2025-03-05,103526.52395668611
2025-03-06,100440.79632861623
2025-03-07,102193.02650956926
2025-03-10,99931.33690944155
2025-03-11,99638.44272937917
2025-03-12,100281.13694250146
2025-03-13,99402.69078111235
2025-03-14,101876.93422843884
2025-03-17,103600.26692741034
2025-03-18,102767.631332546
2025-03-19,104025.71409099625
2025-03-20,103774.5962024189
2025-03-21,103362.55429461552
2025-03-24,105942.3144250933
2025-03-25,104702.03530836315
2025-03-26,102934.58274750697
2025-03-27,100527.8682353283
2025-03-28,99718.15525029165
2025-03-31,99681.33069305372
2025-04-01,100375.21779378867
2025-04-02,102145.72516466434
2025-04-03,95050.2906015664
2025-04-04,90559.6564474597
