ticker,gap_date,entry_date,exit_date,bucket,gap_pct,entry_price,exit_price,exit_reason,contracts_shares,position_dollars,pnl_pct,pnl_dollar,days_held
SMCI,2024-09-04,2024-09-05,2024-09-11,3-5%,-4.903,42.012,44.178,tp_gap_filled,119.0212,5000.32,5.156,257.8,4
COIN,2024-09-11,2024-09-12,2024-09-13,3-5%,-3.092,153.56,158.46,tp_gap_filled,32.7186,5024.27,3.191,160.32,1
MRK,2024-09-09,2024-09-10,2024-09-16,3-5%,-3.98,113.15,117.84,tp_gap_filled,44.2241,5003.96,4.145,207.41,4
GEV,2024-09-12,2024-09-13,2024-09-16,3-5%,-4.375,200.0,209.15,tp_gap_filled,25.1497,5029.94,4.575,230.12,1
ODFL,2024-09-05,2024-09-06,2024-09-17,3-5%,-4.309,187.21,195.64,tp_gap_filled,26.5719,4974.52,4.503,224.0,7
COHR,2024-09-16,2024-09-17,2024-09-18,3-5%,-3.001,75.64,77.98,tp_gap_filled,66.6395,5040.61,3.094,155.94,1
MOS,2024-09-16,2024-09-17,2024-09-19,3-5%,-3.448,25.48,26.39,tp_gap_filled,198.1243,5048.21,3.571,180.29,2
MU,2024-09-12,2024-09-13,2024-09-20,3-5%,-3.916,87.1,90.65,tp_gap_filled,58.1184,5062.12,4.076,206.32,5
GIS,2024-09-18,2024-09-19,2024-09-20,3-5%,-3.02,72.25,74.5,tp_gap_filled,69.9783,5055.93,3.114,157.45,1
ON,2024-09-20,2024-09-24,2024-09-26,3-5%,-3.149,71.04,73.35,tp_gap_filled,71.4182,5073.55,3.252,164.98,2
AZO,2024-09-24,2024-09-25,2024-09-26,3-5%,-4.229,2919.8799,3048.8201,tp_gap_filled,1.734,5062.94,4.416,223.58,1
XOM,2024-09-26,2024-09-27,2024-09-30,3-5%,-3.163,111.14,114.77,tp_gap_filled,45.9048,5101.86,3.266,166.63,1
HUM,2024-09-11,2024-09-12,2024-10-01,3-5%,-4.619,330.42,280.857,stop,15.2519,5039.53,-15.0,-755.93,13
PANW,2024-09-04,2024-09-05,2024-10-08,3-5%,-3.315,171.65,177.535,tp_gap_filled,29.129,5000.0,3.428,171.42,23
CIEN,2024-10-07,2024-10-08,2024-10-09,3-5%,-3.299,64.49,66.69,tp_gap_filled,78.4543,5059.52,3.411,172.6,1
MCK,2024-09-24,2024-09-27,2024-10-10,3-5%,-3.467,487.49,505.0,tp_gap_filled,10.4647,5101.46,3.592,183.24,9
ALB,2024-10-08,2024-10-09,2024-10-10,3-5%,-4.422,99.85,104.47,tp_gap_filled,51.0045,5092.8,4.627,235.64,1
GM,2024-09-25,2024-09-26,2024-10-11,3-5%,-4.41,45.95,48.07,tp_gap_filled,110.6819,5085.83,4.614,234.65,11
DPZ,2024-10-07,2024-10-08,2024-10-11,3-5%,-3.012,412.5,425.31,tp_gap_filled,12.2727,5062.5,3.105,157.21,3
ARES,2024-10-08,2024-10-09,2024-10-11,3-5%,-3.463,155.0,160.56,tp_gap_filled,32.8908,5098.08,3.587,182.87,2
LVS,2024-10-08,2024-10-09,2024-10-11,3-5%,-3.281,51.58,53.33,tp_gap_filled,98.939,5103.27,3.393,173.14,2
TDG,2024-10-04,2024-10-07,2024-10-14,3-5%,-4.446,1356.0,1419.09,tp_gap_filled,3.7184,5042.19,4.653,234.6,5
GNRC,2024-10-10,2024-10-11,2024-10-14,3-5%,-3.958,165.47,172.29,tp_gap_filled,30.9848,5127.06,4.122,211.32,1
HII,2024-10-10,2024-10-11,2024-10-14,3-5%,-3.468,249.13,258.08,tp_gap_filled,20.6304,5139.64,3.592,184.64,1
SMCI,2024-10-10,2024-10-11,2024-10-14,3-5%,-3.151,45.8,47.29,tp_gap_filled,112.4503,5150.22,3.253,167.55,1
SWKS,2024-10-10,2024-10-11,2024-10-14,3-5%,-4.233,93.66,97.8,tp_gap_filled,55.1086,5161.47,4.42,228.15,1
TSN,2024-09-25,2024-09-26,2024-10-15,3-5%,-3.09,58.65,60.52,tp_gap_filled,86.7018,5085.06,3.188,162.13,13
COIN,2024-09-30,2024-10-14,2024-10-15,3-5%,-3.681,184.19,191.23,tp_gap_filled,28.1172,5178.9,3.822,197.94,1
ELV,2024-10-15,2024-10-16,2024-10-17,3-5%,-4.513,486.05,413.1425,stop,10.6563,5179.52,-15.0,-776.93,1
APP,2024-10-14,2024-10-15,2024-10-21,3-5%,-3.898,141.27,147.0,tp_gap_filled,36.51,5157.77,4.056,209.2,4
SW,2024-10-17,2024-10-18,2024-10-23,3-5%,-3.635,43.74,45.39,tp_gap_filled,117.4472,5137.14,3.772,193.79,3
TSLA,2024-10-02,2024-10-03,2024-10-24,3-5%,-4.058,247.55,258.02,tp_gap_filled,20.3688,5042.29,4.229,213.26,15
NXPI,2024-09-30,2024-10-01,2024-10-25,3-5%,-3.078,237.39,244.93,tp_gap_filled,21.3506,5068.42,3.176,160.98,18
IBKR,2024-10-16,2024-10-17,2024-10-29,3-5%,-3.105,37.0575,38.245,tp_gap_filled,138.1738,5120.38,3.204,164.08,8
GRMN,2024-10-07,2024-10-08,2024-10-30,3-5%,-3.546,164.0,170.03,tp_gap_filled,30.8638,5061.67,3.677,186.11,16
AMP,2024-10-24,2024-10-25,2024-10-30,3-5%,-3.829,500.54,520.47,tp_gap_filled,10.1207,5065.8,3.982,201.7,3
APTV,2024-09-30,2024-10-01,2024-10-31,3-5%,-3.543,71.61,60.8685,stop,70.8319,5072.28,-15.0,-760.84,22
COP,2024-10-15,2024-10-16,2024-10-31,3-5%,-3.17,106.0,109.47,tp_gap_filled,48.9056,5183.99,3.274,169.7,11
CVS,2024-10-15,2024-10-16,2024-11-04,3-5%,-4.432,64.47,54.7995,stop,80.3775,5181.94,-15.0,-777.29,13
ALGN,2024-10-29,2024-10-30,2024-11-04,3-5%,-4.05,207.06,215.8,tp_gap_filled,24.357,5043.37,4.221,212.88,3
WYNN,2024-10-08,2024-10-09,2024-11-05,3-5%,-3.674,102.5,87.125,stop,49.8049,5105.0,-15.0,-765.75,19
CBOE,2024-11-01,2024-11-04,2024-11-05,3-5%,-3.001,207.16,213.57,tp_gap_filled,24.243,5022.18,3.094,155.4,1
TT,2024-10-30,2024-11-04,2024-11-05,3-5%,-3.351,377.5,390.59,tp_gap_filled,13.3116,5025.14,3.468,174.25,1
CSX,2024-10-17,2024-10-18,2024-11-06,3-5%,-4.426,33.9,35.47,tp_gap_filled,151.3803,5131.79,4.631,237.67,13
BSX,2024-10-23,2024-10-24,2024-11-06,3-5%,-3.102,85.28,88.01,tp_gap_filled,59.4704,5071.63,3.201,162.35,9
CAT,2024-10-30,2024-10-31,2024-11-06,3-5%,-3.486,374.0,387.51,tp_gap_filled,13.3445,4990.84,3.612,180.28,4
OTIS,2024-10-30,2024-10-31,2024-11-06,3-5%,-4.153,97.16,101.37,tp_gap_filled,51.3823,4992.31,4.333,216.32,4
RDDT,2024-11-01,2024-11-05,2024-11-06,3-5%,-4.443,114.0,119.3,tp_gap_filled,44.4248,5064.43,4.649,235.45,1
SMCI,2024-11-04,2024-11-05,2024-11-06,3-5%,-4.453,24.89,21.1565,stop,204.2373,5083.47,-15.0,-762.52,1
COHR,2024-10-18,2024-10-21,2024-11-07,3-5%,-4.722,97.25,102.07,tp_gap_filled,52.177,5074.22,4.956,251.49,13
AXP,2024-10-18,2024-11-06,2024-11-07,3-5%,-3.142,276.8,285.78,tp_gap_filled,18.3204,5071.09,3.244,164.52,1
COIN,2024-10-31,2024-11-06,2024-11-07,3-5%,-3.783,203.73,211.74,tp_gap_filled,24.9738,5087.91,3.932,200.04,1
APA,2024-10-15,2024-10-21,2024-11-08,3-5%,-3.783,25.69,21.8365,stop,197.7404,5079.95,-15.0,-761.99,14
ROL,2024-10-24,2024-10-29,2024-11-08,3-5%,-4.302,47.61,49.75,tp_gap_filled,105.7321,5033.9,4.495,226.27,8
ALB,2024-11-06,2024-11-07,2024-11-08,3-5%,-3.788,96.0,99.78,tp_gap_filled,52.8435,5072.97,3.937,199.75,1
VMRK,2024-10-31,2024-11-05,2024-11-11,3-5%,-3.611,71.28,73.95,tp_gap_filled,71.7195,5112.16,3.746,191.49,4
BLDR,2024-11-06,2024-11-07,2024-11-11,3-5%,-4.299,173.21,180.99,tp_gap_filled,29.3684,5086.9,4.492,228.49,2
COIN,2024-11-07,2024-11-08,2024-11-11,3-5%,-3.413,245.63,254.31,tp_gap_filled,20.8008,5109.31,3.534,180.55,1
HAL,2024-10-15,2024-11-06,2024-11-12,3-5%,-3.107,29.63,30.58,tp_gap_filled,173.9314,5153.59,3.206,165.23,4
