,0
2024-09-04,100000.0
2024-09-05,100196.53348894566
2024-09-06,99809.1516819234
2024-09-09,100046.9027837512
2024-09-10,100066.90659724789
2024-09-11,100310.3504518361
2024-09-12,100542.50950981367
2024-09-13,100682.86337045228
2024-09-16,100702.24900290443
2024-09-17,100998.98318602206
2024-09-18,100870.57937022662
2024-09-19,101115.0484701325
2024-09-20,101050.83013294009
2024-09-23,101358.66563314779
2024-09-24,101303.96397092027
2024-09-25,101112.60470076867
2024-09-26,101451.84518511928
2024-09-27,101557.32011277114
2024-09-30,101623.57738489164
2024-10-01,101267.79511970119
2024-10-02,101380.44159166506
2024-10-03,101172.53700688356
2024-10-04,101647.1539179525
2024-10-07,101061.21451050283
2024-10-08,101391.08607197631
2024-10-09,101661.61440859616
2024-10-10,101497.15687292814
2024-10-11,102221.13779170258
2024-10-14,102512.96583255148
2024-10-15,102201.81410184006
2024-10-16,102485.16517522885
2024-10-17,102296.03340117422
2024-10-18,102411.31628202411
2024-10-21,101966.20940991916
2024-10-22,101834.01538073178
2024-10-23,101749.78522659067
2024-10-24,101926.07145431233
2024-10-25,101797.31111974224
2024-10-28,102074.23177779811
2024-10-29,101945.1565714463
2024-10-30,102039.21692969813
2024-10-31,101441.93670135291
2024-11-01,101554.44678674586
2024-11-04,101760.36603040494
2024-11-05,102846.92355997823
2024-11-06,103483.75465712999
2024-11-07,103423.63604769832
2024-11-08,103817.91713172154
2024-11-11,104009.01140305886
2024-11-12,103384.65734855946
2024-11-13,103417.69180820893
2024-11-14,103164.71203298033
2024-11-15,102844.6617860485
2024-11-18,103356.31247886036
2024-11-19,103279.02028638878
2024-11-20,104244.05230953521
2024-11-21,104725.7400548842
2024-11-22,105142.07823735886
2024-11-25,105849.95195350921
2024-11-26,105681.55617504763
2024-11-27,105865.99627802658
2024-11-29,106086.89578734766
2024-12-02,106278.11324333338
2024-12-03,106062.40963911072
2024-12-04,106201.27899561255
2024-12-05,105649.34711135077
2024-12-06,105710.73674649859
2024-12-09,105745.8109504711
2024-12-10,105287.3546132179
2024-12-11,105314.02879505747
2024-12-12,105065.6455895242
2024-12-13,105076.0179619477
2024-12-16,104560.5249324572
2024-12-17,104359.07091598547
2024-12-18,102805.62869712128
2024-12-19,102578.63958859725
2024-12-20,103192.99769898644
2024-12-23,103889.97309202465
2024-12-24,104087.5388981738
2024-12-26,104091.39027432023
2024-12-27,103677.97913772525
2024-12-30,103099.21719729426
2024-12-31,103110.17562052832
2025-01-02,103002.25945257256
2025-01-03,103958.12946794396
2025-01-06,104174.83933284334
2025-01-07,103736.41410126086
2025-01-08,103844.01217052627
2025-01-10,102886.48375234197
2025-01-13,103768.61707339903
2025-01-14,104436.65934422935
2025-01-15,104983.28726836617
2025-01-16,105375.19546053735
2025-01-17,105798.11301873514
2025-01-21,106484.97675717226
2025-01-22,106420.46401788967
2025-01-23,106701.37401245954
2025-01-24,106588.02017777764
2025-01-27,106303.94213546823
2025-01-28,106967.92091745065
2025-01-29,106464.99650150753
2025-01-30,107338.66293368726
2025-01-31,106963.5926486277
