,0
2024-09-04,100000.0
2024-09-05,100196.53348894567
2024-09-06,99809.05294743934
2024-09-09,100046.7805835151
2024-09-10,100066.769366189
2024-09-11,100310.2127063538
2024-09-12,100542.38179051585
2024-09-13,100682.70933696794
2024-09-16,100702.06820540386
2024-09-17,100998.88544924834
2024-09-18,100870.39130880429
2024-09-19,101114.8070090296
2024-09-20,101050.6253440785
2024-09-23,101358.46891764026
2024-09-24,101303.76167498059
2024-09-25,101112.37597332937
2024-09-26,101451.58885979297
2024-09-27,101557.00152857677
2024-09-30,101623.2678102687
2024-10-01,101267.60350720512
2024-10-02,101380.24825359618
2024-10-03,101172.36530470339
2024-10-04,101646.90908297832
2024-10-07,101060.9457240862
2024-10-08,101390.81139509386
2024-10-09,101661.34328879055
2024-10-10,101496.91252852045
2024-10-11,102220.91880032909
2024-10-14,102512.82071819168
2024-10-15,102201.69049299564
2024-10-16,102485.00576799942
2024-10-17,102295.91127251188
2024-10-18,102411.13311645229
2024-10-21,101966.03802526635
2024-10-22,101833.8471540138
2024-10-23,101749.649900602
2024-10-24,101925.85741769843
2024-10-25,101797.08865206706
2024-10-28,102074.06101761057
2024-10-29,101944.98545484139
2024-10-30,102038.98137995112
2024-10-31,101441.62439899836
2024-11-01,101554.16240138166
2024-11-04,101760.0679938331
2024-11-05,102846.54930868525
2024-11-06,103483.30447994679
2024-11-07,103423.04816492417
2024-11-08,103817.39480379359
2024-11-11,104008.47471798757
2024-11-12,103384.05125008637
2024-11-13,103417.15383026046
2024-11-14,103164.21322934395
2024-11-15,102844.20120266272
2024-11-18,103355.83735888303
2024-11-19,103278.68246808049
2024-11-20,104246.20368654824
2024-11-21,104726.0274457057
2024-11-22,105142.06627185132
2024-11-25,105849.49518114142
2024-11-26,105681.29621546806
2024-11-27,105865.66630179589
2024-11-29,106086.52891625022
2024-12-02,106277.7430334838
2024-12-03,106062.2249891854
2024-12-04,106201.02362032312
2024-12-05,105649.42212636309
2024-12-06,105710.72666903128
2024-12-09,105745.76241524088
2024-12-10,105287.40881720206
2024-12-11,105314.23781559904
2024-12-12,105065.98424959679
2024-12-13,105076.46323618357
2024-12-16,104560.95284400943
2024-12-17,104359.5584698674
2024-12-18,102806.41947571741
2024-12-19,102579.44192518487
2024-12-20,103193.57623324974
2024-12-23,103890.43999494449
2024-12-24,104087.94976696763
2024-12-26,104091.80661115125
2024-12-27,103678.48199943537
2024-12-30,103099.89200332595
2024-12-31,103107.56152199331
2025-01-02,103007.14407296636
2025-01-03,103959.06675712745
2025-01-06,104181.73839236892
2025-01-07,103742.02783986309
2025-01-08,103854.17982786697
2025-01-10,102895.94274117479
2025-01-13,103778.3418442508
2025-01-14,104451.12196618944
2025-01-15,105006.91705715812
2025-01-16,105399.22803117009
2025-01-17,105821.43954409241
2025-01-21,106491.98385551607
2025-01-22,106427.35616420329
2025-01-23,106708.05432180424
2025-01-24,106594.8475865146
2025-01-27,106310.83194428319
2025-01-28,106974.89602601856
2025-01-29,106471.76801785704
2025-01-30,107345.33553271025
2025-01-31,106970.48432846103
2025-02-03,106315.91278327
2025-02-04,107455.10191982803
2025-02-05,108105.50153585317
2025-02-06,108257.53057644184
2025-02-07,107668.21829528955
2025-02-10,108258.502537547
2025-02-11,107968.62997867199
2025-02-12,107556.23575592187
2025-02-13,108903.45164771425
2025-02-14,108578.12093965537
2025-02-18,109154.69702298674
2025-02-19,109329.66557722985
2025-02-20,109156.82419670356
2025-02-21,107652.82394348574
2025-02-24,107238.56515361078
2025-02-25,107084.7281836466
2025-02-26,107429.14658974335
2025-02-27,106567.42123900139
2025-02-28,107368.10640146323
2025-03-03,106112.17300561472
2025-03-04,105101.56748053501
2025-03-05,106366.7842798863
2025-03-06,104947.15639481455
2025-03-07,105911.36578646317
2025-03-10,103952.23980759547
2025-03-11,103276.97509578578
2025-03-12,103452.4554970816
2025-03-13,102478.89239591766
2025-03-14,103861.29353165887
2025-03-17,104891.18991935295
2025-03-18,104439.76167867449
2025-03-19,105086.25273151501
2025-03-20,104851.89558230458
2025-03-21,104574.13533425212
2025-03-24,106253.39202771391
2025-03-25,105690.46320850539
2025-03-26,105448.79460163118
2025-03-27,105046.71859012776
2025-03-28,104018.21547909046
2025-03-31,104362.00468883448
2025-04-01,105006.48683897375
2025-04-02,105485.92642661772
2025-04-03,102222.16327305038
2025-04-04,99084.39274651808
2025-04-07,98421.66544110255
2025-04-08,97533.97224601475
2025-04-09,101067.17581920873
2025-04-10,100913.35836678538
2025-04-11,100913.44873905601
