ticker,gap_date,entry_date,gap_open,verdict,touch_time,touch_bar_close,touch_bar_volume,n_consecutive_bars_at_or_above,evidence_1m_window
ABNB,2026-08-11,2026-08-12,179.485,PLAUSIBLE_FILL (sustained move through level),2026-08-12 09:30:00-04:00,181.07,329638,5,"Price                         Open     High       Low    Close  Volume
Datetime                                                              
2026-08-12 09:30:00-04:00  181.398  181.398  179.5000  181.070  329638
2026-08-12 09:31:00-04:00  181.055  181.650  180.5200  180.965   44937
2026-08-12 09:32:00-04:00  180.710  182.000  180.5218  181.910   21308"
EME,2026-06-26,2026-08-12,840.63,PLAUSIBLE_FILL (sustained move through level),2026-08-12 09:45:00-04:00,840.87,8095,1,"Price                        Open      High      Low   Close  Volume
Datetime                                                            
2026-08-12 09:43:00-04:00  835.26  836.8800  835.260  836.88     326
2026-08-12 09:45:00-04:00  836.28  841.7899  835.990  840.87    8095
2026-08-12 09:46:00-04:00  837.64  839.3600  836.895  839.36     601
2026-08-12 09:47:00-04:00  839.38  839.6100  839.380  839.61     500"
COHR,2026-08-13,2026-08-14,344.88,PLAUSIBLE_FILL (sustained move through level),2026-08-14 09:56:00-04:00,346.0852,94818,2,"Price                         Open      High       Low     Close  Volume
Datetime                                                                
2026-08-14 09:55:00-04:00  341.855  342.9700  340.2891  342.5800   62944
2026-08-14 09:56:00-04:00  342.800  346.1699  342.2563  346.0852   94818
2026-08-14 09:57:00-04:00  346.160  346.1700  343.5900  343.5900   56323
2026-08-14 09:58:00-04:00  343.560  344.0600  340.2300  341.5900   50508"
NEM,2026-08-13,2026-08-14,115.01,PLAUSIBLE_FILL (sustained move through level),2026-08-14 09:30:00-04:00,116.42,177131,5,"Price                        Open      High      Low     Close  Volume
Datetime                                                              
2026-08-14 09:30:00-04:00  115.80  116.5300  115.315  116.4200  177131
2026-08-14 09:31:00-04:00  116.33  116.8600  116.320  116.7200   32357
2026-08-14 09:32:00-04:00  116.76  117.4388  116.660  117.4388   38034"
EOG,2026-08-03,2026-08-17,145.01,PLAUSIBLE_FILL (sustained move through level),2026-08-17 13:56:00-04:00,145.035,8509,5,"Price                         Open    High      Low    Close  Volume
Datetime                                                            
2026-08-17 13:55:00-04:00  144.910  144.95  144.900  144.950    2858
2026-08-17 13:56:00-04:00  144.980  145.04  144.950  145.035    8509
2026-08-17 13:57:00-04:00  145.075  145.11  145.050  145.050    3496
2026-08-17 13:58:00-04:00  145.075  145.14  145.075  145.140    3267"
WDAY,2026-08-17,2026-08-18,192.49,PLAUSIBLE_FILL (sustained move through level),2026-08-18 09:30:00-04:00,193.14,79251,5,"Price                        Open    High      Low    Close  Volume
Datetime                                                           
2026-08-18 09:30:00-04:00  195.30  195.67  193.140  193.140   79251
2026-08-18 09:31:00-04:00  193.74  194.99  193.535  194.365    4499
2026-08-18 09:32:00-04:00  194.36  194.36  193.630  194.295    8918"
TSCO,2026-08-17,2026-08-18,35.04,"LOOKS_LIKE_A_BLIP (single-print touch, price fell back same bar)",2026-08-18 09:30:00-04:00,34.785,112973,1,"Price                       Open    High    Low   Close  Volume
Datetime                                                       
2026-08-18 09:30:00-04:00  35.09  35.170  34.75  34.785  112973
2026-08-18 09:31:00-04:00  34.78  34.905  34.78  34.780    5430
2026-08-18 09:32:00-04:00  34.83  34.870  34.78  34.870    3852"
AMCR,2026-08-17,2026-08-18,45.06,PLAUSIBLE_FILL (sustained move through level),2026-08-18 09:30:00-04:00,45.845,50433,5,"Price                       Open    High    Low   Close  Volume
Datetime                                                       
2026-08-18 09:30:00-04:00  45.86  46.000  45.78  45.845   50433
2026-08-18 09:31:00-04:00  45.79  45.855  45.78  45.830    3942
2026-08-18 09:32:00-04:00  45.84  45.840  45.84  45.840     993"
CVNA,2026-08-18,2026-08-19,67.62,PLAUSIBLE_FILL (sustained move through level),2026-08-19 09:33:00-04:00,67.81,57200,5,"Price                        Open     High     Low   Close  Volume
Datetime                                                          
2026-08-19 09:32:00-04:00  66.830  67.3899  66.825  67.245   61122
2026-08-19 09:33:00-04:00  67.225  67.8660  67.110  67.810   57200
2026-08-19 09:34:00-04:00  67.755  68.2883  67.755  68.210  150241
2026-08-19 09:35:00-04:00  68.220  68.6900  68.130  68.505  102859"
CRM,2026-06-02,2026-08-13,201.02,PLAUSIBLE_FILL (sustained move through level),2026-08-13 14:40:00-04:00,201.24,219400,5,"Price                          Open    High      Low    Close  Volume
Datetime                                                             
2026-08-13 14:39:00-04:00  199.1899  200.60  198.695  200.580  555470
2026-08-13 14:40:00-04:00  200.5800  201.43  200.155  201.240  219400
2026-08-13 14:41:00-04:00  201.2000  202.20  201.195  202.100  442083
2026-08-13 14:42:00-04:00  202.1000  202.30  201.340  201.405  189554"
